,,,Gecode,Gurobi,Gecode,Gurobi
,,,Initial,Initial,Preprocessing,Preprocessing
Month,House,Result,,,,
2,64,time,90.0,230.0,80.0,160.0
2,65,time,120.0,500.0,110.0,200.0
2,66,time,100.0,210.0,70.0,150.0
2,67,time,190.0,240.0,80.0,160.0
2,68,time,110.0,380.0,80.0,200.0
2,69,time,290.0,850.0,290.0,320.0
2,70,time,100.0,240.0,70.0,210.0
2,71,time,100.0,180.0,80.0,140.0
2,72,time,80.0,190.0,80.0,130.0
2,73,time,80.0,390.0,80.0,160.0
2,74,time,90.0,190.0,70.0,150.0
2,75,time,120.0,250.0,280.0,190.0
2,76,time,90.0,180.0,100.0,140.0
2,77,time,90.0,230.0,90.0,150.0
2,78,time,120.0,200.0,100.0,140.0
2,79,time,100.0,190.0,80.0,140.0
2,80,time,110.0,190.0,100.0,140.0
3,1,time,220.0,230.0,210.0,190.0
3,2,time,140.0,190.0,90.0,160.0
3,3,time,240.0,270.0,260.0,200.0
3,4,time,270.0,300.0,210.0,180.0
3,5,time,90.0,270.0,80.0,180.0
3,6,time,430.0,190.0,370.0,140.0
3,7,time,90.0,250.0,70.0,150.0
3,8,time,120.0,300.0,90.0,200.0
3,9,time,90.0,230.0,80.0,180.0
3,10,time,140.0,250.0,130.0,170.0
3,11,time,90.0,320.0,80.0,210.0
3,12,time,90.0,210.0,80.0,150.0
3,13,time,380.0,340.0,370.0,180.0
3,14,time,90.0,170.0,70.0,110.0
3,15,time,150.0,210.0,140.0,150.0
3,16,time,120.0,240.0,110.0,160.0
3,17,time,90.0,220.0,70.0,150.0
3,18,time,80.0,200.0,70.0,160.0
3,19,time,200.0,180.0,170.0,130.0
3,20,time,110.0,220.0,90.0,160.0
3,21,time,120.0,190.0,120.0,130.0
3,22,time,110.0,240.0,90.0,170.0
3,23,time,100.0,170.0,80.0,120.0
3,24,time,100.0,180.0,90.0,130.0
3,25,time,110.0,250.0,80.0,180.0
3,26,time,80.0,290.0,60.0,150.0
3,27,time,90.0,210.0,80.0,150.0
3,28,time,100.0,230.0,80.0,190.0
3,29,time,140.0,230.0,130.0,160.0
3,30,time,50.0,260.0,60.0,180.0
3,31,time,290.0,300.0,270.0,220.0
3,32,time,100.0,360.0,70.0,230.0
3,33,time,20.0,390.0,110.0,160.0
3,34,time,80.0,210.0,70.0,190.0
3,35,time,100.0,180.0,90.0,130.0
3,36,time,70.0,170.0,60.0,130.0
3,37,time,70.0,260.0,60.0,170.0
3,38,time,90.0,180.0,60.0,120.0
3,39,time,130.0,230.0,120.0,150.0
3,40,time,110.0,200.0,90.0,150.0
3,41,time,100.0,200.0,70.0,150.0
3,42,time,100.0,220.0,80.0,160.0
3,43,time,200.0,210.0,100.0,140.0
3,44,time,80.0,210.0,60.0,150.0
3,45,time,120.0,210.0,100.0,150.0
3,46,time,100.0,250.0,80.0,200.0
3,47,time,100.0,370.0,90.0,190.0
3,48,time,80.0,230.0,890.0,160.0
3,49,time,80.0,190.0,70.0,160.0
3,50,time,80.0,240.0,70.0,180.0
3,51,time,180.0,370.0,150.0,180.0
3,52,time,70.0,200.0,60.0,130.0
3,53,time,100.0,220.0,90.0,160.0
3,54,time,980.0,220.0,460.0,190.0
3,55,time,180.0,230.0,170.0,150.0
3,56,time,190.0,370.0,180.0,230.0
3,57,time,240.0,200.0,240.0,170.0
3,58,time,90.0,200.0,80.0,140.0
3,59,time,100.0,210.0,90.0,180.0
3,60,time,930.0,270.0,950.0,170.0
3,61,time,140.0,220.0,130.0,190.0
3,62,time,180.0,230.0,160.0,160.0
3,63,time,80.0,170.0,70.0,120.0
3,64,time,100.0,260.0,80.0,260.0
3,65,time,100.0,410.0,80.0,190.0
3,66,time,80.0,200.0,60.0,140.0
3,67,time,90.0,220.0,80.0,180.0
3,68,time,90.0,330.0,70.0,210.0
3,69,time,90.0,370.0,70.0,300.0
3,70,time,110.0,240.0,80.0,220.0
3,71,time,90.0,170.0,70.0,130.0
3,72,time,90.0,180.0,100.0,130.0
3,73,time,80.0,210.0,70.0,140.0
