,,,Gecode,Gurobi,Gecode,Gurobi,Solver run time ratio,Solver run time ratio,Model run time ratio,Model run time ratio
,,,Modified,Modified,Initial,Initial,Modified,Initial,Gecode,Gurobi
Month,House,Result,,,,,,,,
3,4,time,60,100,60,110,1.67,1.83,1.00,1.10
3,5,time,60,90,60,110,1.50,1.83,1.00,1.22
3,6,time,50,80,60,110,1.60,1.83,1.20,1.38
3,7,time,60,90,60,110,1.50,1.83,1.00,1.22
3,8,time,60,110,70,140,1.83,2.00,1.17,1.27
3,9,time,60,100,70,130,1.67,1.86,1.17,1.30
3,10,time,50,100,60,130,2.00,2.17,1.20,1.30
3,11,time,60,90,60,100,1.50,1.67,1.00,1.11
3,12,time,60,90,60,110,1.50,1.83,1.00,1.22
3,13,time,50,80,70,110,1.60,1.57,1.40,1.38
3,14,time,60,70,60,100,1.17,1.67,1.00,1.43
3,15,time,60,130,60,140,2.17,2.33,1.00,1.08
3,16,time,60,90,70,120,1.50,1.71,1.17,1.33
3,17,time,60,70,60,90,1.17,1.50,1.00,1.29
3,18,time,60,100,60,120,1.67,2.00,1.00,1.20
3,19,time,50,90,70,120,1.80,1.71,1.40,1.33
3,20,time,60,130,60,190,2.17,3.17,1.00,1.46
3,21,time,60,90,70,130,1.50,1.86,1.17,1.44
3,22,time,60,80,60,100,1.33,1.67,1.00,1.25
3,23,time,60,100,70,130,1.67,1.86,1.17,1.30
3,24,time,50,80,70,120,1.60,1.71,1.40,1.50
3,25,time,50,90,60,110,1.80,1.83,1.20,1.22
3,26,time,60,80,60,110,1.33,1.83,1.00,1.38
3,27,time,50,80,60,110,1.60,1.83,1.20,1.38
3,28,time,50,80,60,110,1.60,1.83,1.20,1.38
3,29,time,50,110,60,150,2.20,2.50,1.20,1.36
3,30,time,60,100,70,110,1.67,1.57,1.17,1.10
3,31,time,50,130,60,120,2.60,2.00,1.20,0.92
3,32,time,50,80,60,100,1.60,1.67,1.20,1.25
3,33,time,50,90,60,110,1.80,1.83,1.20,1.22
3,34,time,60,90,70,110,1.50,1.57,1.17,1.22
3,35,time,50,80,60,100,1.60,1.67,1.20,1.25
3,36,time,50,80,60,100,1.60,1.67,1.20,1.25
3,37,time,50,110,60,120,2.20,2.00,1.20,1.09
3,38,time,60,90,70,110,1.50,1.57,1.17,1.22
3,39,time,50,80,60,110,1.60,1.83,1.20,1.38
3,40,time,60,90,60,100,1.50,1.67,1.00,1.11
3,41,time,60,90,70,110,1.50,1.57,1.17,1.22
3,42,time,60,90,60,120,1.50,2.00,1.00,1.33
3,43,time,50,70,60,100,1.40,1.67,1.20,1.43
3,44,time,60,70,80,100,1.17,1.25,1.33,1.43
3,45,time,50,100,70,140,2.00,2.00,1.40,1.40
3,46,time,50,70,60,100,1.40,1.67,1.20,1.43
3,47,time,50,70,60,90,1.40,1.50,1.20,1.29
3,48,time,50,70,60,100,1.40,1.67,1.20,1.43
3,49,time,50,80,60,100,1.60,1.67,1.20,1.25
3,50,time,60,90,60,110,1.50,1.83,1.00,1.22
3,51,time,50,80,60,100,1.60,1.67,1.20,1.25
3,52,time,50,80,60,100,1.60,1.67,1.20,1.25
3,53,time,50,100,60,180,2.00,3.00,1.20,1.80
3,54,time,50,90,60,110,1.80,1.83,1.20,1.22
3,55,time,60,90,70,130,1.50,1.86,1.17,1.44
3,56,time,60,120,60,170,2.00,2.83,1.00,1.42
3,57,time,60,90,70,110,1.50,1.57,1.17,1.22
3,58,time,50,80,60,110,1.60,1.83,1.20,1.38
3,59,time,50,110,60,120,2.20,2.00,1.20,1.09
3,60,time,60,90,70,120,1.50,1.71,1.17,1.33
3,61,time,60,90,60,100,1.50,1.67,1.00,1.11
3,62,time,60,100,60,110,1.67,1.83,1.00,1.10
3,63,time,50,80,60,110,1.60,1.83,1.20,1.38
3,64,time,60,70,60,90,1.17,1.50,1.00,1.29
3,65,time,60,90,60,110,1.50,1.83,1.00,1.22
3,66,time,50,90,60,100,1.80,1.67,1.20,1.11
3,67,time,60,80,60,100,1.33,1.67,1.00,1.25
