,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,
1,45,anti_first_fail,indomain_min,time,50.0,80.0,0.00018262816593050957,,3.652563318610191e-06
1,46,anti_first_fail,indomain_min,obj,934838.0,934838.0,934838.0,1163138.0,1.0
1,46,anti_first_fail,indomain_min,time,60.0,80.0,0.000201790826395154,,3.3631804399192333e-06
1,47,anti_first_fail,indomain_min,obj,743875.0,743875.0,743875.0,2120275.0,1.0
1,47,anti_first_fail,indomain_min,time,60.0,100.0,0.00020548515021800995,,3.4247525036334993e-06
1,48,anti_first_fail,indomain_min,obj,1054350.0,1054350.0,1106050.0,1073150.0,1.0490349504434011
1,48,anti_first_fail,indomain_min,time,50.0,90.0,0.00019456096924841404,,3.891219384968281e-06
1,49,anti_first_fail,indomain_min,obj,1765576.0,1765576.0,1765576.0,7345696.0,1.0
1,49,anti_first_fail,indomain_min,time,60.0,70.0,0.00016922992654144764,,2.820498775690794e-06
1,50,anti_first_fail,indomain_min,obj,1061262.0,1061262.0,1061262.0,2049912.0,1.0
1,50,anti_first_fail,indomain_min,time,60.0,80.0,0.00017410796135663986,,2.9017993559439977e-06
2,1,anti_first_fail,indomain_min,obj,361810.0,361810.0,361810.0,421170.0,1.0
2,1,anti_first_fail,indomain_min,time,50.0,80.0,0.0002003191038966179,,4.0063820779323575e-06
2,2,anti_first_fail,indomain_min,obj,3562280.0,3562280.0,3562280.0,3378780.0,1.0
2,2,anti_first_fail,indomain_min,time,60.0,100.0,0.0002068269532173872,,3.4471158869564533e-06
2,3,anti_first_fail,indomain_min,obj,1746050.0,1746050.0,1746050.0,1748450.0,1.0
2,3,anti_first_fail,indomain_min,time,50.0,80.0,0.00022796215489506721,,4.559243097901344e-06
2,4,anti_first_fail,indomain_min,obj,245876.0,245876.0,245876.0,245876.0,1.0
2,4,anti_first_fail,indomain_min,time,50.0,70.0,0.000185034004971385,,3.7006800994277e-06
