,,,,,Gecode,OGSA,Preferred
,,,,,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,
2,15,anti_first_fail,indomain_min,obj,1515900.0,1324600.0,2490880.0
2,15,anti_first_fail,indomain_min,time,60.0,0.00033627101220190525,
2,16,anti_first_fail,indomain_min,obj,2081955.0,1980955.0,3318445.0
2,16,anti_first_fail,indomain_min,time,60.0,0.00026098708622157574,
2,17,anti_first_fail,indomain_min,obj,1152366.0,1151420.0,3852196.0
2,17,anti_first_fail,indomain_min,time,60.0,0.00030839000828564167,
2,18,anti_first_fail,indomain_min,obj,924206.0,924206.0,3269342.0
2,18,anti_first_fail,indomain_min,time,60.0,0.00022221985273063183,
2,19,anti_first_fail,indomain_min,obj,1740465.0,1762780.0,3108595.0
2,19,anti_first_fail,indomain_min,time,60.0,0.0003082968760281801,
2,20,anti_first_fail,indomain_min,obj,980204.0,990476.0,2573072.0
2,20,anti_first_fail,indomain_min,time,60.0,0.00027869921177625656,
2,21,anti_first_fail,indomain_min,obj,2096680.0,2096110.0,3401980.0
2,21,anti_first_fail,indomain_min,time,60.0,0.00027447985485196114,
2,22,anti_first_fail,indomain_min,obj,722420.0,722420.0,1245140.0
2,22,anti_first_fail,indomain_min,time,60.0,0.0002252750564366579,
2,23,anti_first_fail,indomain_min,obj,618595.0,618595.0,984430.0
2,23,anti_first_fail,indomain_min,time,60.0,0.00023653008975088596,
2,24,anti_first_fail,indomain_min,obj,176320.0,169300.0,428050.0
2,24,anti_first_fail,indomain_min,time,60.0,0.00034743198193609715,
2,25,anti_first_fail,indomain_min,obj,1891640.0,1883940.0,2999200.0
2,25,anti_first_fail,indomain_min,time,60.0,0.00026751402765512466,
2,26,anti_first_fail,indomain_min,obj,728710.0,716110.0,1508890.0
2,26,anti_first_fail,indomain_min,time,60.0,0.00024929502978920937,
2,27,anti_first_fail,indomain_min,obj,654203.0,653753.0,1096862.0
2,27,anti_first_fail,indomain_min,time,60.0,0.00024744286201894283,
2,28,anti_first_fail,indomain_min,obj,908900.0,912260.0,1337240.0
2,28,anti_first_fail,indomain_min,time,60.0,0.00031336513347923756,
2,29,anti_first_fail,indomain_min,obj,155708.0,156580.0,436878.0
2,29,anti_first_fail,indomain_min,time,60.0,0.00025672512128949165,
2,30,anti_first_fail,indomain_min,obj,1225780.0,1225780.0,3333580.0
2,30,anti_first_fail,indomain_min,time,60.0,0.0002648620866239071,
2,31,anti_first_fail,indomain_min,obj,1745355.0,1771251.0,2847003.0
2,31,anti_first_fail,indomain_min,time,60.0,0.00027234689332544804,
2,32,anti_first_fail,indomain_min,obj,537438.0,541358.0,1029604.0
2,32,anti_first_fail,indomain_min,time,60.0,0.0003004798199981451,
2,33,anti_first_fail,indomain_min,obj,1542190.0,1548518.0,3589627.0
2,33,anti_first_fail,indomain_min,time,60.0,0.0003032009117305279,
2,34,anti_first_fail,indomain_min,obj,1281620.0,1281620.0,1790045.0
2,34,anti_first_fail,indomain_min,time,60.0,0.0002228019293397665,
2,35,anti_first_fail,indomain_min,obj,1177180.0,1177180.0,1881115.0
2,35,anti_first_fail,indomain_min,time,60.0,0.00022564688697457314,
2,36,anti_first_fail,indomain_min,obj,184989.0,184929.0,222291.0
2,36,anti_first_fail,indomain_min,time,60.0,0.00027124607004225254,
2,37,anti_first_fail,indomain_min,obj,619754.0,625084.0,1044642.0
2,37,anti_first_fail,indomain_min,time,60.0,0.0003310388419777155,
2,38,anti_first_fail,indomain_min,obj,74994.0,73008.0,115292.0
2,38,anti_first_fail,indomain_min,time,60.0,0.0003023629542440176,
2,39,anti_first_fail,indomain_min,obj,465620.0,460305.0,827601.0
2,39,anti_first_fail,indomain_min,time,60.0,0.00035641808062791824,
2,40,anti_first_fail,indomain_min,obj,1777300.0,1777300.0,3708500.0
2,40,anti_first_fail,indomain_min,time,60.0,0.00022296817041933537,
2,41,anti_first_fail,indomain_min,obj,1178740.0,1135540.0,1833300.0
2,41,anti_first_fail,indomain_min,time,60.0,0.0003077089786529541,
2,42,anti_first_fail,indomain_min,obj,2693444.0,2677932.0,4254686.0
2,42,anti_first_fail,indomain_min,time,60.0,0.0003165758680552244,
2,43,anti_first_fail,indomain_min,obj,164848.0,164824.0,260350.0
2,43,anti_first_fail,indomain_min,time,60.0,0.00027853110805153847,
2,44,anti_first_fail,indomain_min,obj,789820.0,773320.0,1017220.0
2,44,anti_first_fail,indomain_min,time,60.0,0.0003122519701719284,
2,45,anti_first_fail,indomain_min,obj,82560.0,80310.0,216480.0
2,45,anti_first_fail,indomain_min,time,60.0,0.00031991791911423206,
2,46,anti_first_fail,indomain_min,obj,1289444.0,1249248.0,1895700.0
2,46,anti_first_fail,indomain_min,time,60.0,0.0003136030863970518,
2,47,anti_first_fail,indomain_min,obj,2926740.0,2908960.0,4158140.0
2,47,anti_first_fail,indomain_min,time,60.0,0.0002578559797257185,
2,48,anti_first_fail,indomain_min,obj,187276.0,180276.0,307732.0
2,48,anti_first_fail,indomain_min,time,70.0,0.0002743920776993036,
2,49,anti_first_fail,indomain_min,obj,932135.0,880110.0,1660250.0
2,49,anti_first_fail,indomain_min,time,60.0,0.0004281208384782076,
2,50,anti_first_fail,indomain_min,obj,296844.0,297200.0,387272.0
2,50,anti_first_fail,indomain_min,time,60.0,0.0002710281405597925,
2,51,anti_first_fail,indomain_min,obj,769560.0,769560.0,1194020.0
2,51,anti_first_fail,indomain_min,time,60.0,0.00022442801855504513,
2,52,anti_first_fail,indomain_min,obj,213748.0,211066.0,343198.0
2,52,anti_first_fail,indomain_min,time,60.0,0.00036056991666555405,
2,53,anti_first_fail,indomain_min,obj,606910.0,613470.0,911270.0
2,53,anti_first_fail,indomain_min,time,60.0,0.0003436750266700983,
2,54,anti_first_fail,indomain_min,obj,1153956.0,1162596.0,1870664.0
2,54,anti_first_fail,indomain_min,time,60.0,0.00026722392067313194,
2,55,anti_first_fail,indomain_min,obj,548497.0,548497.0,956511.0
2,55,anti_first_fail,indomain_min,time,60.0,0.00022450112737715244,
2,56,anti_first_fail,indomain_min,obj,816676.0,812672.0,1327856.0
2,56,anti_first_fail,indomain_min,time,60.0,0.0002843821421265602,
2,57,anti_first_fail,indomain_min,obj,661186.0,660542.0,1182110.0
2,57,anti_first_fail,indomain_min,time,60.0,0.00030384003184735775,
2,58,anti_first_fail,indomain_min,obj,744760.0,709760.0,1191500.0
2,58,anti_first_fail,indomain_min,time,60.0,0.0002714339643716812,
2,59,anti_first_fail,indomain_min,obj,479434.0,469634.0,1513278.0
2,59,anti_first_fail,indomain_min,time,60.0,0.000295490026473999,
2,60,anti_first_fail,indomain_min,obj,797130.0,774630.0,1624290.0
2,60,anti_first_fail,indomain_min,time,60.0,0.0003478489816188812,
2,61,anti_first_fail,indomain_min,obj,384464.0,384464.0,1121124.0
2,61,anti_first_fail,indomain_min,time,60.0,0.00022026104852557182,
2,62,anti_first_fail,indomain_min,obj,352634.0,340970.0,601927.0
2,62,anti_first_fail,indomain_min,time,60.0,0.0003127830568701029,
2,63,anti_first_fail,indomain_min,obj,542106.0,539506.0,718716.0
2,63,anti_first_fail,indomain_min,time,60.0,0.00036016106605529785,
2,64,anti_first_fail,indomain_min,obj,852830.0,852760.0,1481720.0
2,64,anti_first_fail,indomain_min,time,60.0,0.0002513960935175419,
2,65,anti_first_fail,indomain_min,obj,999422.0,969422.0,2148894.0
2,65,anti_first_fail,indomain_min,time,60.0,0.0002782039809972048,
2,66,anti_first_fail,indomain_min,obj,1626388.0,1626388.0,2706664.0
2,66,anti_first_fail,indomain_min,time,60.0,0.00022593792527914047,
2,67,anti_first_fail,indomain_min,obj,829904.0,812604.0,1377732.0
2,67,anti_first_fail,indomain_min,time,60.0,0.00027379882521927357,
2,68,anti_first_fail,indomain_min,obj,1184925.0,1184925.0,1803920.0
2,68,anti_first_fail,indomain_min,time,60.0,0.00022041588090360165,
2,69,anti_first_fail,indomain_min,obj,3012512.0,3012512.0,4649492.0
2,69,anti_first_fail,indomain_min,time,60.0,0.00022522895596921444,
2,70,anti_first_fail,indomain_min,obj,1285990.0,1265550.0,3118310.0
2,70,anti_first_fail,indomain_min,time,60.0,0.00029357103630900383,
2,71,anti_first_fail,indomain_min,obj,328390.0,331700.0,476555.0
2,71,anti_first_fail,indomain_min,time,60.0,0.0003028979990631342,
2,72,anti_first_fail,indomain_min,obj,837479.0,837479.0,1578069.0
2,72,anti_first_fail,indomain_min,time,60.0,0.00022713304497301579,
2,73,anti_first_fail,indomain_min,obj,584772.0,584232.0,1332119.0
2,73,anti_first_fail,indomain_min,time,60.0,0.0003154710866510868,
2,74,anti_first_fail,indomain_min,obj,143260.0,143260.0,272905.0
2,74,anti_first_fail,indomain_min,time,60.0,0.00022509903647005558,
2,75,anti_first_fail,indomain_min,obj,1207897.0,1207883.0,1401922.0
2,75,anti_first_fail,indomain_min,time,70.0,0.0003307249862700701,
2,76,anti_first_fail,indomain_min,obj,221140.0,220540.0,357390.0
2,76,anti_first_fail,indomain_min,time,70.0,0.00027117785066366196,
2,77,anti_first_fail,indomain_min,obj,629008.0,629636.0,1042088.0
2,77,anti_first_fail,indomain_min,time,70.0,0.00028750114142894745,
2,78,anti_first_fail,indomain_min,obj,946320.0,946320.0,1560240.0
2,78,anti_first_fail,indomain_min,time,60.0,0.00022418308071792126,
2,79,anti_first_fail,indomain_min,obj,862874.0,862804.0,2370622.0
2,79,anti_first_fail,indomain_min,time,60.0,0.00025565410032868385,
2,80,anti_first_fail,indomain_min,obj,742310.0,709130.0,1221349.0
2,80,anti_first_fail,indomain_min,time,60.0,0.0002698381431400776,
2,81,anti_first_fail,indomain_min,obj,568104.0,568104.0,829088.0
2,81,anti_first_fail,indomain_min,time,60.0,0.00022575282491743565,
2,82,anti_first_fail,indomain_min,obj,1011870.0,1011870.0,1633095.0
2,82,anti_first_fail,indomain_min,time,70.0,0.0002206719946116209,
2,83,anti_first_fail,indomain_min,obj,703244.0,703244.0,1073764.0
2,83,anti_first_fail,indomain_min,time,60.0,0.0002166039776057005,
2,84,anti_first_fail,indomain_min,obj,1683400.0,1677400.0,4213900.0
2,84,anti_first_fail,indomain_min,time,60.0,0.00033622700721025467,
2,85,anti_first_fail,indomain_min,obj,1441850.0,1425050.0,2309450.0
2,85,anti_first_fail,indomain_min,time,60.0,0.0004412441048771143,
2,86,anti_first_fail,indomain_min,obj,125936.0,125936.0,330452.0
2,86,anti_first_fail,indomain_min,time,60.0,0.0002265439834445715,
2,87,anti_first_fail,indomain_min,obj,1166405.0,1166365.0,1520275.0
2,87,anti_first_fail,indomain_min,time,60.0,0.00027026492170989513,
2,88,anti_first_fail,indomain_min,obj,184239.0,189611.0,277535.0
2,88,anti_first_fail,indomain_min,time,60.0,0.00027633109129965305,
2,89,anti_first_fail,indomain_min,obj,475590.0,475590.0,893310.0
2,89,anti_first_fail,indomain_min,time,60.0,0.000212986022233963,
2,90,anti_first_fail,indomain_min,obj,1185700.0,962500.0,2669000.0
2,90,anti_first_fail,indomain_min,time,60.0,0.0003132801502943039,
2,91,anti_first_fail,indomain_min,obj,748467.0,747843.0,1102390.0
