,,,,,Gecode,OGSA,Preferred,Obj ratio,OGSA,Optimised,Preferred,Max ratio
3,3,input_order,indomain_min,obj,1056533,1064040,1645941,1.007105315,3755,4062,2800,0.924421467
4,3,input_order,indomain_min,obj,988859,998766,1757960,1.010018617,4155,4062,2800,1.022895126
5,3,input_order,indomain_min,obj,789316,799437,1603765,1.012822494,4062,4062,2800,1
12,3,input_order,indomain_min,obj,1075398,1097705,4019072,1.020743018,2862,4062,2800,0.704579025
2,3,input_order,indomain_min,obj,1052356,1078654,4659463,1.024989642,4062,4062,2800,1
6,3,input_order,indomain_min,obj,989659,1032366,1877660,1.043153248,4062,4062,2800,1
8,3,input_order,indomain_min,obj,573829,600536,1430939,1.04654174,2462,4062,2800,0.606105367
1,3,input_order,indomain_min,obj,1226225,1305425,5260015,1.064588473,2800,4062,2800,0.689315608
10,3,input_order,indomain_min,obj,1315843,1527071,1945514,1.16052675,2800,4062,2800,0.689315608
9,3,input_order,indomain_min,obj,1121900,1350021,1659983,1.203334522,2800,4062,2800,0.689315608
1,4,input_order,indomain_min,obj,2700750,2700750,7160400,1,6500,6575,3600,0.988593156
2,4,input_order,indomain_min,obj,2343300,2343300,6267300,1,6575,6575,3600,1
7,4,input_order,indomain_min,obj,1124250,1124250,3587150,1,6575,6575,3600,1
8,4,input_order,indomain_min,obj,1268400,1268400,4132600,1,8900,6575,3600,1.353612167
11,4,input_order,indomain_min,obj,2994000,2994000,4118600,1,6575,6575,3600,1
12,4,input_order,indomain_min,obj,2370750,2373150,6916700,1.001012338,6575,6575,3600,1
5,4,input_order,indomain_min,obj,1749750,1752150,4049950,1.001371625,6575,6575,3600,1
3,4,input_order,indomain_min,obj,2329200,2334000,3459950,1.002060793,6500,6575,3600,0.988593156
4,4,input_order,indomain_min,obj,2182500,2189700,3946050,1.003298969,6575,6575,3600,1
6,4,input_order,indomain_min,obj,2182500,2204100,4824550,1.009896907,6575,6575,3600,1
10,4,input_order,indomain_min,obj,2900850,2972850,4499950,1.024820311,6575,6575,3600,1
9,4,input_order,indomain_min,obj,2475750,2545350,4441300,1.028112693,6575,6575,3600,1
1,5,input_order,indomain_min,obj,523430,523430,527898,1,1150,1143,1100,1.006124234
2,5,input_order,indomain_min,obj,459426,459426,491316,1,1143,1143,1100,1
4,5,input_order,indomain_min,obj,429662,429662,435080,1,1143,1143,1100,1
5,5,input_order,indomain_min,obj,362998,362998,373600,1,1143,1143,1100,1
6,5,input_order,indomain_min,obj,450112,450112,462690,1,1143,1143,1100,1
9,5,input_order,indomain_min,obj,506626,506626,524932,1,1143,1143,1100,1
10,5,input_order,indomain_min,obj,591132,591132,600518,1,1143,1143,1100,1
11,5,input_order,indomain_min,obj,576244,576294,614326,1.000086769,2208,2208,1100,1
3,5,input_order,indomain_min,obj,454812,454862,463492,1.000109936,1150,1143,1100,1.006124234
7,5,input_order,indomain_min,obj,240354,240404,251784,1.000208026,1193,1143,1100,1.043744532
12,5,input_order,indomain_min,obj,459514,459864,470858,1.000761674,1143,1143,1100,1
8,5,input_order,indomain_min,obj,283868,284368,304934,1.001761382,1143,1143,1100,1
11,6,input_order,indomain_min,obj,746496,750096,995088,1.004822531,3600,3600,3600,1
12,6,input_order,indomain_min,obj,590976,594576,2087512,1.006091618,3600,3600,3600,1
3,6,input_order,indomain_min,obj,580608,584208,859820,1.006200397,3600,3600,3600,1
4,6,input_order,indomain_min,obj,539342,546438,901120,1.013156773,3600,3770,3600,0.954907162
1,6,input_order,indomain_min,obj,673920,688320,1968012,1.021367521,3600,3600,3600,1
8,6,input_order,indomain_min,obj,311246,318342,800776,1.022798687,3702,3770,3600,0.981962865
7,6,input_order,indomain_min,obj,279936,287136,733664,1.025720165,3600,3600,3600,1
5,6,input_order,indomain_min,obj,425656,439692,833460,1.032974984,3702,3770,3600,0.981962865
6,6,input_order,indomain_min,obj,539342,568038,977360,1.053205573,3600,3770,3600,0.954907162
2,6,input_order,indomain_min,obj,541770,590454,2530528,1.089861011,3822,3770,3600,1.013793103
9,6,input_order,indomain_min,obj,611918,691014,943256,1.129259149,3600,3770,3600,0.954907162
10,6,input_order,indomain_min,obj,695892,796068,1030120,1.143953372,3600,6170,3600,0.583468395
1,7,input_order,indomain_min,obj,1922760,1922760,3358320,1,4772,4772,2400,1
2,7,input_order,indomain_min,obj,1694988,1694988,2415644,1,4772,4772,2400,1
3,7,input_order,indomain_min,obj,1637664,1637664,2217880,1,4772,4772,2400,1
4,7,input_order,indomain_min,obj,1561188,1561188,2471600,1,4772,4772,2400,1
5,7,input_order,indomain_min,obj,1294704,1294704,2682656,1,4772,4772,2400,1
6,7,input_order,indomain_min,obj,1603188,1603188,3188932,1,4772,4772,2400,1
7,7,input_order,indomain_min,obj,923688,923688,2370364,1,4700,4772,2400,0.984911987
8,7,input_order,indomain_min,obj,988020,988020,2937780,1,4772,4772,2400,1
9,7,input_order,indomain_min,obj,1681596,1681596,3078116,1,4772,4772,2400,1
10,7,input_order,indomain_min,obj,1969248,1969248,3093076,1,4772,4772,2400,1
11,7,input_order,indomain_min,obj,2037168,2037168,2859836,1,4700,4772,2400,0.984911987
12,7,input_order,indomain_min,obj,1783608,1783608,2832956,1,4772,4772,2400,1
1,8,input_order,indomain_min,obj,658050,658050,1037644,1,2820,2820,1700,1
3,8,input_order,indomain_min,obj,567312,567312,830030,1,2820,2820,1700,1
11,8,input_order,indomain_min,obj,729504,729504,1034870,1,1940,2820,1700,0.687943262
4,8,input_order,indomain_min,obj,529006,530704,831156,1.003209793,2820,2940,1700,0.959183673
5,8,input_order,indomain_min,obj,420688,424082,832704,1.008067737,2940,2940,1700,1
7,8,input_order,indomain_min,obj,274014,277414,702086,1.012408125,1940,2820,1700,0.687943262
2,8,input_order,indomain_min,obj,549352,564624,909572,1.027800026,2820,2940,1700,0.959183673
12,8,input_order,indomain_min,obj,577434,594734,1004070,1.029960134,1700,2820,1700,0.602836879
6,8,input_order,indomain_min,obj,529246,569544,994068,1.076142285,2820,2940,1700,0.959183673
8,8,input_order,indomain_min,obj,306322,330420,804608,1.078668852,2820,2940,1700,0.959183673
10,8,input_order,indomain_min,obj,693302,768494,1040240,1.108454901,2820,2940,1700,0.959183673
9,8,input_order,indomain_min,obj,600460,709158,843642,1.181024548,2700,2940,1700,0.918367347
1,9,input_order,indomain_min,obj,1713400,1713400,2409410,1,7700,8370,5000,0.91995221
2,9,input_order,indomain_min,obj,1439570,1439570,2314360,1,8370,8370,5000,1
3,9,input_order,indomain_min,obj,1476160,1476160,2027100,1,7670,8370,5000,0.916367981
4,9,input_order,indomain_min,obj,1378370,1378370,2080130,1,8370,8370,5000,1
5,9,input_order,indomain_min,obj,1096060,1096060,2177840,1,8370,8370,5000,1
6,9,input_order,indomain_min,obj,1378370,1378370,2638090,1,8370,8370,5000,1
7,9,input_order,indomain_min,obj,711720,711720,2071940,1,7670,8370,5000,0.916367981
8,9,input_order,indomain_min,obj,798450,798450,2421830,1,8370,8370,5000,1
9,9,input_order,indomain_min,obj,1562890,1562890,2686910,1,7670,8370,5000,0.916367981
10,9,input_order,indomain_min,obj,1812020,1812020,2678290,1,8370,8370,5000,1
11,9,input_order,indomain_min,obj,1897920,1897920,2638750,1,7670,8370,5000,0.916367981
12,9,input_order,indomain_min,obj,1502520,1502520,2509360,1,8250,8370,5000,0.985663082
11,10,input_order,indomain_min,obj,1600470,1611120,2191120,1.006654295,3000,4000,1700,0.75
2,10,input_order,indomain_min,obj,1257260,1279330,2832130,1.017554046,2390,4000,1700,0.5975
1,10,input_order,indomain_min,obj,1440580,1472800,5964460,1.022365991,4000,3000,1700,1.333333333
3,10,input_order,indomain_min,obj,1243390,1275160,1760590,1.025551114,4000,4000,1700,1
12,10,input_order,indomain_min,obj,1265280,1298920,2365480,1.026587001,2490,4000,1700,0.6225
7,10,input_order,indomain_min,obj,601470,618820,1645040,1.028845994,3000,4000,1700,0.75
4,10,input_order,indomain_min,obj,1163960,1199210,1922480,1.030284546,2900,4000,1700,0.725
5,10,input_order,indomain_min,obj,933680,981540,1892690,1.051259532,2390,4000,1700,0.5975
6,10,input_order,indomain_min,obj,1165800,1247210,2263950,1.069831875,2390,4000,1700,0.5975
10,10,input_order,indomain_min,obj,1552520,1750960,2295450,1.127817999,2390,4000,1700,0.5975
9,10,input_order,indomain_min,obj,1324090,1498230,1932790,1.13151674,2390,3000,1700,0.796666667
8,10,input_order,indomain_min,obj,677140,771890,1844780,1.139926751,2390,4000,1700,0.5975
1,11,input_order,indomain_min,obj,1402440,1402440,1911510,1,4764,5962,2400,0.799060718
2,11,input_order,indomain_min,obj,1155154,1155154,1855958,1,5962,5962,2400,1
3,11,input_order,indomain_min,obj,1208256,1208256,1782218,1,5964,5962,2400,1.000335458
4,11,input_order,indomain_min,obj,1125642,1125642,1632962,1,5962,5962,2400,1
5,11,input_order,indomain_min,obj,891996,891996,1969988,1,5962,5962,2400,1
6,11,input_order,indomain_min,obj,1125654,1125654,2210546,1,5962,5962,2400,1
8,11,input_order,indomain_min,obj,650970,650970,1699274,1,5962,5962,2400,1
9,11,input_order,indomain_min,obj,1276714,1276714,2088760,1,5962,5962,2400,1
10,11,input_order,indomain_min,obj,1467764,1467764,2211126,1,5962,5962,2400,1
12,11,input_order,indomain_min,obj,1229832,1229832,1975950,1,5962,5962,2400,1
11,11,input_order,indomain_min,obj,1553472,1553474,2214928,1.000001287,5962,5962,2400,1
7,11,input_order,indomain_min,obj,582552,582556,1624496,1.000006866,5962,5962,2400,1
2,12,input_order,indomain_min,obj,422765,422765,733750,1,2530,2530,2400,1
4,12,input_order,indomain_min,obj,419295,419295,707310,1,2530,2530,2400,1
5,12,input_order,indomain_min,obj,331300,331300,774970,1,2680,2530,2400,1.059288538
6,12,input_order,indomain_min,obj,421100,421100,904760,1,2530,2530,2400,1
8,12,input_order,indomain_min,obj,242440,242440,800730,1,2530,2530,2400,1
10,12,input_order,indomain_min,obj,547785,547785,887600,1,2530,2530,2400,1
3,12,input_order,indomain_min,obj,450835,451020,642570,1.00041035,2435,2530,2400,0.962450593
12,12,input_order,indomain_min,obj,458885,459255,814030,1.000806302,2400,2530,2400,0.948616601
7,12,input_order,indomain_min,obj,217385,217570,740630,1.000851025,2530,2530,2400,1
11,12,input_order,indomain_min,obj,579635,580260,844570,1.001078265,2530,2530,2400,1
1,12,input_order,indomain_min,obj,523250,524870,744570,1.003096034,1330,2530,2400,0.5256917
9,12,input_order,indomain_min,obj,478585,481720,821220,1.006550561,2530,1515,2400,1.669966997
2,13,input_order,indomain_min,obj,2592880,2592880,9702380,1,8635,8635,5000,1
6,13,input_order,indomain_min,obj,2408680,2408680,4180285,1,8655,8635,5000,1.002316155
12,13,input_order,indomain_min,obj,2620730,2620730,9023915,1,8600,8635,5000,0.995946728
11,13,input_order,indomain_min,obj,3309080,3311480,4265035,1.000725277,8600,8635,5000,0.995946728
3,13,input_order,indomain_min,obj,2574840,2577240,3885660,1.000932097,8600,8635,5000,0.995946728
8,13,input_order,indomain_min,obj,1399100,1401500,3185550,1.001715388,8600,8635,5000,0.995946728
4,13,input_order,indomain_min,obj,2408680,2413515,4158745,1.002007324,7400,8635,5000,0.856977417
1,13,input_order,indomain_min,obj,2982850,2992450,10355250,1.003218399,7400,8635,5000,0.856977417
7,13,input_order,indomain_min,obj,1244030,1248865,3053470,1.003886562,6200,8635,5000,0.718008107
5,13,input_order,indomain_min,obj,1931290,1940960,3632830,1.005007016,8635,8635,5000,1
9,13,input_order,indomain_min,obj,2739910,2766310,3711050,1.009635353,8635,8635,5000,1
10,13,input_order,indomain_min,obj,3199030,3232630,4560445,1.010503184,8600,8635,5000,0.995946728
1,14,input_order,indomain_min,obj,388700,388700,1312360,1,2260,2860,2100,0.79020979
3,14,input_order,indomain_min,obj,334880,334880,453340,1,2980,2860,2100,1.041958042
11,14,input_order,indomain_min,obj,430560,430560,510760,1,2400,2860,2100,0.839160839
12,14,input_order,indomain_min,obj,340860,341000,437580,1.000410726,2260,2860,2100,0.79020979
4,14,input_order,indomain_min,obj,311300,311660,387440,1.001156441,2860,2980,2100,0.959731544
7,14,input_order,indomain_min,obj,161460,161740,243840,1.001734176,2860,2860,2100,1
8,14,input_order,indomain_min,obj,179740,180100,265800,1.002002893,2260,2980,2100,0.758389262
5,14,input_order,indomain_min,obj,245920,246580,331540,1.0026838,2860,2980,2100,0.959731544
6,14,input_order,indomain_min,obj,311300,312920,419240,1.005203983,2860,2980,2100,0.959731544
2,14,input_order,indomain_min,obj,314320,317260,619940,1.009353525,2860,2980,2100,0.959731544
9,14,input_order,indomain_min,obj,353160,357720,412480,1.012911995,2860,2980,2100,0.959731544
10,14,input_order,indomain_min,obj,402660,408220,549240,1.013808176,2260,2980,2100,0.758389262
2,15,input_order,indomain_min,obj,1172926,1172926,1500756,1,6772,6772,6000,1
7,15,input_order,indomain_min,obj,602690,603202,1147292,1.000849525,6072,6772,6000,0.896633196
1,15,input_order,indomain_min,obj,1448212,1450348,2088878,1.001474922,6056,6756,6000,0.896388396
11,15,input_order,indomain_min,obj,1605326,1608156,1741580,1.001762882,6072,6772,6000,0.896633196
5,15,input_order,indomain_min,obj,918856,920512,1551430,1.001802241,6772,6756,6000,1.002368265
12,15,input_order,indomain_min,obj,1270522,1273134,1496176,1.002055848,6772,6756,6000,1.002368265
4,15,input_order,indomain_min,obj,1161754,1164218,1438972,1.002120931,6772,6756,6000,1.002368265
6,15,input_order,indomain_min,obj,1166752,1172408,1801836,1.004847645,6772,6756,6000,1.002368265
10,15,input_order,indomain_min,obj,1518682,1527394,2132444,1.005736553,6772,6756,6000,1.002368265
9,15,input_order,indomain_min,obj,1332850,1341332,1800824,1.006363807,6772,6756,6000,1.002368265
3,15,input_order,indomain_min,obj,1248462,1257634,1429382,1.007346639,6072,6756,6000,0.898756661
8,15,input_order,indomain_min,obj,674348,682252,1425960,1.011720951,6772,6756,6000,1.002368265
1,16,input_order,indomain_min,obj,1097135,1097135,1115910,1,4801,4864,2400,0.987047697
2,16,input_order,indomain_min,obj,942526,942526,996362,1,4812,4864,2400,0.989309211
3,16,input_order,indomain_min,obj,945224,945224,972159,1,4801,4864,2400,0.987047697
4,16,input_order,indomain_min,obj,884910,884910,909494,1,4812,4864,2400,0.989309211
5,16,input_order,indomain_min,obj,706443,706443,767810,1,4853,4864,2400,0.997738487
6,16,input_order,indomain_min,obj,884910,884910,941487,1,4812,4864,2400,0.989309211
7,16,input_order,indomain_min,obj,455733,455733,494693,1,4801,4864,2400,0.987047697
8,16,input_order,indomain_min,obj,513572,513572,594555,1,4853,4864,2400,0.997738487
9,16,input_order,indomain_min,obj,1003063,1003063,1089375,1,4801,4864,2400,0.987047697
10,16,input_order,indomain_min,obj,1174105,1174105,1250364,1,4812,4864,2400,0.989309211
11,16,input_order,indomain_min,obj,1215288,1215288,1319883,1,4801,4864,2400,0.987047697
12,16,input_order,indomain_min,obj,962103,962103,991464,1,4801,4864,2400,0.987047697
12,17,input_order,indomain_min,obj,521298,524910,866362,1.006928858,1826,1826,1200,1
3,17,input_order,indomain_min,obj,512153,515765,690577,1.00705258,1822,1826,1200,0.997809419
11,17,input_order,indomain_min,obj,658638,665730,901028,1.010767675,1226,1826,1200,0.671412924
7,17,input_order,indomain_min,obj,247014,254205,731907,1.02911171,1837,1826,1200,1.006024096
4,17,input_order,indomain_min,obj,479218,493765,749160,1.030355705,1215,1826,1200,0.665388828
5,17,input_order,indomain_min,obj,382334,396815,806284,1.037875261,1215,1826,1200,0.665388828
2,17,input_order,indomain_min,obj,508807,530215,742735,1.042074893,1215,1826,1200,0.665388828
1,17,input_order,indomain_min,obj,594425,630875,766413,1.061319763,1215,1215,1200,1
6,17,input_order,indomain_min,obj,479218,519280,960317,1.083598696,1215,1826,1200,0.665388828
8,17,input_order,indomain_min,obj,278028,318090,876574,1.144093401,1215,1826,1200,0.665388828
10,17,input_order,indomain_min,obj,634717,733000,979078,1.154845388,1215,1826,1200,0.665388828
9,17,input_order,indomain_min,obj,543233,648905,1062205,1.194524265,1200,1826,1200,0.657174151
1,18,input_order,indomain_min,obj,1586560,1586560,3887980,1,4200,3500,3500,1.2
2,18,input_order,indomain_min,obj,1448320,1448320,3192680,1,3500,3500,3500,1
11,18,input_order,indomain_min,obj,1773500,1773500,2163500,1,3500,3500,3500,1
4,18,input_order,indomain_min,obj,1351900,1354000,1808800,1.001553369,3500,3500,3500,1
7,18,input_order,indomain_min,obj,859800,861200,1699260,1.001628286,5600,3500,3500,1.6
12,18,input_order,indomain_min,obj,1523260,1526060,2693140,1.001838163,3500,3500,3500,1
3,18,input_order,indomain_min,obj,1362560,1365360,1697640,1.002054955,3500,3500,3500,1
8,18,input_order,indomain_min,obj,909260,911360,1947520,1.00230957,5200,5600,3500,0.928571429
5,18,input_order,indomain_min,obj,1169920,1177620,1815160,1.006581647,5600,3500,3500,1.6
6,18,input_order,indomain_min,obj,1388400,1401700,2159440,1.009579372,5600,5600,3500,1
9,18,input_order,indomain_min,obj,1462180,1498580,2016000,1.024894336,3500,3500,3500,1
10,18,input_order,indomain_min,obj,1740060,1786260,2284460,1.026550809,3500,3500,3500,1
8,19,input_order,indomain_min,obj,68398,68378,260744,0.999707594,609,604,600,1.008278146
3,19,input_order,indomain_min,obj,114155,114143,162007,0.99989488,609,604,600,1.008278146
1,19,input_order,indomain_min,obj,132315,132305,182333,0.999924423,609,604,600,1.008278146
11,19,input_order,indomain_min,obj,147112,150122,209954,1.020460601,604,604,600,1
7,19,input_order,indomain_min,obj,62392,65448,213330,1.048980639,604,604,600,1
5,19,input_order,indomain_min,obj,89017,95067,243363,1.067964546,604,604,600,1
4,19,input_order,indomain_min,obj,107898,115234,159014,1.067990139,604,604,600,1
12,19,input_order,indomain_min,obj,118546,129492,179404,1.092335465,604,604,600,1
6,19,input_order,indomain_min,obj,111412,123616,254312,1.109539367,604,604,600,1
2,19,input_order,indomain_min,obj,108712,122914,173918,1.130638752,604,604,600,1
9,19,input_order,indomain_min,obj,121966,147556,255478,1.209812571,600,604,600,0.993377483
10,19,input_order,indomain_min,obj,138536,170198,198756,1.228547092,604,604,600,1
2,20,input_order,indomain_min,obj,332135,332135,524025,1,1555,1605,900,0.968847352
7,20,input_order,indomain_min,obj,167690,167690,416275,1,1555,1605,900,0.968847352
1,20,input_order,indomain_min,obj,396950,397550,903075,1.001511525,1005,1605,900,0.626168224
5,20,input_order,indomain_min,obj,258280,258680,491835,1.001548707,1605,1605,900,1
12,20,input_order,indomain_min,obj,349490,350190,578085,1.002002919,1555,1605,900,0.968847352
11,20,input_order,indomain_min,obj,440040,440940,573160,1.002045269,1555,1605,900,0.968847352
4,20,input_order,indomain_min,obj,321895,324195,489375,1.007145187,1605,1605,900,1
10,20,input_order,indomain_min,obj,432420,436620,602495,1.009712779,1555,900,900,1.727777778
3,20,input_order,indomain_min,obj,344420,348320,491640,1.011323384,1555,1605,900,0.968847352
6,20,input_order,indomain_min,obj,322295,329195,601140,1.021408958,1605,900,900,1.783333333
9,20,input_order,indomain_min,obj,364885,374885,525705,1.027405895,1555,900,900,1.727777778
8,20,input_order,indomain_min,obj,191155,204555,496080,1.07010018,1605,900,900,1.783333333
1,21,input_order,indomain_min,obj,3592300,3779000,12953300,1.051972274,7100,7700,6300,0.922077922
9,21,input_order,indomain_min,obj,3160700,3426000,4287100,1.083937103,7800,7700,6300,1.012987013
12,21,input_order,indomain_min,obj,3161700,3430300,10661500,1.084954297,7800,7700,6300,1.012987013
10,21,input_order,indomain_min,obj,3696400,4046000,5165000,1.094578509,7800,7700,6300,1.012987013
4,21,input_order,indomain_min,obj,2834900,3110700,4558700,1.097287382,7800,7700,6300,1.012987013
2,21,input_order,indomain_min,obj,3138000,3467900,14355800,1.105130656,7800,7700,6300,1.012987013
6,21,input_order,indomain_min,obj,2866100,3188400,4789300,1.112452462,7800,7700,6300,1.012987013
3,21,input_order,indomain_min,obj,2978400,3327900,4335900,1.117344883,7800,7700,6300,1.012987013
11,21,input_order,indomain_min,obj,3784200,4231600,4917300,1.118228423,7800,7700,6300,1.012987013
5,21,input_order,indomain_min,obj,2310800,2626000,4020100,1.136402977,7800,7700,6300,1.012987013
8,21,input_order,indomain_min,obj,1728100,2057300,3531000,1.190498235,7800,7700,6300,1.012987013
7,21,input_order,indomain_min,obj,1553700,1907200,3357400,1.227521401,7800,7700,6300,1.012987013
11,22,input_order,indomain_min,obj,515280,516580,788400,1.0025229,2400,2400,2400,1
12,22,input_order,indomain_min,obj,407180,409480,713900,1.005648607,2400,2400,2400,1
3,22,input_order,indomain_min,obj,400040,402340,607060,1.005749425,2400,2400,2400,1
8,22,input_order,indomain_min,obj,214960,217060,534220,1.009769259,2500,3660,2400,0.683060109
7,22,input_order,indomain_min,obj,193380,195280,449520,1.009825215,2500,2400,2400,1.041666667
1,22,input_order,indomain_min,obj,464100,473700,891280,1.020685197,2400,2400,2400,1
4,22,input_order,indomain_min,obj,372040,381340,514300,1.024997312,2400,3660,2400,0.655737705
6,22,input_order,indomain_min,obj,371840,381340,582280,1.025548623,2400,3660,2400,0.655737705
5,22,input_order,indomain_min,obj,294960,303360,487200,1.028478438,2400,3660,2400,0.655737705
2,22,input_order,indomain_min,obj,380820,392320,663740,1.030197994,2400,3660,2400,0.655737705
9,22,input_order,indomain_min,obj,422220,448320,719680,1.061816115,2400,3660,2400,0.655737705
10,22,input_order,indomain_min,obj,481340,514540,812320,1.068974114,2400,3660,2400,0.655737705
1,23,input_order,indomain_min,obj,174850,174850,248095,1,1000,1540,1000,0.649350649
2,23,input_order,indomain_min,obj,141185,141185,226355,1,1465,1540,1000,0.951298701
3,23,input_order,indomain_min,obj,150640,150640,222780,1,1140,1540,1000,0.74025974
4,23,input_order,indomain_min,obj,140025,140025,213300,1,1540,1540,1000,1
5,23,input_order,indomain_min,obj,110580,110580,204400,1,1540,1540,1000,1
6,23,input_order,indomain_min,obj,140025,140025,237975,1,1540,1540,1000,1
7,23,input_order,indomain_min,obj,72630,72630,165285,1,1540,1540,1000,1
8,23,input_order,indomain_min,obj,80845,80845,201470,1,1540,1540,1000,1
9,23,input_order,indomain_min,obj,158855,158855,235690,1,1540,1540,1000,1
10,23,input_order,indomain_min,obj,181100,181100,275310,1,1540,1540,1000,1
11,23,input_order,indomain_min,obj,193680,193680,277465,1,1140,1540,1000,0.74025974
12,23,input_order,indomain_min,obj,153330,153330,248835,1,1140,1540,1000,0.74025974
1,24,input_order,indomain_min,obj,1490350,1490350,14698405,1,3190,3225,2790,0.989147287
2,24,input_order,indomain_min,obj,1313835,1313835,4937550,1,3225,3225,2790,1
3,24,input_order,indomain_min,obj,1287960,1287960,2038740,1,3225,3225,2790,1
4,24,input_order,indomain_min,obj,1205635,1205635,2262140,1,3225,3225,2790,1
5,24,input_order,indomain_min,obj,971200,971200,2172945,1,3225,3225,2790,1
6,24,input_order,indomain_min,obj,1206735,1206735,2831775,1,3225,3225,2790,1
7,24,input_order,indomain_min,obj,624380,624380,1978900,1,3225,3225,2790,1
8,24,input_order,indomain_min,obj,701395,701395,2039930,1,3225,3225,2790,1
9,24,input_order,indomain_min,obj,1373305,1373305,2308540,1,3225,3225,2790,1
10,24,input_order,indomain_min,obj,1610080,1610080,2561060,1,3225,3225,2790,1
11,24,input_order,indomain_min,obj,1655780,1655780,2404075,1,3225,3225,2790,1
12,24,input_order,indomain_min,obj,1310880,1310880,2624890,1,3225,3225,2790,1
2,25,input_order,indomain_min,obj,458688,458688,1106102,1,1178,1178,1000,1
5,25,input_order,indomain_min,obj,339114,339114,621370,1,1178,1178,1000,1
6,25,input_order,indomain_min,obj,421828,421828,677646,1,1178,1178,1000,1
7,25,input_order,indomain_min,obj,217828,217828,493816,1,1178,1178,1000,1
10,25,input_order,indomain_min,obj,562608,562608,773048,1,1178,1178,1000,1
11,25,input_order,indomain_min,obj,578908,578908,710536,1,1178,1178,1000,1
4,25,input_order,indomain_min,obj,421798,421828,699146,1.000071124,1178,1178,1000,1
1,25,input_order,indomain_min,obj,521620,521680,2549360,1.000115026,1178,1178,1000,1
3,25,input_order,indomain_min,obj,450464,450569,636904,1.000233093,1178,1178,1000,1
12,25,input_order,indomain_min,obj,458488,458638,960426,1.000327162,1178,1178,1000,1
9,25,input_order,indomain_min,obj,480116,480386,624930,1.000562364,1178,1178,1000,1
8,25,input_order,indomain_min,obj,245270,245510,531044,1.000978513,1178,1178,1000,1
2,26,input_order,indomain_min,obj,1799160,1799160,2918580,1,6540,6540,6120,1
11,26,input_order,indomain_min,obj,2331560,2331560,3553780,1,6520,6540,6120,0.996941896
5,26,input_order,indomain_min,obj,1353440,1353580,3900080,1.00010344,6540,6520,6120,1.003067485
3,26,input_order,indomain_min,obj,1813480,1814380,2749340,1.000496283,6540,6540,6120,1
4,26,input_order,indomain_min,obj,1696580,1697560,2705700,1.000577633,6540,6520,6120,1.003067485
7,26,input_order,indomain_min,obj,874460,875160,3518520,1.000800494,6420,6540,6120,0.981651376
1,26,input_order,indomain_min,obj,2104700,2107100,2843860,1.001140305,6540,6540,6120,1
12,26,input_order,indomain_min,obj,1845860,1848460,3018920,1.001408558,6420,6540,6120,0.981651376
10,26,input_order,indomain_min,obj,2245940,2251260,3403340,1.002368719,6540,6520,6120,1.003067485
6,26,input_order,indomain_min,obj,1696580,1701260,4255820,1.002758491,6540,6520,6120,1.003067485
8,26,input_order,indomain_min,obj,984220,987300,4368380,1.003129382,6540,6520,6120,1.003067485
9,26,input_order,indomain_min,obj,1923440,1933420,4265140,1.00518862,6540,6520,6120,1.003067485
