,,,,,Gecode,Preferred,OGSA
,,,,,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,
7,7,input_order,indomain_min,time,90.0,,0.00021326999922166578
7,8,input_order,indomain_min,obj,574450.0,498610.0,574450.0
7,8,input_order,indomain_min,time,100.0,,0.00026292400070815347
7,9,input_order,indomain_min,obj,1278660.0,1319980.0,1278660.0
7,9,input_order,indomain_min,time,80.0,,0.0003435849994275486
7,10,input_order,indomain_min,obj,868522.0,483537.0,868522.0
7,10,input_order,indomain_min,time,90.0,,0.0003013010009453865
8,1,input_order,indomain_min,obj,1632405.0,700205.0,1632405.0
8,1,input_order,indomain_min,time,90.0,,0.00028425700111256447
8,2,input_order,indomain_min,obj,100840292.0,388733.0,100840292.0
8,2,input_order,indomain_min,time,80.0,,0.0004947630004608072
8,3,input_order,indomain_min,obj,121267.0,135112.0,121267.0
8,3,input_order,indomain_min,time,100.0,,0.00037128099938854575
8,4,input_order,indomain_min,obj,878949.0,551189.0,878949.0
8,4,input_order,indomain_min,time,90.0,,0.00043400799950177316
8,5,input_order,indomain_min,obj,351888.0,90288.0,351888.0
8,5,input_order,indomain_min,time,90.0,,0.00027657600003294647
8,6,input_order,indomain_min,obj,1586244.0,1829312.0,1586244.0
8,6,input_order,indomain_min,time,90.0,,0.00031194800067169126
8,7,input_order,indomain_min,obj,1697230.0,3343130.0,1697230.0
8,7,input_order,indomain_min,time,90.0,,0.0005750990003434708
8,8,input_order,indomain_min,obj,643550.0,575860.0,643550.0
8,8,input_order,indomain_min,time,90.0,,0.0005215250002947869
8,9,input_order,indomain_min,obj,1459820.0,1554860.0,1459820.0
8,9,input_order,indomain_min,time,90.0,,0.0003476800011412706
8,10,input_order,indomain_min,obj,914609.0,532779.0,914609.0
8,10,input_order,indomain_min,time,90.0,,0.0006412099992303411
9,1,input_order,indomain_min,obj,1731850.0,782450.0,1731850.0
9,1,input_order,indomain_min,time,100.0,,0.00026452199927007314
9,2,input_order,indomain_min,obj,100909438.0,440419.0,100909438.0
9,2,input_order,indomain_min,time,90.0,,0.0004500340000959113
9,3,input_order,indomain_min,obj,155054.0,135414.0,155054.0
9,3,input_order,indomain_min,time,100.0,,0.0003587770006561186
9,4,input_order,indomain_min,obj,980754.0,628614.0,980754.0
9,4,input_order,indomain_min,time,90.0,,0.0002248109994980041
9,5,input_order,indomain_min,obj,357203.0,129203.0,357203.0
9,5,input_order,indomain_min,time,90.0,,0.0003116269999736687
9,6,input_order,indomain_min,obj,1670900.0,1786796.0,1670900.0
9,6,input_order,indomain_min,time,90.0,,0.0005472699995152652
9,7,input_order,indomain_min,obj,2702610.0,3405310.0,2702610.0
9,7,input_order,indomain_min,time,100.0,,0.0002565400009189034
9,8,input_order,indomain_min,obj,759300.0,704350.0,759300.0
9,8,input_order,indomain_min,time,90.0,,0.00045406200115394313
9,9,input_order,indomain_min,obj,1713140.0,1830540.0,1713140.0
9,9,input_order,indomain_min,time,80.0,,0.00034738499925879296
9,10,input_order,indomain_min,obj,1366346.0,1007386.0,1366346.0
9,10,input_order,indomain_min,time,90.0,,0.00034352100010437425
10,1,input_order,indomain_min,obj,1755075.0,803025.0,1755075.0
10,1,input_order,indomain_min,time,100.0,,0.000292816001092433
10,2,input_order,indomain_min,obj,100805065.0,395326.0,100805065.0
10,2,input_order,indomain_min,time,90.0,,0.00068176100103301
10,3,input_order,indomain_min,obj,178029.0,165144.0,178029.0
10,3,input_order,indomain_min,time,100.0,,0.00033827500010374933
10,4,input_order,indomain_min,obj,1053932.0,672112.0,1053932.0
10,4,input_order,indomain_min,time,90.0,,0.0002290539996465668
10,5,input_order,indomain_min,obj,390438.0,181038.0,390438.0
10,5,input_order,indomain_min,time,100.0,,0.0004119750010431744
10,6,input_order,indomain_min,obj,1894860.0,1736620.0,1894860.0
10,6,input_order,indomain_min,time,90.0,,0.00048587700075586326
10,7,input_order,indomain_min,obj,3094505.0,3835405.0,3094505.0
