,,,,,Gecode,Gurobi
1,1,largest,outdomain_max,time,70.0,90.0
1,1,largest,outdomain_median,time,60.0,90.0
1,1,largest,outdomain_min,time,70.0,90.0
1,1,largest,outdomain_random,time,60.0,90.0
1,1,max_regret,indomain,time,70.0,100.0
1,1,max_regret,indomain_interval,time,60.0,90.0
1,1,max_regret,indomain_max,time,60.0,90.0
1,1,max_regret,indomain_min,time,60.0,90.0
1,1,max_regret,indomain_reverse_split,time,60.0,90.0
1,1,max_regret,indomain_split,time,60.0,90.0
1,1,max_regret,indomain_split_random,time,60.0,90.0
1,1,max_regret,outdomain_max,time,60.0,90.0
1,1,max_regret,outdomain_median,time,60.0,100.0
1,1,max_regret,outdomain_min,time,60.0,90.0
1,1,max_regret,outdomain_random,time,60.0,90.0
1,1,most_constrained,indomain,time,60.0,90.0
1,1,most_constrained,indomain_interval,time,60.0,90.0
1,1,most_constrained,indomain_max,time,60.0,90.0
1,1,most_constrained,indomain_min,time,60.0,90.0
1,1,most_constrained,indomain_reverse_split,time,60.0,90.0
1,1,most_constrained,indomain_split,time,60.0,90.0
1,1,most_constrained,indomain_split_random,time,60.0,90.0
1,1,most_constrained,outdomain_max,time,60.0,90.0
1,1,most_constrained,outdomain_median,time,60.0,90.0
1,1,most_constrained,outdomain_min,time,70.0,90.0
1,1,most_constrained,outdomain_random,time,60.0,90.0
1,1,occurrence,indomain,time,60.0,90.0
1,1,occurrence,indomain_interval,time,60.0,90.0
1,1,occurrence,indomain_max,time,60.0,90.0
1,1,occurrence,indomain_min,time,70.0,90.0
1,1,occurrence,indomain_reverse_split,time,60.0,90.0
1,1,occurrence,indomain_split,time,60.0,90.0
1,1,occurrence,indomain_split_random,time,60.0,90.0
1,1,occurrence,outdomain_max,time,60.0,90.0
1,1,occurrence,outdomain_median,time,70.0,90.0
1,1,occurrence,outdomain_min,time,60.0,90.0
1,1,occurrence,outdomain_random,time,60.0,90.0
1,1,smallest,indomain,time,70.0,100.0
1,1,smallest,indomain_interval,time,60.0,90.0
1,1,smallest,indomain_max,time,60.0,90.0
1,1,smallest,indomain_min,time,60.0,130.0
1,1,smallest,indomain_reverse_split,time,60.0,100.0
1,1,smallest,indomain_split,time,60.0,90.0
1,1,smallest,indomain_split_random,time,70.0,90.0
1,1,smallest,outdomain_max,time,60.0,90.0
1,1,smallest,outdomain_median,time,70.0,90.0
1,1,smallest,outdomain_min,time,60.0,90.0
1,1,smallest,outdomain_random,time,60.0,90.0
1,2,anti_first_fail,indomain,time,60.0,110.0
1,2,anti_first_fail,indomain_interval,time,60.0,110.0
1,2,anti_first_fail,indomain_max,time,60.0,120.0
1,2,anti_first_fail,indomain_min,time,60.0,110.0
1,2,anti_first_fail,indomain_reverse_split,time,60.0,110.0
1,2,anti_first_fail,indomain_split,time,60.0,110.0
1,2,anti_first_fail,indomain_split_random,time,70.0,110.0
1,2,anti_first_fail,outdomain_max,time,60.0,110.0
1,2,anti_first_fail,outdomain_median,time,60.0,110.0
1,2,anti_first_fail,outdomain_min,time,70.0,110.0
1,2,anti_first_fail,outdomain_random,time,70.0,110.0
1,2,dom_w_deg,indomain,time,60.0,110.0
1,2,dom_w_deg,indomain_interval,time,60.0,120.0
1,2,dom_w_deg,indomain_max,time,60.0,110.0
1,2,dom_w_deg,indomain_min,time,70.0,110.0
1,2,dom_w_deg,indomain_reverse_split,time,60.0,110.0
1,2,dom_w_deg,indomain_split,time,60.0,110.0
1,2,dom_w_deg,indomain_split_random,time,60.0,110.0
1,2,dom_w_deg,outdomain_max,time,60.0,110.0
1,2,dom_w_deg,outdomain_median,time,60.0,110.0
1,2,dom_w_deg,outdomain_min,time,60.0,110.0
1,2,dom_w_deg,outdomain_random,time,60.0,110.0
1,2,first_fail,indomain,time,60.0,110.0
1,2,first_fail,indomain_interval,time,60.0,110.0
1,2,first_fail,indomain_max,time,60.0,110.0
1,2,first_fail,indomain_min,time,60.0,110.0
1,2,first_fail,indomain_reverse_split,time,60.0,110.0
1,2,first_fail,indomain_split,time,60.0,110.0
1,2,first_fail,indomain_split_random,time,60.0,110.0
1,2,first_fail,outdomain_max,time,60.0,110.0
1,2,first_fail,outdomain_median,time,60.0,120.0
1,2,first_fail,outdomain_min,time,60.0,120.0
1,2,first_fail,outdomain_random,time,60.0,130.0
1,2,impact,indomain,time,60.0,110.0
1,2,impact,indomain_interval,time,60.0,110.0
1,2,impact,indomain_max,time,60.0,110.0
1,2,impact,indomain_min,time,60.0,110.0
1,2,impact,indomain_reverse_split,time,60.0,120.0
1,2,impact,indomain_split,time,60.0,110.0
1,2,impact,indomain_split_random,time,60.0,110.0
1,2,impact,outdomain_max,time,60.0,110.0
1,2,impact,outdomain_median,time,60.0,110.0
1,2,impact,outdomain_min,time,60.0,110.0
1,2,impact,outdomain_random,time,60.0,130.0
1,2,input_order,indomain,time,60.0,110.0
1,2,input_order,indomain_interval,time,60.0,110.0
1,2,input_order,indomain_max,time,60.0,120.0
1,2,input_order,indomain_min,time,60.0,110.0
1,2,input_order,indomain_reverse_split,time,60.0,110.0
1,2,input_order,indomain_split,time,60.0,120.0
1,2,input_order,indomain_split_random,time,60.0,110.0
1,2,input_order,outdomain_max,time,60.0,110.0
1,2,input_order,outdomain_median,time,60.0,110.0
1,2,input_order,outdomain_min,time,60.0,120.0
1,2,input_order,outdomain_random,time,60.0,110.0
1,2,largest,indomain,time,60.0,110.0
1,2,largest,indomain_interval,time,60.0,110.0
1,2,largest,indomain_max,time,60.0,110.0
1,2,largest,indomain_min,time,60.0,110.0
1,2,largest,indomain_reverse_split,time,60.0,110.0
1,2,largest,indomain_split,time,60.0,110.0
1,2,largest,indomain_split_random,time,60.0,110.0
1,2,largest,outdomain_max,time,60.0,110.0
1,2,largest,outdomain_median,time,70.0,110.0
1,2,largest,outdomain_min,time,60.0,110.0
1,2,largest,outdomain_random,time,70.0,110.0
1,2,max_regret,indomain,time,60.0,110.0
1,2,max_regret,indomain_interval,time,60.0,140.0
1,2,max_regret,indomain_max,time,70.0,130.0
1,2,max_regret,indomain_min,time,60.0,150.0
1,2,max_regret,indomain_reverse_split,time,60.0,130.0
1,2,max_regret,indomain_split,time,70.0,170.0
1,2,max_regret,indomain_split_random,time,70.0,130.0
1,2,max_regret,outdomain_max,time,70.0,110.0
1,2,max_regret,outdomain_median,time,80.0,130.0
1,2,max_regret,outdomain_min,time,60.0,110.0
1,2,max_regret,outdomain_random,time,60.0,110.0
1,2,most_constrained,indomain,time,60.0,110.0
1,2,most_constrained,indomain_interval,time,70.0,120.0
1,2,most_constrained,indomain_max,time,80.0,110.0
1,2,most_constrained,indomain_min,time,70.0,110.0
1,2,most_constrained,indomain_reverse_split,time,70.0,110.0
1,2,most_constrained,indomain_split,time,70.0,120.0
1,2,most_constrained,indomain_split_random,time,60.0,110.0
1,2,most_constrained,outdomain_max,time,70.0,110.0
1,2,most_constrained,outdomain_median,time,60.0,110.0
1,2,most_constrained,outdomain_min,time,60.0,110.0
1,2,most_constrained,outdomain_random,time,60.0,110.0
1,2,occurrence,indomain,time,70.0,110.0
1,2,occurrence,indomain_interval,time,60.0,110.0
1,2,occurrence,indomain_max,time,60.0,110.0
1,2,occurrence,indomain_min,time,60.0,110.0
1,2,occurrence,indomain_reverse_split,time,60.0,110.0
1,2,occurrence,indomain_split,time,60.0,110.0
1,2,occurrence,indomain_split_random,time,60.0,110.0
1,2,occurrence,outdomain_max,time,60.0,110.0
1,2,occurrence,outdomain_median,time,60.0,110.0
1,2,occurrence,outdomain_min,time,60.0,110.0
1,2,occurrence,outdomain_random,time,60.0,110.0
1,2,smallest,indomain,time,60.0,110.0
1,2,smallest,indomain_interval,time,60.0,110.0
1,2,smallest,indomain_max,time,60.0,110.0
1,2,smallest,indomain_min,time,60.0,110.0
1,2,smallest,indomain_reverse_split,time,60.0,110.0
1,2,smallest,indomain_split,time,60.0,110.0
1,2,smallest,indomain_split_random,time,60.0,110.0
1,2,smallest,outdomain_max,time,60.0,110.0
1,2,smallest,outdomain_median,time,60.0,110.0
1,2,smallest,outdomain_min,time,60.0,110.0
1,2,smallest,outdomain_random,time,60.0,110.0
1,3,anti_first_fail,indomain,time,150.0,150.0
1,3,anti_first_fail,indomain_interval,time,140.0,160.0
1,3,anti_first_fail,indomain_max,time,150.0,160.0
1,3,anti_first_fail,indomain_min,time,140.0,160.0
1,3,anti_first_fail,indomain_reverse_split,time,140.0,150.0
1,3,anti_first_fail,indomain_split,time,140.0,150.0
1,3,anti_first_fail,indomain_split_random,time,140.0,150.0
1,3,anti_first_fail,outdomain_max,time,150.0,150.0
1,3,anti_first_fail,outdomain_median,time,140.0,150.0
1,3,anti_first_fail,outdomain_min,time,140.0,150.0
1,3,anti_first_fail,outdomain_random,time,140.0,150.0
1,3,dom_w_deg,indomain,time,110.0,150.0
1,3,dom_w_deg,indomain_interval,time,110.0,150.0
1,3,dom_w_deg,indomain_max,time,120.0,150.0
1,3,dom_w_deg,indomain_min,time,110.0,150.0
1,3,dom_w_deg,indomain_reverse_split,time,110.0,150.0
1,3,dom_w_deg,indomain_split,time,110.0,150.0
1,3,dom_w_deg,indomain_split_random,time,110.0,150.0
1,3,dom_w_deg,outdomain_max,time,110.0,150.0
1,3,dom_w_deg,outdomain_median,time,110.0,150.0
1,3,dom_w_deg,outdomain_min,time,110.0,150.0
1,3,dom_w_deg,outdomain_random,time,110.0,150.0
1,3,first_fail,indomain,time,140.0,160.0
1,3,first_fail,indomain_interval,time,130.0,160.0
1,3,first_fail,indomain_max,time,140.0,150.0
1,3,first_fail,indomain_min,time,140.0,160.0
1,3,first_fail,indomain_reverse_split,time,140.0,150.0
1,3,first_fail,indomain_split,time,130.0,160.0
1,3,first_fail,indomain_split_random,time,130.0,160.0
1,3,first_fail,outdomain_max,time,130.0,160.0
1,3,first_fail,outdomain_median,time,130.0,160.0
1,3,first_fail,outdomain_min,time,130.0,160.0
1,3,first_fail,outdomain_random,time,130.0,160.0
1,3,impact,indomain,time,110.0,150.0
1,3,impact,indomain_interval,time,110.0,150.0
1,3,impact,indomain_max,time,110.0,150.0
1,3,impact,indomain_min,time,110.0,150.0
1,3,impact,indomain_reverse_split,time,110.0,150.0
1,3,impact,indomain_split,time,110.0,150.0
1,3,impact,indomain_split_random,time,110.0,150.0
1,3,impact,outdomain_max,time,110.0,150.0
1,3,impact,outdomain_median,time,100.0,150.0
1,3,impact,outdomain_min,time,100.0,150.0
1,3,impact,outdomain_random,time,110.0,150.0
1,3,input_order,indomain,time,150.0,160.0
1,3,input_order,indomain_interval,time,140.0,150.0
1,3,input_order,indomain_max,time,150.0,150.0
1,3,input_order,indomain_min,time,140.0,160.0
1,3,input_order,indomain_reverse_split,time,140.0,160.0
1,3,input_order,indomain_split,time,140.0,150.0
1,3,input_order,indomain_split_random,time,140.0,160.0
1,3,input_order,outdomain_max,time,140.0,160.0
1,3,input_order,outdomain_median,time,140.0,160.0
1,3,input_order,outdomain_min,time,140.0,160.0
1,3,input_order,outdomain_random,time,140.0,160.0
1,3,largest,indomain,time,120.0,150.0
1,3,largest,indomain_interval,time,130.0,160.0
1,3,largest,indomain_max,time,130.0,150.0
1,3,largest,indomain_min,time,120.0,150.0
1,3,largest,indomain_reverse_split,time,130.0,150.0
1,3,largest,indomain_split,time,120.0,150.0
1,3,largest,indomain_split_random,time,120.0,150.0
1,3,largest,outdomain_max,time,120.0,150.0
1,3,largest,outdomain_median,time,110.0,150.0
1,3,largest,outdomain_min,time,120.0,150.0
1,3,largest,outdomain_random,time,110.0,150.0
1,3,max_regret,indomain,time,100.0,150.0
1,3,max_regret,indomain_interval,time,100.0,150.0
1,3,max_regret,indomain_max,time,110.0,150.0
1,3,max_regret,indomain_min,time,110.0,150.0
1,3,max_regret,indomain_reverse_split,time,110.0,150.0
1,3,max_regret,indomain_split,time,100.0,150.0
1,3,max_regret,indomain_split_random,time,110.0,150.0
1,3,max_regret,outdomain_max,time,100.0,150.0
1,3,max_regret,outdomain_median,time,100.0,150.0
1,3,max_regret,outdomain_min,time,100.0,150.0
1,3,max_regret,outdomain_random,time,110.0,150.0
1,3,most_constrained,indomain,time,100.0,150.0
1,3,most_constrained,indomain_interval,time,100.0,150.0
1,3,most_constrained,indomain_max,time,110.0,150.0
1,3,most_constrained,indomain_min,time,100.0,150.0
1,3,most_constrained,indomain_reverse_split,time,110.0,150.0
1,3,most_constrained,indomain_split,time,100.0,150.0
1,3,most_constrained,indomain_split_random,time,100.0,150.0
1,3,most_constrained,outdomain_max,time,100.0,150.0
1,3,most_constrained,outdomain_median,time,100.0,150.0
1,3,most_constrained,outdomain_min,time,100.0,150.0
1,3,most_constrained,outdomain_random,time,100.0,150.0
1,3,occurrence,indomain,time,100.0,150.0
1,3,occurrence,indomain_interval,time,100.0,150.0
1,3,occurrence,indomain_max,time,100.0,150.0
1,3,occurrence,indomain_min,time,100.0,150.0
1,3,occurrence,indomain_reverse_split,time,100.0,150.0
1,3,occurrence,indomain_split,time,100.0,150.0
1,3,occurrence,indomain_split_random,time,100.0,150.0
1,3,occurrence,outdomain_max,time,100.0,150.0
1,3,occurrence,outdomain_median,time,100.0,150.0
1,3,occurrence,outdomain_min,time,100.0,150.0
1,3,occurrence,outdomain_random,time,100.0,150.0
1,3,smallest,indomain,time,130.0,150.0
1,3,smallest,indomain_interval,time,130.0,150.0
1,3,smallest,indomain_max,time,130.0,150.0
1,3,smallest,indomain_min,time,120.0,150.0
1,3,smallest,indomain_reverse_split,time,130.0,150.0
1,3,smallest,indomain_split,time,130.0,150.0
1,3,smallest,indomain_split_random,time,120.0,150.0
1,3,smallest,outdomain_max,time,130.0,150.0
1,3,smallest,outdomain_median,time,130.0,150.0
1,3,smallest,outdomain_min,time,120.0,150.0
1,3,smallest,outdomain_random,time,120.0,150.0
1,4,anti_first_fail,indomain,time,100.0,140.0
1,4,anti_first_fail,indomain_interval,time,100.0,140.0
1,4,anti_first_fail,indomain_max,time,90.0,140.0
1,4,anti_first_fail,indomain_min,time,100.0,140.0
1,4,anti_first_fail,indomain_reverse_split,time,90.0,140.0
1,4,anti_first_fail,indomain_split,time,100.0,140.0
1,4,anti_first_fail,indomain_split_random,time,100.0,140.0
1,4,anti_first_fail,outdomain_max,time,100.0,140.0
1,4,anti_first_fail,outdomain_median,time,100.0,140.0
1,4,anti_first_fail,outdomain_min,time,100.0,140.0
1,4,anti_first_fail,outdomain_random,time,100.0,140.0
1,4,dom_w_deg,indomain,time,100.0,140.0
1,4,dom_w_deg,indomain_interval,time,90.0,140.0
1,4,dom_w_deg,indomain_max,time,90.0,140.0
1,4,dom_w_deg,indomain_min,time,100.0,140.0
1,4,dom_w_deg,indomain_reverse_split,time,90.0,140.0
1,4,dom_w_deg,indomain_split,time,90.0,140.0
1,4,dom_w_deg,indomain_split_random,time,100.0,140.0
1,4,dom_w_deg,outdomain_max,time,100.0,150.0
1,4,dom_w_deg,outdomain_median,time,100.0,140.0
1,4,dom_w_deg,outdomain_min,time,100.0,140.0
1,4,dom_w_deg,outdomain_random,time,100.0,140.0
1,4,first_fail,indomain,time,90.0,140.0
1,4,first_fail,indomain_interval,time,90.0,140.0
1,4,first_fail,indomain_max,time,100.0,140.0
1,4,first_fail,indomain_min,time,100.0,140.0
1,4,first_fail,indomain_reverse_split,time,90.0,140.0
1,4,first_fail,indomain_split,time,90.0,140.0
1,4,first_fail,indomain_split_random,time,100.0,140.0
1,4,first_fail,outdomain_max,time,100.0,140.0
1,4,first_fail,outdomain_median,time,100.0,140.0
1,4,first_fail,outdomain_min,time,100.0,140.0
1,4,first_fail,outdomain_random,time,100.0,140.0
1,4,impact,indomain,time,90.0,140.0
1,4,impact,indomain_interval,time,90.0,140.0
1,4,impact,indomain_max,time,90.0,140.0
1,4,impact,indomain_min,time,100.0,140.0
1,4,impact,indomain_reverse_split,time,90.0,140.0
1,4,impact,indomain_split,time,90.0,140.0
1,4,impact,indomain_split_random,time,100.0,140.0
1,4,impact,outdomain_max,time,90.0,140.0
1,4,impact,outdomain_median,time,90.0,140.0
1,4,impact,outdomain_min,time,100.0,140.0
1,4,impact,outdomain_random,time,90.0,140.0
1,4,input_order,indomain,time,90.0,140.0
1,4,input_order,indomain_interval,time,90.0,140.0
1,4,input_order,indomain_max,time,90.0,140.0
1,4,input_order,indomain_min,time,90.0,140.0
1,4,input_order,indomain_reverse_split,time,90.0,140.0
1,4,input_order,indomain_split,time,90.0,140.0
1,4,input_order,indomain_split_random,time,90.0,140.0
1,4,input_order,outdomain_max,time,90.0,140.0
1,4,input_order,outdomain_median,time,90.0,140.0
1,4,input_order,outdomain_min,time,90.0,140.0
1,4,input_order,outdomain_random,time,90.0,140.0
1,4,largest,indomain,time,100.0,140.0
1,4,largest,indomain_interval,time,100.0,140.0
1,4,largest,indomain_max,time,90.0,140.0
1,4,largest,indomain_min,time,100.0,140.0
1,4,largest,indomain_reverse_split,time,90.0,140.0
1,4,largest,indomain_split,time,100.0,140.0
1,4,largest,indomain_split_random,time,100.0,140.0
1,4,largest,outdomain_max,time,100.0,140.0
1,4,largest,outdomain_median,time,100.0,140.0
1,4,largest,outdomain_min,time,100.0,140.0
1,4,largest,outdomain_random,time,100.0,140.0
1,4,max_regret,indomain,time,100.0,140.0
1,4,max_regret,indomain_interval,time,90.0,140.0
1,4,max_regret,indomain_max,time,90.0,140.0
1,4,max_regret,indomain_min,time,90.0,140.0
1,4,max_regret,indomain_reverse_split,time,90.0,140.0
1,4,max_regret,indomain_split,time,90.0,140.0
1,4,max_regret,indomain_split_random,time,90.0,140.0
1,4,max_regret,outdomain_max,time,90.0,140.0
1,4,max_regret,outdomain_median,time,90.0,140.0
1,4,max_regret,outdomain_min,time,90.0,140.0
1,4,max_regret,outdomain_random,time,90.0,140.0
1,4,most_constrained,indomain,time,100.0,150.0
1,4,most_constrained,indomain_interval,time,90.0,140.0
1,4,most_constrained,indomain_max,time,100.0,140.0
1,4,most_constrained,indomain_min,time,100.0,140.0
1,4,most_constrained,indomain_reverse_split,time,90.0,140.0
1,4,most_constrained,indomain_split,time,90.0,140.0
1,4,most_constrained,indomain_split_random,time,100.0,140.0
1,4,most_constrained,outdomain_max,time,100.0,140.0
1,4,most_constrained,outdomain_median,time,100.0,140.0
1,4,most_constrained,outdomain_min,time,100.0,140.0
1,4,most_constrained,outdomain_random,time,100.0,140.0
1,4,occurrence,indomain,time,100.0,140.0
1,4,occurrence,indomain_interval,time,90.0,140.0
1,4,occurrence,indomain_max,time,90.0,140.0
1,4,occurrence,indomain_min,time,90.0,140.0
1,4,occurrence,indomain_reverse_split,time,90.0,140.0
1,4,occurrence,indomain_split,time,90.0,150.0
1,4,occurrence,indomain_split_random,time,90.0,140.0
1,4,occurrence,outdomain_max,time,90.0,140.0
1,4,occurrence,outdomain_median,time,100.0,140.0
1,4,occurrence,outdomain_min,time,100.0,150.0
1,4,occurrence,outdomain_random,time,90.0,140.0
1,4,smallest,indomain,time,90.0,140.0
1,4,smallest,indomain_interval,time,90.0,140.0
1,4,smallest,indomain_max,time,90.0,140.0
1,4,smallest,indomain_min,time,90.0,140.0
1,4,smallest,indomain_reverse_split,time,90.0,140.0
1,4,smallest,indomain_split,time,90.0,150.0
1,4,smallest,indomain_split_random,time,90.0,140.0
1,4,smallest,outdomain_max,time,90.0,140.0
1,4,smallest,outdomain_median,time,90.0,140.0
1,4,smallest,outdomain_min,time,90.0,140.0
1,4,smallest,outdomain_random,time,90.0,140.0
1,5,anti_first_fail,indomain,time,100.0,180.0
1,5,anti_first_fail,indomain_interval,time,100.0,180.0
1,5,anti_first_fail,indomain_max,time,100.0,180.0
1,5,anti_first_fail,indomain_min,time,100.0,170.0
1,5,anti_first_fail,indomain_reverse_split,time,90.0,180.0
1,5,anti_first_fail,indomain_split,time,100.0,170.0
1,5,anti_first_fail,indomain_split_random,time,100.0,170.0
1,5,anti_first_fail,outdomain_max,time,100.0,180.0
1,5,anti_first_fail,outdomain_median,time,100.0,180.0
1,5,anti_first_fail,outdomain_min,time,100.0,180.0
1,5,anti_first_fail,outdomain_random,time,100.0,180.0
1,5,dom_w_deg,indomain,time,100.0,180.0
1,5,dom_w_deg,indomain_interval,time,100.0,180.0
1,5,dom_w_deg,indomain_max,time,100.0,180.0
1,5,dom_w_deg,indomain_min,time,100.0,180.0
1,5,dom_w_deg,indomain_reverse_split,time,100.0,170.0
1,5,dom_w_deg,indomain_split,time,100.0,180.0
1,5,dom_w_deg,indomain_split_random,time,100.0,170.0
1,5,dom_w_deg,outdomain_max,time,100.0,170.0
1,5,dom_w_deg,outdomain_median,time,100.0,170.0
1,5,dom_w_deg,outdomain_min,time,100.0,180.0
1,5,dom_w_deg,outdomain_random,time,100.0,170.0
1,5,first_fail,indomain,time,110.0,180.0
1,5,first_fail,indomain_interval,time,100.0,180.0
1,5,first_fail,indomain_max,time,100.0,180.0
1,5,first_fail,indomain_min,time,100.0,170.0
1,5,first_fail,indomain_reverse_split,time,90.0,180.0
1,5,first_fail,indomain_split,time,100.0,180.0
1,5,first_fail,indomain_split_random,time,100.0,180.0
1,5,first_fail,outdomain_max,time,100.0,180.0
1,5,first_fail,outdomain_median,time,100.0,180.0
1,5,first_fail,outdomain_min,time,100.0,180.0
1,5,first_fail,outdomain_random,time,100.0,180.0
1,5,impact,indomain,time,100.0,180.0
1,5,impact,indomain_interval,time,100.0,180.0
1,5,impact,indomain_max,time,110.0,180.0
1,5,impact,indomain_min,time,100.0,180.0
1,5,impact,indomain_reverse_split,time,100.0,180.0
1,5,impact,indomain_split,time,100.0,180.0
1,5,impact,indomain_split_random,time,100.0,180.0
1,5,impact,outdomain_max,time,100.0,180.0
1,5,impact,outdomain_median,time,100.0,180.0
1,5,impact,outdomain_min,time,100.0,180.0
1,5,impact,outdomain_random,time,100.0,180.0
1,5,input_order,indomain,time,100.0,180.0
1,5,input_order,indomain_interval,time,100.0,180.0
1,5,input_order,indomain_max,time,100.0,180.0
1,5,input_order,indomain_min,time,100.0,170.0
1,5,input_order,indomain_reverse_split,time,100.0,180.0
1,5,input_order,indomain_split,time,100.0,180.0
1,5,input_order,indomain_split_random,time,100.0,170.0
1,5,input_order,outdomain_max,time,100.0,170.0
1,5,input_order,outdomain_median,time,100.0,180.0
1,5,input_order,outdomain_min,time,100.0,180.0
1,5,input_order,outdomain_random,time,100.0,180.0
1,5,largest,indomain,time,100.0,170.0
1,5,largest,indomain_interval,time,100.0,180.0
1,5,largest,indomain_max,time,90.0,170.0
1,5,largest,indomain_min,time,100.0,180.0
1,5,largest,indomain_reverse_split,time,100.0,180.0
1,5,largest,indomain_split,time,100.0,180.0
1,5,largest,indomain_split_random,time,100.0,180.0
1,5,largest,outdomain_max,time,100.0,180.0
1,5,largest,outdomain_median,time,100.0,180.0
1,5,largest,outdomain_min,time,100.0,180.0
1,5,largest,outdomain_random,time,100.0,180.0
1,5,max_regret,indomain,time,100.0,180.0
1,5,max_regret,indomain_interval,time,100.0,170.0
1,5,max_regret,indomain_max,time,100.0,170.0
1,5,max_regret,indomain_min,time,100.0,170.0
1,5,max_regret,indomain_reverse_split,time,100.0,180.0
1,5,max_regret,indomain_split,time,100.0,180.0
1,5,max_regret,indomain_split_random,time,100.0,180.0
1,5,max_regret,outdomain_max,time,100.0,180.0
1,5,max_regret,outdomain_median,time,100.0,180.0
1,5,max_regret,outdomain_min,time,100.0,170.0
1,5,max_regret,outdomain_random,time,100.0,170.0
1,5,most_constrained,indomain,time,110.0,180.0
1,5,most_constrained,indomain_interval,time,100.0,170.0
1,5,most_constrained,indomain_max,time,100.0,180.0
1,5,most_constrained,indomain_min,time,100.0,170.0
1,5,most_constrained,indomain_reverse_split,time,100.0,170.0
1,5,most_constrained,indomain_split,time,100.0,170.0
1,5,most_constrained,indomain_split_random,time,100.0,180.0
1,5,most_constrained,outdomain_max,time,100.0,180.0
1,5,most_constrained,outdomain_median,time,100.0,180.0
1,5,most_constrained,outdomain_min,time,100.0,170.0
1,5,most_constrained,outdomain_random,time,100.0,170.0
1,5,occurrence,indomain,time,100.0,180.0
1,5,occurrence,indomain_interval,time,90.0,170.0
1,5,occurrence,indomain_max,time,100.0,170.0
1,5,occurrence,indomain_min,time,100.0,180.0
1,5,occurrence,indomain_reverse_split,time,100.0,180.0
1,5,occurrence,indomain_split,time,90.0,180.0
1,5,occurrence,indomain_split_random,time,100.0,180.0
1,5,occurrence,outdomain_max,time,100.0,180.0
1,5,occurrence,outdomain_median,time,100.0,180.0
