,,,Gecode,Gurobi
3,49,time,60.0,110.0
3,50,time,50.0,80.0
3,51,time,50.0,100.0
3,52,time,50.0,60.0
3,53,time,60.0,90.0
3,54,time,60.0,80.0
3,55,time,50.0,90.0
3,56,time,50.0,90.0
3,57,time,50.0,100.0
3,58,time,50.0,80.0
3,59,time,50.0,80.0
3,60,time,60.0,110.0
3,61,time,50.0,80.0
3,62,time,60.0,90.0
3,63,time,50.0,100.0
3,64,time,50.0,100.0
3,65,time,50.0,100.0
3,66,time,50.0,60.0
3,67,time,50.0,60.0
3,68,time,60.0,80.0
3,69,time,50.0,90.0
3,70,time,50.0,80.0
3,71,time,60.0,100.0
3,72,time,50.0,80.0
3,73,time,50.0,100.0
3,74,time,50.0,90.0
3,75,time,50.0,90.0
3,76,time,50.0,90.0
3,77,time,50.0,80.0
3,78,time,60.0,90.0
3,79,time,50.0,80.0
3,80,time,50.0,90.0
3,81,time,50.0,80.0
3,82,time,50.0,90.0
3,83,time,50.0,80.0
3,84,time,50.0,90.0
3,85,time,50.0,110.0
3,86,time,50.0,70.0
3,87,time,50.0,80.0
3,88,time,50.0,110.0
3,89,time,50.0,100.0
3,90,time,60.0,80.0
3,91,time,50.0,100.0
3,92,time,50.0,90.0
3,93,time,50.0,80.0
3,94,time,50.0,80.0
3,95,time,60.0,90.0
3,96,time,50.0,90.0
3,97,time,50.0,100.0
3,98,time,50.0,80.0
3,99,time,50.0,110.0
3,100,time,50.0,100.0
4,1,time,50.0,80.0
4,2,time,60.0,120.0
4,3,time,60.0,100.0
4,4,time,50.0,80.0
4,5,time,50.0,60.0
4,6,time,50.0,80.0
4,7,time,60.0,100.0
4,8,time,50.0,110.0
4,9,time,50.0,130.0
4,10,time,50.0,100.0
4,11,time,60.0,80.0
4,12,time,60.0,130.0
4,13,time,60.0,60.0
4,14,time,50.0,80.0
4,15,time,50.0,70.0
4,16,time,60.0,100.0
4,17,time,60.0,70.0
4,18,time,60.0,90.0
4,19,time,60.0,90.0
4,20,time,50.0,90.0
4,21,time,50.0,80.0
4,22,time,60.0,100.0
4,23,time,60.0,120.0
4,24,time,60.0,100.0
4,25,time,50.0,80.0
4,26,time,50.0,100.0
4,27,time,60.0,100.0
4,28,time,50.0,80.0
4,29,time,50.0,90.0
4,30,time,50.0,120.0
4,31,time,50.0,80.0
4,32,time,50.0,100.0
4,33,time,60.0,100.0
4,34,time,50.0,70.0
4,35,time,60.0,100.0
4,36,time,50.0,60.0
4,37,time,50.0,60.0
4,38,time,50.0,60.0
4,39,time,60.0,120.0
4,40,time,50.0,90.0
4,41,time,50.0,120.0
4,42,time,50.0,70.0
4,43,time,60.0,130.0
4,44,time,50.0,90.0
4,45,time,60.0,100.0
4,46,time,50.0,100.0
4,47,time,60.0,90.0
4,48,time,60.0,60.0
4,49,time,50.0,110.0
4,50,time,50.0,80.0
4,51,time,50.0,100.0
4,52,time,50.0,60.0
4,53,time,50.0,90.0
4,54,time,60.0,80.0
4,55,time,50.0,90.0
4,56,time,50.0,90.0
4,57,time,50.0,100.0
4,58,time,60.0,90.0
4,59,time,50.0,80.0
4,60,time,60.0,110.0
4,61,time,50.0,80.0
4,62,time,60.0,90.0
4,63,time,50.0,100.0
4,64,time,50.0,100.0
4,65,time,50.0,100.0
4,66,time,50.0,60.0
4,67,time,50.0,70.0
4,68,time,50.0,80.0
4,69,time,50.0,90.0
4,70,time,50.0,80.0
4,71,time,60.0,90.0
4,72,time,50.0,80.0
4,73,time,50.0,100.0
4,74,time,50.0,100.0
4,75,time,60.0,90.0
4,76,time,50.0,110.0
4,77,time,50.0,80.0
4,78,time,60.0,100.0
4,79,time,50.0,80.0
4,80,time,50.0,90.0
4,81,time,50.0,80.0
4,82,time,50.0,80.0
4,83,time,50.0,70.0
4,84,time,50.0,90.0
4,85,time,60.0,100.0
4,86,time,50.0,80.0
4,87,time,50.0,70.0
4,88,time,50.0,110.0
4,89,time,50.0,100.0
4,90,time,60.0,80.0
4,91,time,50.0,100.0
4,92,time,50.0,90.0
4,93,time,50.0,80.0
4,94,time,50.0,80.0
4,95,time,50.0,90.0
4,96,time,50.0,100.0
4,97,time,50.0,100.0
4,98,time,60.0,80.0
4,99,time,50.0,110.0
4,100,time,60.0,100.0
5,1,time,60.0,90.0
5,2,time,60.0,90.0
5,3,time,60.0,90.0
5,4,time,50.0,80.0
5,5,time,50.0,70.0
5,6,time,50.0,80.0
5,7,time,60.0,100.0
5,8,time,50.0,110.0
5,9,time,50.0,120.0
5,10,time,50.0,110.0
5,11,time,50.0,80.0
5,12,time,60.0,120.0
5,13,time,50.0,70.0
5,14,time,60.0,80.0
5,15,time,50.0,80.0
5,16,time,60.0,100.0
5,17,time,50.0,60.0
5,18,time,50.0,90.0
5,19,time,60.0,90.0
5,20,time,50.0,90.0
5,21,time,60.0,80.0
5,22,time,60.0,100.0
5,23,time,60.0,140.0
5,24,time,50.0,100.0
5,25,time,50.0,80.0
5,26,time,50.0,90.0
5,27,time,60.0,100.0
5,28,time,50.0,80.0
5,29,time,50.0,90.0
5,30,time,50.0,110.0
5,31,time,50.0,80.0
5,32,time,50.0,100.0
5,33,time,50.0,100.0
5,34,time,50.0,80.0
5,35,time,60.0,100.0
5,36,time,50.0,60.0
5,37,time,50.0,70.0
5,38,time,50.0,60.0
5,39,time,60.0,120.0
5,40,time,50.0,90.0
5,41,time,50.0,120.0
5,42,time,60.0,80.0
5,43,time,70.0,110.0
5,44,time,50.0,90.0
5,45,time,60.0,90.0
5,46,time,50.0,100.0
5,47,time,60.0,90.0
5,48,time,60.0,60.0
5,49,time,70.0,120.0
5,50,time,50.0,80.0
5,51,time,50.0,100.0
5,52,time,50.0,60.0
5,53,time,50.0,90.0
5,54,time,60.0,80.0
5,55,time,50.0,90.0
5,56,time,50.0,90.0
5,57,time,50.0,100.0
5,58,time,60.0,90.0
5,59,time,50.0,70.0
5,60,time,60.0,110.0
5,61,time,50.0,80.0
5,62,time,60.0,90.0
5,63,time,70.0,100.0
5,64,time,50.0,110.0
5,65,time,50.0,100.0
5,66,time,50.0,60.0
5,67,time,50.0,60.0
5,68,time,60.0,80.0
5,69,time,50.0,90.0
5,70,time,50.0,80.0
5,71,time,70.0,90.0
5,72,time,50.0,80.0
5,73,time,50.0,90.0
5,74,time,50.0,90.0
5,75,time,50.0,90.0
5,76,time,50.0,90.0
5,77,time,50.0,80.0
5,78,time,60.0,90.0
5,79,time,50.0,80.0
5,80,time,50.0,90.0
5,81,time,50.0,80.0
5,82,time,60.0,80.0
5,83,time,50.0,70.0
5,84,time,50.0,90.0
5,85,time,60.0,140.0
5,86,time,50.0,80.0
5,87,time,50.0,80.0
5,88,time,60.0,120.0
5,89,time,50.0,100.0
5,90,time,70.0,80.0
5,91,time,50.0,100.0
5,92,time,50.0,90.0
5,93,time,60.0,80.0
5,94,time,50.0,70.0
5,95,time,50.0,90.0
5,96,time,50.0,100.0
5,97,time,50.0,100.0
5,98,time,50.0,90.0
5,99,time,50.0,110.0
5,100,time,60.0,120.0
6,1,time,50.0,80.0
6,2,time,70.0,90.0
6,3,time,60.0,100.0
6,4,time,50.0,80.0
6,5,time,50.0,60.0
6,6,time,50.0,90.0
6,7,time,60.0,100.0
6,8,time,50.0,110.0
6,9,time,50.0,120.0
6,10,time,50.0,100.0
6,11,time,60.0,80.0
6,12,time,60.0,120.0
6,13,time,50.0,60.0
6,14,time,60.0,80.0
6,15,time,50.0,70.0
6,16,time,60.0,100.0
6,17,time,50.0,60.0
6,18,time,50.0,90.0
6,19,time,60.0,90.0
6,20,time,50.0,90.0
6,21,time,60.0,80.0
6,22,time,60.0,100.0
6,23,time,60.0,150.0
6,24,time,60.0,100.0
6,25,time,50.0,80.0
6,26,time,50.0,90.0
6,27,time,60.0,90.0
6,28,time,50.0,80.0
6,29,time,60.0,90.0
6,30,time,50.0,110.0
6,31,time,50.0,80.0
6,32,time,60.0,100.0
6,33,time,50.0,100.0
6,34,time,50.0,70.0
6,35,time,60.0,110.0
6,36,time,50.0,70.0
6,37,time,50.0,60.0
6,38,time,50.0,60.0
6,39,time,60.0,120.0
6,40,time,50.0,90.0
6,41,time,50.0,120.0
6,42,time,50.0,80.0
6,43,time,60.0,120.0
6,44,time,50.0,90.0
6,45,time,60.0,90.0
6,46,time,50.0,110.0
6,47,time,50.0,90.0
6,48,time,50.0,60.0
6,49,time,60.0,110.0
6,50,time,50.0,80.0
6,51,time,50.0,100.0
6,52,time,50.0,70.0
6,53,time,50.0,90.0
6,54,time,60.0,80.0
6,55,time,50.0,90.0
6,56,time,50.0,90.0
6,57,time,50.0,100.0
6,58,time,50.0,90.0
6,59,time,50.0,80.0
6,60,time,60.0,110.0
6,61,time,50.0,80.0
6,62,time,60.0,90.0
6,63,time,80.0,100.0
6,64,time,50.0,110.0
6,65,time,50.0,100.0
6,66,time,50.0,60.0
6,67,time,50.0,70.0
6,68,time,50.0,80.0
6,69,time,50.0,90.0
6,70,time,50.0,80.0
6,71,time,60.0,90.0
6,72,time,60.0,80.0
6,73,time,50.0,90.0
6,74,time,50.0,90.0
6,75,time,50.0,90.0
6,76,time,50.0,90.0
6,77,time,60.0,80.0
6,78,time,60.0,90.0
6,79,time,50.0,80.0
6,80,time,50.0,80.0
6,81,time,50.0,80.0
6,82,time,60.0,80.0
6,83,time,50.0,80.0
6,84,time,60.0,90.0
6,85,time,60.0,140.0
6,86,time,50.0,70.0
6,87,time,50.0,80.0
6,88,time,60.0,110.0
6,89,time,50.0,100.0
6,90,time,60.0,80.0
6,91,time,50.0,100.0
6,92,time,50.0,100.0
6,93,time,50.0,80.0
6,94,time,50.0,80.0
6,95,time,60.0,90.0
6,96,time,50.0,90.0
6,97,time,60.0,100.0
6,98,time,50.0,80.0
6,99,time,50.0,110.0
6,100,time,60.0,110.0
7,1,time,80.0,140.0
7,2,time,50.0,80.0
7,3,time,60.0,90.0
7,4,time,50.0,80.0
7,5,time,50.0,70.0
7,6,time,60.0,80.0
7,7,time,60.0,100.0
7,8,time,60.0,100.0
7,9,time,50.0,120.0
7,10,time,50.0,110.0
7,11,time,60.0,80.0
7,12,time,60.0,120.0
7,13,time,50.0,60.0
7,14,time,50.0,80.0
7,15,time,50.0,80.0
7,16,time,60.0,100.0
7,17,time,50.0,60.0
7,18,time,50.0,90.0
7,19,time,60.0,100.0
7,20,time,50.0,90.0
7,21,time,60.0,80.0
7,22,time,60.0,90.0
7,23,time,60.0,150.0
7,24,time,60.0,90.0
7,25,time,50.0,80.0
7,26,time,50.0,90.0
7,27,time,50.0,100.0
7,28,time,50.0,80.0
7,29,time,50.0,90.0
7,30,time,50.0,120.0
7,31,time,50.0,80.0
7,32,time,60.0,100.0
7,33,time,50.0,100.0
7,34,time,50.0,70.0
7,35,time,60.0,100.0
7,36,time,50.0,60.0
7,37,time,50.0,70.0
7,38,time,50.0,70.0
7,39,time,60.0,120.0
7,40,time,50.0,90.0
7,41,time,50.0,120.0
7,42,time,60.0,80.0
7,43,time,60.0,120.0
7,44,time,50.0,90.0
7,45,time,60.0,90.0
7,46,time,50.0,100.0
7,47,time,50.0,90.0
7,48,time,60.0,60.0
7,49,time,90.0,110.0
7,50,time,50.0,80.0
7,51,time,50.0,110.0
7,52,time,50.0,60.0
7,53,time,60.0,100.0
7,54,time,60.0,80.0
7,55,time,50.0,90.0
7,56,time,50.0,90.0
7,57,time,50.0,110.0
7,58,time,60.0,80.0
7,59,time,50.0,80.0
7,60,time,60.0,110.0
7,61,time,50.0,80.0
7,62,time,60.0,90.0
7,63,time,80.0,100.0
7,64,time,50.0,110.0
7,65,time,50.0,100.0
7,66,time,50.0,60.0
7,67,time,50.0,60.0
7,68,time,50.0,80.0
7,69,time,50.0,90.0
7,70,time,50.0,80.0
7,71,time,70.0,90.0
7,72,time,50.0,80.0
7,73,time,50.0,90.0
7,74,time,50.0,90.0
7,75,time,50.0,90.0
7,76,time,50.0,90.0
7,77,time,50.0,80.0
7,78,time,60.0,90.0
7,79,time,60.0,80.0
7,80,time,50.0,80.0
7,81,time,50.0,80.0
7,82,time,50.0,80.0
7,83,time,50.0,70.0
7,84,time,50.0,90.0
7,85,time,50.0,110.0
7,86,time,50.0,70.0
7,87,time,50.0,70.0
7,88,time,60.0,110.0
7,89,time,50.0,90.0
7,90,time,60.0,80.0
7,91,time,50.0,100.0
7,92,time,50.0,90.0
7,93,time,50.0,80.0
7,94,time,50.0,80.0
7,95,time,50.0,90.0
7,96,time,50.0,90.0
7,97,time,60.0,100.0
7,98,time,50.0,90.0
7,99,time,50.0,100.0
7,100,time,60.0,110.0
8,1,time,80.0,140.0
8,2,time,50.0,80.0
8,3,time,60.0,100.0
8,4,time,50.0,80.0
8,5,time,50.0,60.0
8,6,time,50.0,80.0
8,7,time,60.0,100.0
8,8,time,50.0,100.0
8,9,time,60.0,100.0
8,10,time,50.0,110.0
8,11,time,60.0,80.0
8,12,time,60.0,130.0
8,13,time,50.0,60.0
8,14,time,60.0,80.0
8,15,time,50.0,70.0
8,16,time,60.0,100.0
8,17,time,50.0,70.0
8,18,time,50.0,90.0
8,19,time,60.0,90.0
8,20,time,50.0,90.0
8,21,time,60.0,80.0
8,22,time,60.0,100.0
8,23,time,50.0,140.0
8,24,time,60.0,90.0
8,25,time,50.0,80.0
8,26,time,50.0,90.0
8,27,time,50.0,100.0
8,28,time,50.0,80.0
8,29,time,50.0,90.0
8,30,time,50.0,120.0
8,31,time,50.0,80.0
8,32,time,50.0,100.0
8,33,time,50.0,100.0
8,34,time,50.0,70.0
8,35,time,60.0,110.0
8,36,time,50.0,70.0
8,37,time,50.0,60.0
8,38,time,50.0,60.0
8,39,time,60.0,130.0
8,40,time,50.0,90.0
8,41,time,50.0,130.0
8,42,time,60.0,80.0
8,43,time,80.0,140.0
8,44,time,50.0,90.0
8,45,time,60.0,90.0
8,46,time,50.0,110.0
8,47,time,50.0,90.0
8,48,time,60.0,70.0
8,49,time,60.0,140.0
8,50,time,50.0,80.0
8,51,time,50.0,100.0
8,52,time,50.0,60.0
8,53,time,50.0,100.0
8,54,time,60.0,80.0
8,55,time,50.0,90.0
8,56,time,50.0,90.0
8,57,time,50.0,100.0
8,58,time,60.0,80.0
8,59,time,50.0,80.0
8,60,time,60.0,110.0
8,61,time,50.0,80.0
8,62,time,60.0,90.0
8,63,time,80.0,100.0
8,64,time,50.0,110.0
8,65,time,50.0,100.0
8,66,time,50.0,60.0
8,67,time,50.0,60.0
8,68,time,60.0,80.0
8,69,time,50.0,100.0
8,70,time,50.0,80.0
8,71,time,60.0,90.0
8,72,time,50.0,80.0
8,73,time,50.0,90.0
8,74,time,50.0,90.0
8,75,time,50.0,90.0
8,76,time,50.0,90.0
8,77,time,50.0,80.0
8,78,time,60.0,90.0
8,79,time,50.0,80.0
8,80,time,50.0,80.0
8,81,time,50.0,80.0
8,82,time,60.0,80.0
8,83,time,50.0,70.0
8,84,time,50.0,90.0
8,85,time,50.0,120.0
8,86,time,50.0,70.0
8,87,time,50.0,80.0
8,88,time,60.0,110.0
8,89,time,50.0,90.0
8,90,time,70.0,80.0
8,91,time,50.0,100.0
8,92,time,50.0,90.0
8,93,time,60.0,80.0
8,94,time,50.0,80.0
8,95,time,60.0,90.0
8,96,time,50.0,90.0
8,97,time,50.0,90.0
8,98,time,50.0,80.0
8,99,time,50.0,120.0
8,100,time,60.0,120.0
9,1,time,100.0,140.0
9,2,time,60.0,90.0
9,3,time,60.0,90.0
9,4,time,50.0,70.0
9,5,time,50.0,70.0
9,6,time,50.0,80.0
9,7,time,60.0,110.0
9,8,time,50.0,90.0
9,9,time,50.0,130.0
9,10,time,50.0,100.0
9,11,time,60.0,80.0
9,12,time,60.0,120.0
9,13,time,50.0,60.0
9,14,time,60.0,80.0
9,15,time,50.0,80.0
9,16,time,60.0,100.0
9,17,time,50.0,60.0
9,18,time,50.0,90.0
9,19,time,60.0,100.0
9,20,time,60.0,90.0
9,21,time,60.0,80.0
9,22,time,70.0,100.0
9,23,time,60.0,130.0
9,24,time,60.0,90.0
9,25,time,60.0,80.0
9,26,time,50.0,90.0
9,27,time,50.0,90.0
9,28,time,50.0,80.0
9,29,time,50.0,90.0
9,30,time,50.0,110.0
9,31,time,50.0,80.0
9,32,time,60.0,100.0
9,33,time,50.0,100.0
9,34,time,50.0,70.0
9,35,time,60.0,110.0
9,36,time,50.0,60.0
9,37,time,60.0,60.0
9,38,time,50.0,60.0
9,39,time,60.0,120.0
9,40,time,50.0,90.0
9,41,time,50.0,120.0
9,42,time,60.0,80.0
9,43,time,60.0,130.0
9,44,time,50.0,90.0
9,45,time,60.0,100.0
9,46,time,50.0,100.0
9,47,time,50.0,90.0
9,48,time,50.0,70.0
9,49,time,60.0,120.0
9,50,time,50.0,80.0
9,51,time,50.0,100.0
9,52,time,50.0,60.0
9,53,time,50.0,90.0
9,54,time,60.0,80.0
9,55,time,50.0,90.0
9,56,time,50.0,90.0
9,57,time,50.0,100.0
9,58,time,60.0,90.0
9,59,time,50.0,80.0
9,60,time,60.0,110.0
9,61,time,50.0,80.0
9,62,time,60.0,90.0
9,63,time,50.0,100.0
9,64,time,50.0,100.0
9,65,time,50.0,100.0
9,66,time,50.0,60.0
9,67,time,50.0,60.0
9,68,time,70.0,80.0
9,69,time,50.0,90.0
9,70,time,50.0,80.0
9,71,time,60.0,90.0
9,72,time,60.0,80.0
9,73,time,50.0,100.0
9,74,time,50.0,90.0
9,75,time,50.0,90.0
9,76,time,50.0,90.0
9,77,time,50.0,80.0
9,78,time,60.0,90.0
9,79,time,50.0,80.0
9,80,time,50.0,80.0
9,81,time,50.0,100.0
9,82,time,50.0,90.0
9,83,time,50.0,70.0
9,84,time,50.0,90.0
9,85,time,50.0,110.0
9,86,time,50.0,80.0
9,87,time,50.0,80.0
9,88,time,60.0,100.0
9,89,time,50.0,100.0
9,90,time,60.0,80.0
9,91,time,50.0,100.0
9,92,time,50.0,90.0
9,93,time,50.0,80.0
9,94,time,50.0,80.0
9,95,time,50.0,90.0
9,96,time,50.0,100.0
9,97,time,50.0,100.0
9,98,time,50.0,80.0
9,99,time,50.0,120.0
9,100,time,60.0,110.0
10,1,time,60.0,140.0
10,2,time,50.0,80.0
10,3,time,50.0,90.0
10,4,time,60.0,80.0
10,5,time,50.0,60.0
10,6,time,50.0,90.0
10,7,time,60.0,100.0
10,8,time,50.0,110.0
10,9,time,50.0,140.0
10,10,time,50.0,110.0
10,11,time,50.0,80.0
10,12,time,60.0,130.0
10,13,time,50.0,60.0
10,14,time,50.0,80.0
10,15,time,50.0,70.0
10,16,time,60.0,100.0
10,17,time,50.0,60.0
10,18,time,50.0,90.0
10,19,time,50.0,90.0
10,20,time,60.0,90.0
10,21,time,60.0,80.0
10,22,time,60.0,100.0
10,23,time,60.0,130.0
10,24,time,50.0,100.0
10,25,time,50.0,80.0
10,26,time,50.0,90.0
10,27,time,60.0,90.0
10,28,time,50.0,80.0
10,29,time,50.0,90.0
10,30,time,50.0,110.0
10,31,time,50.0,80.0
10,32,time,50.0,90.0
10,33,time,50.0,100.0
10,34,time,50.0,70.0
10,35,time,60.0,100.0
10,36,time,50.0,60.0
10,37,time,50.0,60.0
10,38,time,50.0,60.0
10,39,time,60.0,130.0
10,40,time,50.0,90.0
10,41,time,60.0,140.0
10,42,time,50.0,80.0
10,43,time,60.0,120.0
10,44,time,50.0,100.0
10,45,time,60.0,100.0
10,46,time,50.0,110.0
10,47,time,60.0,90.0
10,48,time,50.0,60.0
10,49,time,60.0,110.0
10,50,time,50.0,80.0
10,51,time,50.0,100.0
10,52,time,60.0,60.0
10,53,time,50.0,90.0
10,54,time,60.0,80.0
10,55,time,50.0,90.0
10,56,time,50.0,90.0
10,57,time,50.0,100.0
10,58,time,60.0,90.0
10,59,time,50.0,80.0
10,60,time,60.0,110.0
10,61,time,50.0,80.0
10,62,time,60.0,90.0
10,63,time,50.0,110.0
10,64,time,50.0,100.0
10,65,time,50.0,100.0
10,66,time,50.0,70.0
10,67,time,50.0,60.0
10,68,time,60.0,80.0
10,69,time,50.0,90.0
10,70,time,50.0,80.0
10,71,time,70.0,100.0
10,72,time,50.0,80.0
10,73,time,50.0,100.0
10,74,time,50.0,90.0
10,75,time,60.0,90.0
10,76,time,50.0,90.0
10,77,time,60.0,80.0
10,78,time,70.0,90.0
10,79,time,50.0,80.0
10,80,time,50.0,80.0
10,81,time,50.0,80.0
10,82,time,50.0,80.0
10,83,time,50.0,80.0
10,84,time,50.0,90.0
10,85,time,60.0,130.0
10,86,time,50.0,80.0
10,87,time,50.0,80.0
10,88,time,60.0,110.0
10,89,time,50.0,90.0
10,90,time,70.0,80.0
10,91,time,50.0,100.0
10,92,time,50.0,90.0
10,93,time,50.0,80.0
10,94,time,50.0,80.0
10,95,time,50.0,90.0
10,96,time,50.0,90.0
