Month,House,Variable choices,Constraint variables,Result,OGSA,Gecode,Preferred,Ratio,OGSA,Optimised,Preferred,
11,95,anti_first_fail,indomain_min,obj,2016372,2151372,2726728,0.937249346,3662,2162,3500,1.693802035
7,25,anti_first_fail,indomain_min,obj,952750,1014270,1707381,0.939345539,2415,2000,2000,1.2075
8,25,anti_first_fail,indomain_min,obj,995327,1059459,2210607,0.939467219,2415,2000,2000,1.2075
2,66,anti_first_fail,indomain_min,obj,350520,372120,591420,0.941954208,4200,4500,2400,0.933333333
8,80,anti_first_fail,indomain_min,obj,88822,94252,179768,0.94238849,727,593,550,1.225969646
6,66,anti_first_fail,indomain_min,obj,346800,366600,795000,0.94599018,3300,4500,2400,0.733333333
7,80,anti_first_fail,indomain_min,obj,79685,84039,149510,0.948190721,727,630,550,1.153968254
10,80,anti_first_fail,indomain_min,obj,201247,211925,270110,0.94961425,727,593,550,1.225969646
3,66,anti_first_fail,indomain_min,obj,362880,380880,545580,0.952741021,3600,4500,2400,0.8
1,25,anti_first_fail,indomain_min,obj,1333780,1399004,2394138,0.953378261,2000,2000,2000,1
2,8,anti_first_fail,indomain_min,obj,403092,422044,690282,0.955094729,2648,1380,1330,1.91884058
5,25,anti_first_fail,indomain_min,obj,1149648,1199232,1873175,0.958653538,2415,2000,2000,1.2075
10,51,anti_first_fail,indomain_min,obj,2279625,2377200,3583575,0.958953811,6900,4000,4000,1.725
6,25,anti_first_fail,indomain_min,obj,1306991,1362623,2268734,0.95917286,2415,2000,2000,1.2075
2,42,anti_first_fail,indomain_min,obj,934172,973772,1738868,0.959333396,7393,6193,4000,1.193767156
2,35,anti_first_fail,indomain_min,obj,1910724,1987974,3796206,0.961141343,6905,5055,5000,1.365974283
7,35,anti_first_fail,indomain_min,obj,917674,954774,2828268,0.961142637,6850,5055,5000,1.355093966
5,35,anti_first_fail,indomain_min,obj,1418742,1475286,2814932,0.961672516,6905,5057,5000,1.365434052
1,66,anti_first_fail,indomain_min,obj,430500,447600,1043700,0.961796247,2400,4500,2400,0.533333333
10,66,anti_first_fail,indomain_min,obj,433740,450840,749340,0.962070801,3300,4500,2400,0.733333333
4,66,anti_first_fail,indomain_min,obj,347520,361140,580140,0.962286094,4200,4500,2400,0.933333333
10,71,anti_first_fail,indomain_min,obj,434038,450838,574332,0.96273606,2962,2312,2300,1.281141869
5,80,anti_first_fail,indomain_min,obj,122133,126709,192041,0.963885754,727,630,550,1.153968254
2,70,anti_first_fail,indomain_min,obj,167905,173785,295565,0.966165089,1325,1115,1000,1.188340807
5,51,anti_first_fail,indomain_min,obj,1379175,1425925,3091050,0.967214264,6900,4000,4000,1.725
2,50,anti_first_fail,indomain_min,obj,939820,971320,1757965,0.967569905,5600,3500,2400,1.6
10,5,anti_first_fail,indomain_min,obj,1676912,1732012,2659300,0.968187287,4143,3050,2300,1.358360656
10,72,anti_first_fail,indomain_min,obj,326601,336501,513741,0.970579582,1451,1000,1000,1.451
2,86,anti_first_fail,indomain_min,obj,1471170,1515570,2160500,0.970704092,7720,5330,4000,1.448405253
6,80,anti_first_fail,indomain_min,obj,153527,157914,231328,0.972219056,727,593,550,1.225969646
2,75,anti_first_fail,indomain_min,obj,3581100,3680800,8135950,0.972913497,14150,8250,6000,1.715151515
8,51,anti_first_fail,indomain_min,obj,1000400,1028125,3276600,0.973033435,6900,4000,4000,1.725
10,25,anti_first_fail,indomain_min,obj,1473978,1514286,1953688,0.973381514,2415,2000,2000,1.2075
9,25,anti_first_fail,indomain_min,obj,1253531,1286867,2136949,0.974095225,2415,2000,2000,1.2075
10,87,anti_first_fail,indomain_min,obj,1084390,1113190,1339655,0.974128406,4735,3135,2400,1.510366826
8,35,anti_first_fail,indomain_min,obj,1029360,1056360,3478822,0.974440532,6905,5055,5000,1.365974283
11,66,anti_first_fail,indomain_min,obj,464280,475980,705180,0.975419135,3300,4500,2400,0.733333333
10,68,anti_first_fail,indomain_min,obj,282133,288993,453496,0.976262401,1588,1463,1200,1.085440875
3,80,anti_first_fail,indomain_min,obj,164536,168514,202417,0.976393653,719,630,550,1.141269841
10,60,anti_first_fail,indomain_min,obj,1199705,1228495,1434145,0.976564821,5685,5120,5120,1.110351563
7,51,anti_first_fail,indomain_min,obj,896250,917475,2659275,0.976865855,6900,4000,4000,1.725
11,35,anti_first_fail,indomain_min,obj,2441464,2498719,3690758,0.977086259,6905,5055,5000,1.365974283
10,35,anti_first_fail,indomain_min,obj,2372954,2427142,3874804,0.977674153,6905,5057,5000,1.365434052
10,58,anti_first_fail,indomain_min,obj,1097398,1122390,1432806,0.97773323,5827,3727,2400,1.563455863
5,93,anti_first_fail,indomain_min,obj,658075,672625,923755,0.978368333,3845,2540,2400,1.513779528
2,93,anti_first_fail,indomain_min,obj,868930,887935,1332505,0.978596406,3845,2540,2400,1.513779528
10,93,anti_first_fail,indomain_min,obj,1094125,1117885,1277165,0.978745578,3845,2400,2400,1.602083333
11,80,anti_first_fail,indomain_min,obj,211608,216111,245592,0.979163485,727,630,550,1.153968254
6,35,anti_first_fail,indomain_min,obj,1774324,1811872,3466174,0.979276682,6848,5057,5000,1.354162547
2,72,anti_first_fail,indomain_min,obj,255556,260806,680756,0.979870095,1451,1101,1000,1.317892825
2,58,anti_first_fail,indomain_min,obj,852488,869964,1575614,0.979911812,5827,4575,2400,1.273661202
5,75,anti_first_fail,indomain_min,obj,2688650,2742650,6886400,0.980311013,14150,8200,6000,1.725609756
5,5,anti_first_fail,indomain_min,obj,1011726,1031884,2321108,0.980464858,4143,3050,2300,1.358360656
2,87,anti_first_fail,indomain_min,obj,858340,875140,1154770,0.980803072,4735,3435,2400,1.37845706
9,80,anti_first_fail,indomain_min,obj,174425,177784,220323,0.981106286,727,620,550,1.172580645
8,5,anti_first_fail,indomain_min,obj,732780,746866,2263888,0.981139856,4143,3050,2300,1.358360656
8,11,anti_first_fail,indomain_min,obj,1002900,1021620,1234230,0.981676161,2300,2000,2000,1.15
11,25,anti_first_fail,indomain_min,obj,1438286,1464810,1758503,0.981892532,2415,2000,2000,1.2075
8,93,anti_first_fail,indomain_min,obj,479380,488170,786015,0.981993978,3845,2540,2400,1.513779528
2,51,anti_first_fail,indomain_min,obj,1840725,1873725,3202875,0.982388024,6900,4000,4000,1.725
6,51,anti_first_fail,indomain_min,obj,1724750,1755225,3531225,0.982637554,6900,4000,4000,1.725
12,80,anti_first_fail,indomain_min,obj,167469,170136,270414,0.984324305,727,630,550,1.153968254
7,5,anti_first_fail,indomain_min,obj,651822,662194,2182998,0.984336916,4143,3050,2300,1.358360656
2,71,anti_first_fail,indomain_min,obj,342274,347674,461894,0.984468209,2962,2312,2300,1.281141869
4,80,anti_first_fail,indomain_min,obj,153348,155748,201516,0.984590492,727,593,550,1.225969646
5,50,anti_first_fail,indomain_min,obj,716935,728135,1746390,0.984618237,5635,4600,2400,1.225
5,72,anti_first_fail,indomain_min,obj,197823,200623,391533,0.986043475,1451,1101,1000,1.317892825
2,80,anti_first_fail,indomain_min,obj,159913,162174,261426,0.986058184,727,630,550,1.153968254
9,60,anti_first_fail,indomain_min,obj,1051145,1065645,1237890,0.986393217,5685,5000,5120,1.137
4,51,anti_first_fail,indomain_min,obj,1724325,1747750,2612700,0.986597053,6900,4000,4000,1.725
2,11,anti_first_fail,indomain_min,obj,1469360,1489000,4565620,0.98680994,2315,2000,2000,1.1575
7,11,anti_first_fail,indomain_min,obj,958110,970275,1140380,0.987462317,2000,2000,2000,1
8,60,anti_first_fail,indomain_min,obj,534595,541320,812245,0.987576664,5685,5120,5120,1.110351563
1,11,anti_first_fail,indomain_min,obj,1610450,1630670,4330450,0.987600189,2000,2015,2000,0.992555831
5,86,anti_first_fail,indomain_min,obj,1102760,1116560,2103960,0.98764061,7720,5330,4000,1.448405253
3,35,anti_first_fail,indomain_min,obj,1899672,1923172,2821476,0.987780604,6903,5055,5000,1.365578635
5,78,anti_first_fail,indomain_min,obj,1594800,1614300,3637800,0.987920461,10200,8700,6000,1.172413793
6,5,anti_first_fail,indomain_min,obj,1262572,1277944,2774290,0.987971304,4143,3050,2300,1.358360656
7,53,anti_first_fail,indomain_min,obj,675585,683745,2308305,0.988065726,8640,8520,6000,1.014084507
10,42,anti_first_fail,indomain_min,obj,1194362,1208762,2205044,0.988086985,7393,6193,4000,1.193767156
9,71,anti_first_fail,indomain_min,obj,382204,386804,439740,0.988107672,2962,2300,2300,1.287826087
6,72,anti_first_fail,indomain_min,obj,250206,253206,459860,0.98815194,1451,1000,1000,1.451
2,78,anti_first_fail,indomain_min,obj,2133600,2159100,3688500,0.988189523,10200,8700,6000,1.172413793
6,60,anti_first_fail,indomain_min,obj,926145,937200,1209035,0.988204225,5685,5120,5120,1.110351563
2,81,anti_first_fail,indomain_min,obj,117676,119076,192276,0.988242803,750,700,500,1.071428571
