,,,,,Gecode,Chuffed,Gurobi,Cplex
1,1,first_fail,outdomain_min,time,70.0,170.0,130.0,140.0
1,1,first_fail,outdomain_random,time,70.0,170.0,130.0,140.0
1,1,impact,indomain,time,70.0,180.0,130.0,130.0
1,1,impact,indomain_interval,time,60.0,180.0,130.0,130.0
1,1,impact,indomain_max,time,60.0,130.0,140.0,130.0
1,1,impact,indomain_min,time,70.0,180.0,130.0,130.0
1,1,impact,indomain_reverse_split,time,60.0,130.0,130.0,140.0
1,1,impact,indomain_split,time,60.0,200.0,130.0,140.0
1,1,impact,indomain_split_random,time,70.0,180.0,130.0,130.0
1,1,impact,outdomain_max,time,70.0,180.0,130.0,140.0
1,1,impact,outdomain_median,time,70.0,180.0,130.0,140.0
1,1,impact,outdomain_min,time,70.0,180.0,130.0,130.0
1,1,impact,outdomain_random,time,70.0,180.0,130.0,140.0
1,1,input_order,indomain,time,70.0,180.0,130.0,130.0
1,1,input_order,indomain_interval,time,60.0,180.0,130.0,130.0
1,1,input_order,indomain_max,time,60.0,120.0,120.0,130.0
1,1,input_order,indomain_min,time,70.0,180.0,130.0,130.0
1,1,input_order,indomain_reverse_split,time,60.0,120.0,120.0,140.0
1,1,input_order,indomain_split,time,60.0,200.0,120.0,150.0
1,1,input_order,indomain_split_random,time,70.0,180.0,130.0,140.0
1,1,input_order,outdomain_max,time,70.0,180.0,130.0,200.0
1,1,input_order,outdomain_median,time,70.0,180.0,130.0,180.0
1,1,input_order,outdomain_min,time,70.0,180.0,130.0,260.0
1,1,input_order,outdomain_random,time,70.0,180.0,130.0,150.0
1,1,largest,indomain,time,70.0,200.0,120.0,130.0
1,1,largest,indomain_interval,time,70.0,200.0,130.0,130.0
1,1,largest,indomain_max,time,60.0,150.0,130.0,140.0
1,1,largest,indomain_min,time,70.0,210.0,130.0,130.0
1,1,largest,indomain_reverse_split,time,60.0,160.0,130.0,130.0
1,1,largest,indomain_split,time,70.0,360.0,330.0,130.0
1,1,largest,indomain_split_random,time,70.0,200.0,160.0,140.0
1,1,largest,outdomain_max,time,70.0,200.0,160.0,140.0
1,1,largest,outdomain_median,time,70.0,190.0,160.0,140.0
1,1,largest,outdomain_min,time,70.0,190.0,160.0,130.0
1,1,largest,outdomain_random,time,70.0,190.0,150.0,140.0
1,1,max_regret,indomain,time,70.0,180.0,130.0,140.0
1,1,max_regret,indomain_interval,time,60.0,180.0,140.0,130.0
1,1,max_regret,indomain_max,time,60.0,120.0,130.0,130.0
1,1,max_regret,indomain_min,time,70.0,180.0,130.0,140.0
1,1,max_regret,indomain_reverse_split,time,60.0,120.0,290.0,140.0
1,1,max_regret,indomain_split,time,60.0,210.0,200.0,140.0
1,1,max_regret,indomain_split_random,time,70.0,180.0,160.0,160.0
1,1,max_regret,outdomain_max,time,70.0,180.0,150.0,230.0
1,1,max_regret,outdomain_median,time,70.0,180.0,160.0,160.0
1,1,max_regret,outdomain_min,time,70.0,180.0,140.0,150.0
1,1,max_regret,outdomain_random,time,70.0,190.0,140.0,140.0
1,1,most_constrained,indomain,time,70.0,170.0,140.0,150.0
1,1,most_constrained,indomain_interval,time,70.0,170.0,130.0,160.0
1,1,most_constrained,indomain_max,time,60.0,140.0,130.0,160.0
1,1,most_constrained,indomain_min,time,70.0,170.0,140.0,140.0
1,1,most_constrained,indomain_reverse_split,time,60.0,170.0,130.0,140.0
1,1,most_constrained,indomain_split,time,60.0,200.0,130.0,140.0
1,1,most_constrained,indomain_split_random,time,70.0,200.0,120.0,140.0
1,1,most_constrained,outdomain_max,time,70.0,210.0,130.0,150.0
1,1,most_constrained,outdomain_median,time,70.0,310.0,130.0,160.0
1,1,most_constrained,outdomain_min,time,70.0,200.0,130.0,140.0
1,1,most_constrained,outdomain_random,time,70.0,180.0,130.0,140.0
1,1,occurrence,indomain,time,70.0,180.0,130.0,160.0
1,1,occurrence,indomain_interval,time,60.0,180.0,120.0,250.0
1,1,occurrence,indomain_max,time,60.0,130.0,130.0,190.0
1,1,occurrence,indomain_min,time,70.0,170.0,130.0,220.0
1,1,occurrence,indomain_reverse_split,time,60.0,130.0,120.0,150.0
1,1,occurrence,indomain_split,time,60.0,200.0,130.0,160.0
1,1,occurrence,indomain_split_random,time,70.0,180.0,120.0,150.0
1,1,occurrence,outdomain_max,time,70.0,170.0,120.0,160.0
1,1,occurrence,outdomain_median,time,70.0,170.0,120.0,150.0
1,1,occurrence,outdomain_min,time,70.0,170.0,130.0,140.0
1,1,occurrence,outdomain_random,time,70.0,170.0,130.0,150.0
1,1,smallest,indomain,time,70.0,310.0,130.0,160.0
1,1,smallest,indomain_interval,time,70.0,240.0,120.0,270.0
1,1,smallest,indomain_max,time,60.0,180.0,120.0,150.0
1,1,smallest,indomain_min,time,70.0,230.0,120.0,160.0
1,1,smallest,indomain_reverse_split,time,90.0,130.0,130.0,150.0
1,1,smallest,indomain_split,time,60.0,240.0,130.0,150.0
1,1,smallest,indomain_split_random,time,70.0,200.0,130.0,140.0
1,1,smallest,outdomain_max,time,70.0,200.0,130.0,140.0
1,1,smallest,outdomain_median,time,70.0,200.0,130.0,140.0
1,1,smallest,outdomain_min,time,70.0,200.0,130.0,130.0
1,1,smallest,outdomain_random,time,70.0,200.0,130.0,130.0
1,2,anti_first_fail,indomain,time,60.0,230.0,120.0,120.0
1,2,anti_first_fail,indomain_interval,time,60.0,270.0,120.0,110.0
1,2,anti_first_fail,indomain_max,time,60.0,240.0,120.0,110.0
1,2,anti_first_fail,indomain_min,time,60.0,230.0,120.0,120.0
1,2,anti_first_fail,indomain_reverse_split,time,60.0,270.0,120.0,110.0
1,2,anti_first_fail,indomain_split,time,60.0,290.0,120.0,120.0
1,2,anti_first_fail,indomain_split_random,time,70.0,210.0,120.0,120.0
1,2,anti_first_fail,outdomain_max,time,60.0,220.0,120.0,110.0
1,2,anti_first_fail,outdomain_median,time,70.0,210.0,120.0,170.0
1,2,anti_first_fail,outdomain_min,time,70.0,210.0,120.0,120.0
1,2,anti_first_fail,outdomain_random,time,70.0,210.0,180.0,130.0
1,2,dom_w_deg,indomain,time,60.0,210.0,130.0,120.0
1,2,dom_w_deg,indomain_interval,time,60.0,210.0,120.0,120.0
1,2,dom_w_deg,indomain_max,time,60.0,210.0,120.0,120.0
1,2,dom_w_deg,indomain_min,time,70.0,220.0,120.0,120.0
1,2,dom_w_deg,indomain_reverse_split,time,60.0,230.0,120.0,130.0
1,2,dom_w_deg,indomain_split,time,60.0,230.0,120.0,120.0
1,2,dom_w_deg,indomain_split_random,time,60.0,230.0,120.0,120.0
1,2,dom_w_deg,outdomain_max,time,60.0,220.0,120.0,120.0
1,2,dom_w_deg,outdomain_median,time,70.0,210.0,120.0,120.0
1,2,dom_w_deg,outdomain_min,time,60.0,210.0,200.0,190.0
1,2,dom_w_deg,outdomain_random,time,70.0,210.0,130.0,130.0
1,2,first_fail,indomain,time,60.0,250.0,120.0,120.0
1,2,first_fail,indomain_interval,time,60.0,320.0,120.0,110.0
1,2,first_fail,indomain_max,time,60.0,290.0,120.0,110.0
1,2,first_fail,indomain_min,time,60.0,260.0,120.0,120.0
1,2,first_fail,indomain_reverse_split,time,60.0,320.0,120.0,110.0
1,2,first_fail,indomain_split,time,60.0,360.0,120.0,120.0
1,2,first_fail,indomain_split_random,time,70.0,250.0,120.0,120.0
1,2,first_fail,outdomain_max,time,60.0,290.0,120.0,120.0
1,2,first_fail,outdomain_median,time,70.0,250.0,120.0,120.0
1,2,first_fail,outdomain_min,time,60.0,260.0,120.0,110.0
1,2,first_fail,outdomain_random,time,60.0,250.0,120.0,110.0
1,2,impact,indomain,time,70.0,210.0,120.0,120.0
1,2,impact,indomain_interval,time,60.0,210.0,130.0,120.0
1,2,impact,indomain_max,time,60.0,200.0,120.0,120.0
1,2,impact,indomain_min,time,60.0,210.0,130.0,120.0
1,2,impact,indomain_reverse_split,time,60.0,210.0,120.0,130.0
1,2,impact,indomain_split,time,60.0,210.0,120.0,130.0
1,2,impact,indomain_split_random,time,60.0,210.0,120.0,130.0
1,2,impact,outdomain_max,time,60.0,210.0,120.0,180.0
1,2,impact,outdomain_median,time,60.0,210.0,130.0,150.0
1,2,impact,outdomain_min,time,60.0,210.0,130.0,130.0
1,2,impact,outdomain_random,time,70.0,210.0,120.0,130.0
1,2,input_order,indomain,time,60.0,220.0,120.0,120.0
1,2,input_order,indomain_interval,time,60.0,210.0,120.0,120.0
1,2,input_order,indomain_max,time,70.0,200.0,120.0,120.0
1,2,input_order,indomain_min,time,60.0,200.0,120.0,120.0
1,2,input_order,indomain_reverse_split,time,60.0,220.0,120.0,120.0
1,2,input_order,indomain_split,time,60.0,220.0,120.0,120.0
1,2,input_order,indomain_split_random,time,60.0,210.0,120.0,120.0
1,2,input_order,outdomain_max,time,60.0,210.0,120.0,120.0
1,2,input_order,outdomain_median,time,70.0,200.0,120.0,120.0
1,2,input_order,outdomain_min,time,60.0,210.0,120.0,110.0
1,2,input_order,outdomain_random,time,60.0,210.0,120.0,120.0
1,2,largest,indomain,time,70.0,230.0,130.0,130.0
1,2,largest,indomain_interval,time,70.0,240.0,120.0,130.0
1,2,largest,indomain_max,time,70.0,230.0,130.0,120.0
1,2,largest,indomain_min,time,60.0,240.0,130.0,120.0
1,2,largest,indomain_reverse_split,time,60.0,240.0,130.0,220.0
1,2,largest,indomain_split,time,60.0,310.0,130.0,120.0
1,2,largest,indomain_split_random,time,70.0,240.0,130.0,120.0
1,2,largest,outdomain_max,time,60.0,250.0,120.0,120.0
1,2,largest,outdomain_median,time,60.0,340.0,120.0,120.0
1,2,largest,outdomain_min,time,60.0,240.0,120.0,120.0
1,2,largest,outdomain_random,time,60.0,230.0,120.0,120.0
1,2,max_regret,indomain,time,60.0,210.0,120.0,130.0
1,2,max_regret,indomain_interval,time,60.0,210.0,120.0,130.0
1,2,max_regret,indomain_max,time,70.0,210.0,120.0,130.0
1,2,max_regret,indomain_min,time,60.0,210.0,120.0,130.0
1,2,max_regret,indomain_reverse_split,time,60.0,220.0,120.0,130.0
1,2,max_regret,indomain_split,time,100.0,220.0,120.0,120.0
1,2,max_regret,indomain_split_random,time,70.0,210.0,130.0,120.0
1,2,max_regret,outdomain_max,time,80.0,210.0,120.0,120.0
1,2,max_regret,outdomain_median,time,80.0,210.0,120.0,130.0
1,2,max_regret,outdomain_min,time,80.0,210.0,130.0,120.0
1,2,max_regret,outdomain_random,time,80.0,210.0,120.0,120.0
1,2,most_constrained,indomain,time,100.0,250.0,130.0,120.0
1,2,most_constrained,indomain_interval,time,70.0,260.0,130.0,120.0
1,2,most_constrained,indomain_max,time,70.0,280.0,190.0,110.0
1,2,most_constrained,indomain_min,time,100.0,250.0,130.0,110.0
1,2,most_constrained,indomain_reverse_split,time,60.0,320.0,130.0,120.0
1,2,most_constrained,indomain_split,time,60.0,270.0,130.0,120.0
1,2,most_constrained,indomain_split_random,time,60.0,260.0,130.0,120.0
1,2,most_constrained,outdomain_max,time,60.0,250.0,130.0,120.0
1,2,most_constrained,outdomain_median,time,70.0,250.0,120.0,120.0
1,2,most_constrained,outdomain_min,time,70.0,250.0,120.0,110.0
1,2,most_constrained,outdomain_random,time,70.0,250.0,120.0,120.0
1,2,occurrence,indomain,time,60.0,230.0,120.0,120.0
1,2,occurrence,indomain_interval,time,60.0,230.0,120.0,110.0
1,2,occurrence,indomain_max,time,70.0,250.0,120.0,110.0
1,2,occurrence,indomain_min,time,60.0,230.0,120.0,110.0
1,2,occurrence,indomain_reverse_split,time,60.0,270.0,120.0,110.0
1,2,occurrence,indomain_split,time,60.0,250.0,120.0,110.0
1,2,occurrence,indomain_split_random,time,60.0,240.0,120.0,120.0
1,2,occurrence,outdomain_max,time,60.0,230.0,120.0,120.0
1,2,occurrence,outdomain_median,time,60.0,230.0,120.0,120.0
1,2,occurrence,outdomain_min,time,60.0,230.0,120.0,120.0
1,2,occurrence,outdomain_random,time,60.0,230.0,120.0,110.0
1,2,smallest,indomain,time,70.0,210.0,140.0,140.0
1,2,smallest,indomain_interval,time,60.0,220.0,120.0,160.0
1,2,smallest,indomain_max,time,60.0,220.0,130.0,120.0
1,2,smallest,indomain_min,time,60.0,210.0,140.0,120.0
1,2,smallest,indomain_reverse_split,time,60.0,320.0,200.0,130.0
1,2,smallest,indomain_split,time,70.0,220.0,130.0,130.0
1,2,smallest,indomain_split_random,time,60.0,210.0,120.0,130.0
1,2,smallest,outdomain_max,time,60.0,210.0,130.0,140.0
1,2,smallest,outdomain_median,time,60.0,210.0,140.0,130.0
1,2,smallest,outdomain_min,time,60.0,210.0,120.0,130.0
1,2,smallest,outdomain_random,time,60.0,210.0,130.0,130.0
1,3,anti_first_fail,indomain,time,60.0,120.0,110.0,110.0
1,3,anti_first_fail,indomain_interval,time,60.0,120.0,110.0,110.0
1,3,anti_first_fail,indomain_max,time,100.0,280.0,110.0,110.0
1,3,anti_first_fail,indomain_min,time,70.0,120.0,110.0,110.0
1,3,anti_first_fail,indomain_reverse_split,time,80.0,570.0,110.0,110.0
1,3,anti_first_fail,indomain_split,time,60.0,110.0,110.0,110.0
1,3,anti_first_fail,indomain_split_random,time,70.0,120.0,110.0,110.0
1,3,anti_first_fail,outdomain_max,time,70.0,120.0,110.0,110.0
1,3,anti_first_fail,outdomain_median,time,70.0,120.0,110.0,110.0
1,3,anti_first_fail,outdomain_min,time,70.0,120.0,110.0,110.0
1,3,anti_first_fail,outdomain_random,time,70.0,120.0,110.0,110.0
1,3,dom_w_deg,indomain,time,60.0,150.0,110.0,110.0
1,3,dom_w_deg,indomain_interval,time,60.0,150.0,110.0,110.0
1,3,dom_w_deg,indomain_max,time,150.0,0.0,110.0,110.0
1,3,dom_w_deg,indomain_min,time,60.0,150.0,110.0,120.0
1,3,dom_w_deg,indomain_reverse_split,time,140.0,170.0,110.0,110.0
1,3,dom_w_deg,indomain_split,time,60.0,180.0,110.0,110.0
1,3,dom_w_deg,indomain_split_random,time,60.0,150.0,110.0,110.0
1,3,dom_w_deg,outdomain_max,time,60.0,150.0,110.0,110.0
1,3,dom_w_deg,outdomain_median,time,60.0,150.0,110.0,110.0
1,3,dom_w_deg,outdomain_min,time,60.0,150.0,110.0,110.0
1,3,dom_w_deg,outdomain_random,time,60.0,160.0,110.0,110.0
1,3,first_fail,indomain,time,70.0,110.0,110.0,110.0
1,3,first_fail,indomain_interval,time,60.0,110.0,110.0,110.0
1,3,first_fail,indomain_max,time,70.0,250.0,110.0,110.0
1,3,first_fail,indomain_min,time,60.0,110.0,110.0,110.0
1,3,first_fail,indomain_reverse_split,time,70.0,630.0,110.0,110.0
1,3,first_fail,indomain_split,time,60.0,120.0,110.0,110.0
1,3,first_fail,indomain_split_random,time,60.0,110.0,110.0,110.0
1,3,first_fail,outdomain_max,time,60.0,110.0,110.0,110.0
1,3,first_fail,outdomain_median,time,60.0,110.0,110.0,110.0
1,3,first_fail,outdomain_min,time,60.0,110.0,110.0,110.0
1,3,first_fail,outdomain_random,time,60.0,110.0,110.0,110.0
1,3,impact,indomain,time,60.0,150.0,110.0,110.0
1,3,impact,indomain_interval,time,60.0,150.0,110.0,110.0
1,3,impact,indomain_max,time,80.0,10.0,110.0,110.0
1,3,impact,indomain_min,time,60.0,150.0,110.0,110.0
1,3,impact,indomain_reverse_split,time,80.0,180.0,110.0,110.0
1,3,impact,indomain_split,time,60.0,180.0,110.0,110.0
1,3,impact,indomain_split_random,time,60.0,150.0,110.0,110.0
1,3,impact,outdomain_max,time,60.0,150.0,110.0,110.0
1,3,impact,outdomain_median,time,60.0,150.0,110.0,110.0
1,3,impact,outdomain_min,time,60.0,150.0,110.0,110.0
1,3,impact,outdomain_random,time,60.0,150.0,120.0,110.0
1,3,input_order,indomain,time,70.0,150.0,110.0,110.0
1,3,input_order,indomain_interval,time,60.0,150.0,110.0,110.0
1,3,input_order,indomain_max,time,80.0,0.0,110.0,110.0
1,3,input_order,indomain_min,time,60.0,150.0,110.0,110.0
1,3,input_order,indomain_reverse_split,time,80.0,170.0,110.0,110.0
1,3,input_order,indomain_split,time,60.0,180.0,110.0,110.0
1,3,input_order,indomain_split_random,time,60.0,150.0,110.0,110.0
1,3,input_order,outdomain_max,time,60.0,150.0,110.0,110.0
1,3,input_order,outdomain_median,time,60.0,150.0,110.0,110.0
1,3,input_order,outdomain_min,time,60.0,150.0,110.0,110.0
1,3,input_order,outdomain_random,time,60.0,150.0,110.0,110.0
1,3,largest,indomain,time,60.0,120.0,110.0,110.0
1,3,largest,indomain_interval,time,60.0,120.0,110.0,110.0
1,3,largest,indomain_max,time,110.0,530.0,110.0,110.0
1,3,largest,indomain_min,time,80.0,120.0,110.0,110.0
1,3,largest,indomain_reverse_split,time,90.0,840.0,110.0,110.0
1,3,largest,indomain_split,time,60.0,130.0,110.0,110.0
1,3,largest,indomain_split_random,time,80.0,120.0,110.0,110.0
1,3,largest,outdomain_max,time,80.0,120.0,110.0,110.0
1,3,largest,outdomain_median,time,80.0,120.0,110.0,110.0
1,3,largest,outdomain_min,time,80.0,120.0,110.0,110.0
1,3,largest,outdomain_random,time,80.0,120.0,110.0,110.0
1,3,max_regret,indomain,time,60.0,150.0,110.0,110.0
1,3,max_regret,indomain_interval,time,60.0,160.0,110.0,110.0
1,3,max_regret,indomain_max,time,80.0,30.0,110.0,110.0
1,3,max_regret,indomain_min,time,60.0,150.0,110.0,110.0
1,3,max_regret,indomain_reverse_split,time,90.0,180.0,110.0,110.0
1,3,max_regret,indomain_split,time,60.0,190.0,110.0,110.0
1,3,max_regret,indomain_split_random,time,60.0,150.0,110.0,110.0
1,3,max_regret,outdomain_max,time,60.0,150.0,110.0,110.0
1,3,max_regret,outdomain_median,time,60.0,150.0,110.0,110.0
1,3,max_regret,outdomain_min,time,70.0,150.0,110.0,110.0
1,3,max_regret,outdomain_random,time,60.0,150.0,110.0,110.0
1,3,most_constrained,indomain,time,60.0,110.0,110.0,110.0
1,3,most_constrained,indomain_interval,time,60.0,110.0,110.0,110.0
1,3,most_constrained,indomain_max,time,70.0,270.0,110.0,110.0
1,3,most_constrained,indomain_min,time,60.0,110.0,110.0,110.0
1,3,most_constrained,indomain_reverse_split,time,70.0,640.0,110.0,110.0
1,3,most_constrained,indomain_split,time,60.0,120.0,110.0,110.0
1,3,most_constrained,indomain_split_random,time,60.0,110.0,110.0,110.0
1,3,most_constrained,outdomain_max,time,60.0,110.0,110.0,110.0
1,3,most_constrained,outdomain_median,time,60.0,110.0,110.0,110.0
1,3,most_constrained,outdomain_min,time,60.0,110.0,110.0,110.0
1,3,most_constrained,outdomain_random,time,60.0,110.0,110.0,110.0
1,3,occurrence,indomain,time,60.0,160.0,110.0,110.0
1,3,occurrence,indomain_interval,time,60.0,150.0,110.0,110.0
1,3,occurrence,indomain_max,time,80.0,800.0,110.0,110.0
1,3,occurrence,indomain_min,time,60.0,160.0,110.0,110.0
1,3,occurrence,indomain_reverse_split,time,80.0,89.999,110.0,110.0
1,3,occurrence,indomain_split,time,60.0,190.0,110.0,110.0
1,3,occurrence,indomain_split_random,time,60.0,160.0,110.0,110.0
1,3,occurrence,outdomain_max,time,60.0,160.0,110.0,110.0
1,3,occurrence,outdomain_median,time,60.0,160.0,110.0,110.0
1,3,occurrence,outdomain_min,time,60.0,160.0,110.0,110.0
1,3,occurrence,outdomain_random,time,60.0,160.0,110.0,110.0
1,3,smallest,indomain,time,60.0,100.0,110.0,120.0
1,3,smallest,indomain_interval,time,60.0,100.0,110.0,110.0
1,3,smallest,indomain_max,time,90.0,270.0,110.0,110.0
1,3,smallest,indomain_min,time,60.0,100.0,110.0,110.0
1,3,smallest,indomain_reverse_split,time,100.0,210.0,110.0,110.0
1,3,smallest,indomain_split,time,70.0,100.0,110.0,110.0
1,3,smallest,indomain_split_random,time,60.0,100.0,110.0,110.0
1,3,smallest,outdomain_max,time,60.0,100.0,110.0,110.0
1,3,smallest,outdomain_median,time,60.0,100.0,110.0,110.0
1,3,smallest,outdomain_min,time,60.0,100.0,110.0,110.0
1,3,smallest,outdomain_random,time,60.0,100.0,110.0,120.0
2,1,anti_first_fail,indomain,time,70.0,160.0,120.0,130.0
2,1,anti_first_fail,indomain_interval,time,60.0,160.0,130.0,150.0
2,1,anti_first_fail,indomain_max,time,60.0,100.0,130.0,140.0
2,1,anti_first_fail,indomain_min,time,70.0,160.0,120.0,310.0
2,1,anti_first_fail,indomain_reverse_split,time,60.0,110.0,130.0,150.0
2,1,anti_first_fail,indomain_split,time,70.0,230.0,130.0,160.0
2,1,anti_first_fail,indomain_split_random,time,70.0,160.0,130.0,250.0
2,1,anti_first_fail,outdomain_max,time,70.0,160.0,130.0,160.0
2,1,anti_first_fail,outdomain_median,time,70.0,160.0,130.0,140.0
2,1,anti_first_fail,outdomain_min,time,70.0,160.0,130.0,140.0
2,1,anti_first_fail,outdomain_random,time,70.0,160.0,130.0,140.0
2,1,dom_w_deg,indomain,time,70.0,170.0,130.0,130.0
2,1,dom_w_deg,indomain_interval,time,60.0,170.0,130.0,130.0
2,1,dom_w_deg,indomain_max,time,60.0,100.0,160.0,130.0
2,1,dom_w_deg,indomain_min,time,70.0,170.0,170.0,130.0
2,1,dom_w_deg,indomain_reverse_split,time,60.0,100.0,160.0,130.0
2,1,dom_w_deg,indomain_split,time,60.0,190.0,140.0,130.0
2,1,dom_w_deg,indomain_split_random,time,70.0,170.0,130.0,130.0
2,1,dom_w_deg,outdomain_max,time,70.0,170.0,140.0,130.0
2,1,dom_w_deg,outdomain_median,time,60.0,170.0,140.0,130.0
2,1,dom_w_deg,outdomain_min,time,70.0,170.0,150.0,130.0
2,1,dom_w_deg,outdomain_random,time,70.0,170.0,130.0,130.0
2,1,first_fail,indomain,time,70.0,170.0,130.0,130.0
2,1,first_fail,indomain_interval,time,60.0,190.0,130.0,130.0
2,1,first_fail,indomain_max,time,60.0,100.0,130.0,160.0
2,1,first_fail,indomain_min,time,70.0,350.0,130.0,140.0
2,1,first_fail,indomain_reverse_split,time,60.0,140.0,130.0,130.0
2,1,first_fail,indomain_split,time,60.0,310.0,130.0,130.0
2,1,first_fail,indomain_split_random,time,70.0,210.0,130.0,130.0
2,1,first_fail,outdomain_max,time,70.0,190.0,120.0,130.0
2,1,first_fail,outdomain_median,time,70.0,180.0,130.0,130.0
2,1,first_fail,outdomain_min,time,70.0,180.0,130.0,130.0
2,1,first_fail,outdomain_random,time,70.0,180.0,130.0,130.0
2,1,impact,indomain,time,70.0,170.0,130.0,130.0
2,1,impact,indomain_interval,time,60.0,170.0,130.0,130.0
2,1,impact,indomain_max,time,60.0,100.0,130.0,130.0
2,1,impact,indomain_min,time,70.0,170.0,150.0,130.0
2,1,impact,indomain_reverse_split,time,60.0,100.0,130.0,130.0
2,1,impact,indomain_split,time,60.0,190.0,130.0,130.0
2,1,impact,indomain_split_random,time,70.0,170.0,130.0,140.0
2,1,impact,outdomain_max,time,70.0,170.0,130.0,130.0
2,1,impact,outdomain_median,time,70.0,170.0,140.0,130.0
2,1,impact,outdomain_min,time,70.0,170.0,130.0,130.0
2,1,impact,outdomain_random,time,70.0,170.0,130.0,130.0
2,1,input_order,indomain,time,70.0,280.0,130.0,130.0
2,1,input_order,indomain_interval,time,70.0,200.0,130.0,130.0
2,1,input_order,indomain_max,time,60.0,120.0,130.0,130.0
2,1,input_order,indomain_min,time,70.0,300.0,130.0,130.0
2,1,input_order,indomain_reverse_split,time,60.0,120.0,130.0,130.0
2,1,input_order,indomain_split,time,70.0,210.0,130.0,130.0
2,1,input_order,indomain_split_random,time,70.0,170.0,130.0,140.0
2,1,input_order,outdomain_max,time,70.0,180.0,130.0,130.0
2,1,input_order,outdomain_median,time,70.0,170.0,130.0,130.0
2,1,input_order,outdomain_min,time,70.0,170.0,130.0,130.0
2,1,input_order,outdomain_random,time,70.0,170.0,130.0,130.0
2,1,largest,indomain,time,70.0,190.0,130.0,140.0
2,1,largest,indomain_interval,time,70.0,190.0,130.0,130.0
2,1,largest,indomain_max,time,60.0,100.0,130.0,130.0
2,1,largest,indomain_min,time,70.0,190.0,120.0,140.0
2,1,largest,indomain_reverse_split,time,60.0,100.0,130.0,140.0
2,1,largest,indomain_split,time,70.0,370.0,130.0,130.0
2,1,largest,indomain_split_random,time,80.0,190.0,130.0,140.0
2,1,largest,outdomain_max,time,70.0,190.0,130.0,130.0
2,1,largest,outdomain_median,time,70.0,190.0,130.0,130.0
2,1,largest,outdomain_min,time,70.0,190.0,120.0,130.0
2,1,largest,outdomain_random,time,70.0,190.0,130.0,130.0
2,1,max_regret,indomain,time,70.0,170.0,130.0,130.0
2,1,max_regret,indomain_interval,time,60.0,170.0,130.0,140.0
2,1,max_regret,indomain_max,time,70.0,100.0,140.0,150.0
2,1,max_regret,indomain_min,time,80.0,160.0,130.0,130.0
2,1,max_regret,indomain_reverse_split,time,60.0,100.0,130.0,140.0
2,1,max_regret,indomain_split,time,60.0,190.0,130.0,130.0
2,1,max_regret,indomain_split_random,time,80.0,170.0,140.0,140.0
2,1,max_regret,outdomain_max,time,70.0,180.0,130.0,320.0
2,1,max_regret,outdomain_median,time,70.0,190.0,130.0,150.0
2,1,max_regret,outdomain_min,time,70.0,170.0,130.0,150.0
2,1,max_regret,outdomain_random,time,70.0,170.0,130.0,130.0
2,1,most_constrained,indomain,time,70.0,170.0,130.0,140.0
2,1,most_constrained,indomain_interval,time,60.0,180.0,130.0,140.0
