,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,,,
1,68,anti_first_fail,indomain_min,obj,2139580.0,2139580.0,2139580.0,2139580.0,2139580.0,2898680.0,1.0
1,68,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00019159307703375816,,3.193217950562636e-06
1,69,anti_first_fail,indomain_min,obj,1119300.0,1119300.0,1119300.0,1119300.0,1130280.0,1180680.0,1.0098097024926294
1,69,anti_first_fail,indomain_min,time,60.0,140.0,50.0,90.0,0.00027883099392056465,,5.576619878411293e-06
1,70,anti_first_fail,indomain_min,obj,1570908.0,1570908.0,1570908.0,1570908.0,1570908.0,1587408.0,1.0
1,70,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.00016963202506303787,,3.3926405012607576e-06
1,71,anti_first_fail,indomain_min,obj,436564.0,436564.0,436564.0,436564.0,436564.0,436564.0,1.0
1,71,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.0001693901140242815,,3.38780228048563e-06
1,72,anti_first_fail,indomain_min,obj,344960.0,344960.0,344960.0,344960.0,344960.0,344960.0,1.0
1,72,anti_first_fail,indomain_min,time,60.0,90.0,60.0,70.0,0.00016912887804210186,,2.818814634035031e-06
1,73,anti_first_fail,indomain_min,obj,719790.0,719790.0,719790.0,719790.0,719790.0,1882810.0,1.0
1,73,anti_first_fail,indomain_min,time,60.0,100.0,60.0,70.0,0.00018048216588795185,,3.0080360981325307e-06
1,74,anti_first_fail,indomain_min,obj,1764100.0,1764100.0,1764100.0,1764100.0,1854592.0,2040292.0,1.0512964117680403
1,74,anti_first_fail,indomain_min,time,60.0,100.0,60.0,70.0,0.00018045189790427685,,3.0075316317379475e-06
1,75,anti_first_fail,indomain_min,obj,3490100.0,3490100.0,3490100.0,3490100.0,3490100.0,8299200.0,1.0
1,75,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00019073206931352615,,3.1788678218921025e-06
1,76,anti_first_fail,indomain_min,obj,1699735.0,1699735.0,1699735.0,1699735.0,1699735.0,5324585.0,1.0
1,76,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.00016998406499624252,,3.3996812999248506e-06
1,77,anti_first_fail,indomain_min,obj,825890.0,825890.0,825890.0,825890.0,825890.0,976304.0,1.0
1,77,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.0002532938960939646,,5.065877921879291e-06
1,78,anti_first_fail,indomain_min,obj,711849.0,711849.0,711849.0,711849.0,711849.0,711849.0,1.0
1,78,anti_first_fail,indomain_min,time,60.0,90.0,60.0,70.0,0.00016687694005668163,,2.781282334278027e-06
1,79,anti_first_fail,indomain_min,obj,455016.0,455016.0,455016.0,455016.0,1001158.0,473616.0,2.2002698806195826
1,79,anti_first_fail,indomain_min,time,60.0,130.0,60.0,100.0,0.0002029950264841318,,3.383250441402197e-06
1,80,anti_first_fail,indomain_min,obj,2521675.0,2521675.0,2521675.0,2521675.0,2521675.0,2721775.0,1.0
1,80,anti_first_fail,indomain_min,time,60.0,90.0,60.0,70.0,0.00017133099026978016,,2.855516504496336e-06
1,81,anti_first_fail,indomain_min,obj,1619070.0,1619070.0,1619070.0,1619070.0,1619070.0,3950070.0,1.0
1,81,anti_first_fail,indomain_min,time,60.0,100.0,60.0,70.0,0.0001902841031551361,,3.1714017192522687e-06
1,82,anti_first_fail,indomain_min,obj,1454650.0,1454650.0,1454650.0,1454650.0,1454650.0,8501250.0,1.0
1,82,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00020267092622816563,,3.377848770469427e-06
1,83,anti_first_fail,indomain_min,obj,783175.0,783175.0,783175.0,783175.0,783175.0,893815.0,1.0
1,83,anti_first_fail,indomain_min,time,60.0,120.0,50.0,90.0,0.00023380480706691742,,4.6760961413383485e-06
1,84,anti_first_fail,indomain_min,obj,708943.0,687673.0,708943.0,708943.0,714143.0,680443.0,1.0073348633105905
1,84,anti_first_fail,indomain_min,time,60.0,120.0,50.0,110.0,0.00027921609580516815,,5.584321916103363e-06
1,85,anti_first_fail,indomain_min,obj,3640104.0,3640104.0,3640104.0,3640104.0,3640104.0,4060704.0,1.0
1,85,anti_first_fail,indomain_min,time,60.0,110.0,50.0,90.0,0.0001903129741549492,,3.806259483098984e-06
1,86,anti_first_fail,indomain_min,obj,506460.0,506460.0,506460.0,506460.0,506460.0,952040.0,1.0
1,86,anti_first_fail,indomain_min,time,60.0,90.0,50.0,60.0,0.00016993796452879906,,3.398759290575981e-06
1,87,anti_first_fail,indomain_min,obj,1000972.0,1000972.0,1000972.0,1000972.0,1000972.0,4998160.0,1.0
