,,,,,Gecode,Gurobi,Gecode,Gurobi,Preferred,OGSA,
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,
Month,House,Variable choices,Constraint variables,Result,,,,,,,
1,98,input_order,indomain_min,time,70,110,60,100,,0.000344006,
1,99,input_order,indomain_min,obj,231559,231559,231559,231559,376916,233605,1.009
1,99,input_order,indomain_min,time,70,120,60,100,,0.000606273,
1,100,input_order,indomain_min,obj,882050,882050,882050,882050,1085720,882050,1.000
1,100,input_order,indomain_min,time,60,110,60,100,,0.000343082,
2,1,input_order,indomain_min,obj,382030,382030,382030,382030,724175,382030,1.000
2,1,input_order,indomain_min,time,60,80,50,60,,0.000226048,
2,2,input_order,indomain_min,obj,232435,232435,232435,232435,439390,232714,1.001
2,2,input_order,indomain_min,time,60,110,50,90,,0.000471167,
2,3,input_order,indomain_min,obj,965036,965036,965036,965036,2543368,1019516,1.056
2,3,input_order,indomain_min,time,60,110,50,90,,0.000368832,
2,4,input_order,indomain_min,obj,1112335,1112335,1112335,1112335,1255750,1112335,1.000
2,4,input_order,indomain_min,time,60,100,50,70,,0.000312356,
2,5,input_order,indomain_min,obj,1167720,1167720,1167720,1167720,1337610,1388790,1.189
2,5,input_order,indomain_min,time,60,100,50,70,,0.000329285,
2,6,input_order,indomain_min,obj,358486,358486,358486,358486,1937366,359034,1.002
2,6,input_order,indomain_min,time,60,130,50,100,,0.000547503,
2,7,input_order,indomain_min,obj,214064,214064,214064,214064,353416,217300,1.015
2,7,input_order,indomain_min,time,60,140,50,100,,0.000466155,
2,8,input_order,indomain_min,obj,923500,923500,923500,923500,1492800,923500,1.000
2,8,input_order,indomain_min,time,60,110,50,90,,0.000417567,
2,9,input_order,indomain_min,obj,332539,332539,332539,332539,491162,375253,1.128
2,9,input_order,indomain_min,time,60,120,50,90,,0.000479052,
2,10,input_order,indomain_min,obj,589340,589340,589340,589340,600780,598230,1.015
2,10,input_order,indomain_min,time,60,110,50,90,,0.000509696,
2,11,input_order,indomain_min,obj,864008,864008,864008,864008,1395388,872476,1.010
2,11,input_order,indomain_min,time,60,110,50,90,,0.000440748,
2,12,input_order,indomain_min,obj,436915,436915,436915,436915,711944,437125,1.000
2,12,input_order,indomain_min,time,60,110,50,90,,0.000456494,
2,13,input_order,indomain_min,obj,137860,137860,137860,137860,656455,147670,1.071
2,13,input_order,indomain_min,time,60,110,50,100,,0.00052492,
2,14,input_order,indomain_min,obj,2754438,2754438,2754438,2754438,5557950,2783639,1.011
2,14,input_order,indomain_min,time,60,130,50,100,,0.00064435,
2,15,input_order,indomain_min,obj,1209560,1209560,1209560,1209560,1380344,1209900,1.000
2,15,input_order,indomain_min,time,60,100,50,80,,0.000298067,
2,16,input_order,indomain_min,obj,167818,167818,167818,167818,252372,167818,1.000
2,16,input_order,indomain_min,time,50,120,50,100,,0.000423764,
2,17,input_order,indomain_min,obj,369566,369566,369566,369566,511858,369566,1.000
2,17,input_order,indomain_min,time,60,110,50,100,,0.000507276,
2,18,input_order,indomain_min,obj,563614,563614,563614,563614,1009264,576158,1.022
2,18,input_order,indomain_min,time,60,110,50,90,,0.000472253,
2,19,input_order,indomain_min,obj,629655,629655,629655,629655,1418370,629655,1.000
2,19,input_order,indomain_min,time,60,110,50,90,,0.000371657,
2,20,input_order,indomain_min,obj,1504411,1504411,1504411,1504411,1960213,1539867,1.024
2,20,input_order,indomain_min,time,60,100,50,90,,0.00047201,
