,,,,,Gecode,Gurobi,Gecode,Gurobi,Preferred,OGSA,
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,
Month,House,Variable choices,Constraint variables,Result,,,,,,,
4,73,input_order,indomain_min,time,60,90,50,70,,0.000271157,
4,74,input_order,indomain_min,obj,587860,587860,587860,587860,772396,629410,1.071
4,74,input_order,indomain_min,time,60,110,50,90,,0.000409917,
4,75,input_order,indomain_min,obj,402444,402444,402444,402444,419660,402444,1.000
4,75,input_order,indomain_min,time,60,90,60,70,,0.000237113,
4,76,input_order,indomain_min,obj,1431580,1431580,1431580,1431580,2205322,1431580,1.000
4,76,input_order,indomain_min,time,60,100,50,80,,0.000320613,
4,77,input_order,indomain_min,obj,1379600,1379600,1379600,1379600,2247050,1389950,1.008
4,77,input_order,indomain_min,time,60,110,50,90,,0.000337765,
4,78,input_order,indomain_min,obj,114265,114265,114265,114265,150400,114265,1.000
4,78,input_order,indomain_min,time,70,100,60,90,,0.00037778,
4,79,input_order,indomain_min,obj,1201200,1201200,1201200,1201200,1785800,1215000,1.011
4,79,input_order,indomain_min,time,70,100,60,100,,0.000502968,
4,80,input_order,indomain_min,obj,535948,535948,535948,535948,839793,535948,1.000
4,80,input_order,indomain_min,time,80,110,70,80,,0.000436628,
4,81,input_order,indomain_min,obj,496732,496732,496732,496732,894988,497728,1.002
4,81,input_order,indomain_min,time,60,100,50,90,,0.000402803,
4,82,input_order,indomain_min,obj,995940,995940,995940,995940,1344110,997090,1.001
4,82,input_order,indomain_min,time,60,110,50,90,,0.000401081,
4,83,input_order,indomain_min,obj,617720,617720,617720,617720,905638,617720,1.000
4,83,input_order,indomain_min,time,60,100,50,80,,0.000325353,
4,84,input_order,indomain_min,obj,1272305,1272305,1272305,1272305,1577422,1272305,1.000
4,84,input_order,indomain_min,time,60,120,60,90,,0.000357212,
4,85,input_order,indomain_min,obj,543800,543800,543800,543800,794800,550100,1.012
4,85,input_order,indomain_min,time,60,130,60,110,,0.000472981,
4,86,input_order,indomain_min,obj,761443,761443,761443,761443,1253448,762578,1.001
4,86,input_order,indomain_min,time,70,120,60,100,,0.00038586,
4,87,input_order,indomain_min,obj,149439,149439,149439,149439,269760,149484,1.000
4,87,input_order,indomain_min,time,60,110,50,90,,0.000344607,
4,88,input_order,indomain_min,obj,635050,635050,635050,635050,982800,635130,1.000
4,88,input_order,indomain_min,time,60,100,50,80,,0.00027602,
4,89,input_order,indomain_min,obj,287092,287092,287092,287092,449136,287092,1.000
4,89,input_order,indomain_min,time,60,90,50,70,,0.000266834,
4,90,input_order,indomain_min,obj,20570,20570,20570,20570,24580,20570,1.000
4,90,input_order,indomain_min,time,60,90,50,60,,0.000227003,
4,91,input_order,indomain_min,obj,471648,471648,471648,471648,709050,474132,1.005
4,91,input_order,indomain_min,time,70,110,60,90,,0.000297387,
4,92,input_order,indomain_min,obj,654353,654353,654353,654353,830098,683128,1.044
4,92,input_order,indomain_min,time,90,120,60,90,,0.000510433,
4,93,input_order,indomain_min,obj,703550,703550,703550,703550,758900,703690,1.000
4,93,input_order,indomain_min,time,70,120,70,100,,0.000493186,
4,94,input_order,indomain_min,obj,330900,330900,330900,330900,505952,331700,1.002
4,94,input_order,indomain_min,time,70,110,70,90,,0.000393968,
4,95,input_order,indomain_min,obj,1025585,1025585,1025585,1025585,1311145,1175935,1.147
4,95,input_order,indomain_min,time,60,130,50,120,,0.000557279,
4,96,input_order,indomain_min,obj,1148270,1148270,1148270,1148270,1858850,1203920,1.048
4,96,input_order,indomain_min,time,80,120,70,100,,0.000425609,
4,97,input_order,indomain_min,obj,828620,828620,828620,828620,1224125,828620,1.000
4,97,input_order,indomain_min,time,60,100,60,90,,0.000331485,
4,98,input_order,indomain_min,obj,842660,842660,842660,842660,1457483,865180,1.027
4,98,input_order,indomain_min,time,60,110,60,100,,0.000371825,
4,99,input_order,indomain_min,obj,186662,186662,186662,186662,296189,191684,1.027
4,99,input_order,indomain_min,time,70,120,70,100,,0.000382882,
4,100,input_order,indomain_min,obj,711935,711935,711935,711935,888720,711965,1.000
4,100,input_order,indomain_min,time,60,120,60,100,,0.00035282,
5,1,input_order,indomain_min,obj,301165,301165,301165,301165,844730,301165,1.000
5,1,input_order,indomain_min,time,60,80,50,60,,0.000223681,
5,2,input_order,indomain_min,obj,179070,179070,179070,179070,427724,179673,1.003
5,2,input_order,indomain_min,time,60,120,60,90,,0.00045109,
5,3,input_order,indomain_min,obj,741780,741780,741780,741780,1258036,765644,1.032
5,3,input_order,indomain_min,time,60,110,50,90,,0.000350975,
5,4,input_order,indomain_min,obj,818105,818105,818105,818105,1353355,863905,1.056
5,4,input_order,indomain_min,time,80,100,70,70,,0.000277879,
5,5,input_order,indomain_min,obj,1017420,1017420,1017420,1017420,1292340,1017420,1.000
5,5,input_order,indomain_min,time,60,90,50,70,,0.00030015,
5,6,input_order,indomain_min,obj,273288,273288,273288,273288,491878,272882,0.999
5,6,input_order,indomain_min,time,60,130,60,100,,0.000499756,
5,7,input_order,indomain_min,obj,162520,162520,162520,162520,341568,165436,1.018
5,7,input_order,indomain_min,time,60,120,50,100,,0.000418641,
5,8,input_order,indomain_min,obj,685625,685625,685625,685625,1468550,690825,1.008
5,8,input_order,indomain_min,time,60,100,60,90,,0.000355528,
5,9,input_order,indomain_min,obj,261721,261721,261721,261721,479878,274169,1.048
5,9,input_order,indomain_min,time,60,110,60,100,,0.000451912,
5,10,input_order,indomain_min,obj,564955,564955,564955,564955,671525,569115,1.007
5,10,input_order,indomain_min,time,60,110,50,100,,0.000458879,
5,11,input_order,indomain_min,obj,650172,650172,650172,650172,1363964,658058,1.012
5,11,input_order,indomain_min,time,60,100,60,90,,0.00040894,
5,12,input_order,indomain_min,obj,328235,328235,328235,328235,603821,330075,1.006
5,12,input_order,indomain_min,time,70,160,60,90,,0.000388187,
5,13,input_order,indomain_min,obj,104540,104540,104540,104540,213005,107110,1.025
5,13,input_order,indomain_min,time,60,110,50,90,,0.000451239,
5,14,input_order,indomain_min,obj,1968102,1968102,1968102,1968102,3297164,2434167,1.237
5,14,input_order,indomain_min,time,60,130,50,110,,0.0007147,
5,15,input_order,indomain_min,obj,892860,892860,892860,892860,996264,892860,1.000
5,15,input_order,indomain_min,time,60,100,50,80,,0.000290483,
5,16,input_order,indomain_min,obj,126386,126386,126386,126386,224676,127086,1.006
5,16,input_order,indomain_min,time,60,130,50,100,,0.000382023,
5,17,input_order,indomain_min,obj,291240,291240,291240,291240,322974,291256,1.000
5,17,input_order,indomain_min,time,60,120,50,100,,0.000479387,
5,18,input_order,indomain_min,obj,439226,439226,439226,439226,1045604,444514,1.012
5,18,input_order,indomain_min,time,60,110,50,90,,0.000433405,
5,19,input_order,indomain_min,obj,477885,477885,477885,477885,995850,477885,1.000
5,19,input_order,indomain_min,time,70,110,60,90,,0.000350789,
5,20,input_order,indomain_min,obj,1122108,1122108,1122108,1122108,3190304,1174024,1.046
5,20,input_order,indomain_min,time,60,110,60,90,,0.000442657,
5,21,input_order,indomain_min,obj,876868,876868,876868,876868,1862164,886018,1.010
5,21,input_order,indomain_min,time,60,100,50,80,,0.000279574,
5,22,input_order,indomain_min,obj,102013,102013,102013,102013,193037,104737,1.027
5,22,input_order,indomain_min,time,60,110,50,100,,0.000495694,
5,23,input_order,indomain_min,obj,398640,398640,398640,398640,845740,398640,1.000
5,23,input_order,indomain_min,time,60,100,60,80,,0.000320711,
5,24,input_order,indomain_min,obj,921850,921850,921850,921850,1578705,941735,1.022
5,24,input_order,indomain_min,time,60,100,50,80,,0.000346995,
5,25,input_order,indomain_min,obj,2422080,2422080,2422080,2422080,4866170,2422080,1.000
5,25,input_order,indomain_min,time,70,100,60,70,,0.000258648,
5,26,input_order,indomain_min,obj,109160,109160,109160,109160,268330,118275,1.084
5,26,input_order,indomain_min,time,60,110,50,100,,0.000449145,
5,27,input_order,indomain_min,obj,807336,807336,807336,807336,1151844,807336,1.000
5,27,input_order,indomain_min,time,70,90,60,60,,0.000226153,
5,28,input_order,indomain_min,obj,2256004,2256004,2256004,2256004,6128100,2320404,1.029
5,28,input_order,indomain_min,time,60,110,60,90,,0.000385178,
5,29,input_order,indomain_min,obj,1835370,1835370,1835370,1835370,2827280,1844480,1.005
5,29,input_order,indomain_min,time,60,100,60,80,,0.000313746,
5,30,input_order,indomain_min,obj,863757,863757,863757,863757,1647336,868257,1.005
5,30,input_order,indomain_min,time,60,100,60,80,,0.000413189,
5,31,input_order,indomain_min,obj,1646860,1646860,1646860,1646860,3178950,1651238,1.003
5,31,input_order,indomain_min,time,60,110,50,90,,0.000390328,
5,32,input_order,indomain_min,obj,135978,135978,135978,135978,278028,135978,1.000
5,32,input_order,indomain_min,time,70,90,70,80,,0.000304683,
5,33,input_order,indomain_min,obj,1788676,1788676,1788676,1788676,2794816,1816588,1.016
5,33,input_order,indomain_min,time,60,100,50,80,,0.00041402,
5,34,input_order,indomain_min,obj,1110100,1110100,1110100,1110100,2372800,1132400,1.020
5,34,input_order,indomain_min,time,60,110,50,80,,0.000346628,
5,35,input_order,indomain_min,obj,630375,630375,630375,630375,1355024,638087,1.012
5,35,input_order,indomain_min,time,60,120,60,100,,0.000465656,
5,36,input_order,indomain_min,obj,671178,671178,671178,671178,1727756,685242,1.021
5,36,input_order,indomain_min,time,60,110,50,90,,0.000464217,
5,37,input_order,indomain_min,obj,1193390,1193390,1193390,1193390,1255292,1194206,1.001
5,37,input_order,indomain_min,time,70,110,60,90,,0.000340241,
5,38,input_order,indomain_min,obj,481040,481040,481040,481040,764660,481300,1.001
5,38,input_order,indomain_min,time,60,100,50,90,,0.000399139,
5,39,input_order,indomain_min,obj,831120,831120,831120,831120,1585130,974340,1.172
5,39,input_order,indomain_min,time,70,110,60,100,,0.000415315,
5,40,input_order,indomain_min,obj,1154078,1154078,1154078,1154078,1558167,1254213,1.087
5,40,input_order,indomain_min,time,60,110,50,90,,0.000404149,
5,41,input_order,indomain_min,obj,1795261,1795261,1795261,1795261,4801336,1795261,1.000
5,41,input_order,indomain_min,time,70,110,70,90,,0.000355724,
5,42,input_order,indomain_min,obj,150550,150550,150550,150550,347170,151350,1.005
5,42,input_order,indomain_min,time,60,110,50,100,,0.000407268,
5,43,input_order,indomain_min,obj,325010,325010,325010,325010,467304,384516,1.183
5,43,input_order,indomain_min,time,60,100,50,80,,0.00039397,
5,44,input_order,indomain_min,obj,443525,443525,443525,443525,1517950,446225,1.006
5,44,input_order,indomain_min,time,60,100,50,80,,0.000326901,
5,45,input_order,indomain_min,obj,966604,966604,966604,966604,1639205,974646,1.008
5,45,input_order,indomain_min,time,60,110,50,100,,0.000468264,
5,46,input_order,indomain_min,obj,277340,277340,277340,277340,620880,281960,1.017
5,46,input_order,indomain_min,time,60,90,50,80,,0.000265981,
5,47,input_order,indomain_min,obj,476530,476530,476530,476530,1157466,476554,1.000
5,47,input_order,indomain_min,time,60,100,50,70,,0.000262963,
5,48,input_order,indomain_min,obj,342502,342502,342502,342502,878704,344350,1.005
5,48,input_order,indomain_min,time,70,100,60,80,,0.000417511,
5,49,input_order,indomain_min,obj,749888,749888,749888,749888,1879640,761332,1.015
5,49,input_order,indomain_min,time,60,110,50,90,,0.000362976,
5,50,input_order,indomain_min,obj,1388122,1388122,1388122,1388122,2738121,1385458,0.998
5,50,input_order,indomain_min,time,60,120,60,90,,0.000375686,
5,51,input_order,indomain_min,obj,238221,238221,238221,238221,222517,690487,2.899
5,51,input_order,indomain_min,time,60,150,60,110,,0.000550362,
5,52,input_order,indomain_min,obj,798888,798888,798888,798888,1353728,925965,1.159
5,52,input_order,indomain_min,time,60,110,50,100,,0.000463531,
5,53,input_order,indomain_min,obj,432384,432384,432384,432384,776500,436134,1.009
5,53,input_order,indomain_min,time,60,110,50,80,,0.000441456,
5,54,input_order,indomain_min,obj,597885,597885,597885,597885,1215475,635823,1.063
5,54,input_order,indomain_min,time,60,120,50,110,,0.000583613,
5,55,input_order,indomain_min,obj,139744,139744,139744,139744,192168,139744,1.000
5,55,input_order,indomain_min,time,80,90,70,60,,0.000226922,
5,56,input_order,indomain_min,obj,239847,239847,239847,239847,468587,251543,1.049
5,56,input_order,indomain_min,time,70,110,70,100,,0.000488422,
5,57,input_order,indomain_min,obj,203988,203988,203988,203988,269686,203988,1.000
5,57,input_order,indomain_min,time,60,100,60,90,,0.000386954,
5,58,input_order,indomain_min,obj,899580,899580,899580,899580,2049200,927940,1.032
5,58,input_order,indomain_min,time,90,110,90,90,,0.00042537,
5,59,input_order,indomain_min,obj,640742,640742,640742,640742,1339592,640982,1.000
5,59,input_order,indomain_min,time,60,100,60,80,,0.000314152,
5,60,input_order,indomain_min,obj,570500,570500,570500,570500,817280,583100,1.022
5,60,input_order,indomain_min,time,60,100,60,80,,0.000330424,
5,61,input_order,indomain_min,obj,1570925,1570925,1570925,1570925,2293570,1861180,1.185
5,61,input_order,indomain_min,time,70,100,50,90,,0.000395908,
5,62,input_order,indomain_min,obj,1033900,1033900,1033900,1033900,1795650,1033900,1.000
5,62,input_order,indomain_min,time,60,100,50,80,,0.000317899,
5,63,input_order,indomain_min,obj,629600,629600,629600,629600,1214200,640700,1.018
5,63,input_order,indomain_min,time,70,100,50,70,,0.00025732,
5,64,input_order,indomain_min,obj,1316672,1316672,1316672,1316672,1676614,1558040,1.183
5,64,input_order,indomain_min,time,60,100,60,90,,0.000383469,
5,65,input_order,indomain_min,obj,1299916,1299916,1299916,1299916,2833780,1299916,1.000
5,65,input_order,indomain_min,time,70,100,60,80,,0.000326617,
5,66,input_order,indomain_min,obj,675709,675709,675709,675709,1049038,690125,1.021
5,66,input_order,indomain_min,time,60,100,50,80,,0.000326277,
5,67,input_order,indomain_min,obj,195818,195818,195818,195818,339580,195818,1.000
5,67,input_order,indomain_min,time,60,90,60,60,,0.000228759,
5,68,input_order,indomain_min,obj,450544,450544,450544,450544,857396,450544,1.000
5,68,input_order,indomain_min,time,60,120,50,90,,0.000509665,
5,69,input_order,indomain_min,obj,1975732,1975732,1975732,1975732,4172744,2198774,1.113
5,69,input_order,indomain_min,time,60,120,50,100,,0.000461725,
5,70,input_order,indomain_min,obj,223265,223265,223265,223265,742205,254065,1.138
5,70,input_order,indomain_min,time,60,110,50,90,,0.000356876,
5,71,input_order,indomain_min,obj,522055,522055,522055,522055,1534690,635810,1.218
5,71,input_order,indomain_min,time,60,120,50,110,,0.000607894,
5,72,input_order,indomain_min,obj,1366222,1366222,1366222,1366222,2734692,2385902,1.746
5,72,input_order,indomain_min,time,60,110,50,100,,0.000580493,
5,73,input_order,indomain_min,obj,338730,338730,338730,338730,658720,341330,1.008
5,73,input_order,indomain_min,time,60,90,50,70,,0.000261832,
5,74,input_order,indomain_min,obj,472192,472192,472192,472192,693064,512112,1.085
5,74,input_order,indomain_min,time,60,100,60,90,,0.000406719,
5,75,input_order,indomain_min,obj,333338,333338,333338,333338,363350,333338,1.000
5,75,input_order,indomain_min,time,60,90,60,60,,0.000227268,
5,76,input_order,indomain_min,obj,1135574,1135574,1135574,1135574,2944206,1135574,1.000
5,76,input_order,indomain_min,time,60,100,60,80,,0.000312666,
5,77,input_order,indomain_min,obj,1101550,1101550,1101550,1101550,2230400,1109250,1.007
5,77,input_order,indomain_min,time,60,110,60,80,,0.000308768,
5,78,input_order,indomain_min,obj,91190,91190,91190,91190,150700,91190,1.000
5,78,input_order,indomain_min,time,70,100,60,90,,0.000371276,
5,79,input_order,indomain_min,obj,954600,954600,954600,954600,1781200,955000,1.000
5,79,input_order,indomain_min,time,70,120,60,80,,0.000499325,
5,80,input_order,indomain_min,obj,428379,428379,428379,428379,758950,428379,1.000
5,80,input_order,indomain_min,time,70,100,60,80,,0.000433964,
5,81,input_order,indomain_min,obj,397640,397640,397640,397640,850612,399620,1.005
5,81,input_order,indomain_min,time,60,100,50,90,,0.000399099,
5,82,input_order,indomain_min,obj,791570,791570,791570,791570,1391860,792170,1.001
5,82,input_order,indomain_min,time,60,120,50,100,,0.000399887,
5,83,input_order,indomain_min,obj,492721,492721,492721,492721,874392,492721,1.000
5,83,input_order,indomain_min,time,60,120,70,80,,0.000323968,
5,84,input_order,indomain_min,obj,1010979,1010979,1010979,1010979,1385589,1010979,1.000
5,84,input_order,indomain_min,time,70,120,50,90,,0.000351953,
5,85,input_order,indomain_min,obj,432800,432800,432800,432800,840600,441000,1.019
5,85,input_order,indomain_min,time,60,130,60,110,,0.000467626,
5,86,input_order,indomain_min,obj,605472,605472,605472,605472,1346344,606742,1.002
5,86,input_order,indomain_min,time,70,130,60,100,,0.00040862,
5,87,input_order,indomain_min,obj,118105,118105,118105,118105,254144,118118,1.000
5,87,input_order,indomain_min,time,60,110,50,80,,0.000345696,
5,88,input_order,indomain_min,obj,501500,501500,501500,501500,920890,501500,1.000
5,88,input_order,indomain_min,time,60,90,60,90,,0.000283093,
5,89,input_order,indomain_min,obj,226361,226361,226361,226361,444626,226361,1.000
5,89,input_order,indomain_min,time,60,90,50,60,,0.000225373,
5,90,input_order,indomain_min,obj,16255,16255,16255,16255,22505,16255,1.000
5,90,input_order,indomain_min,time,60,90,50,60,,0.000226303,
5,91,input_order,indomain_min,obj,372354,372354,372354,372354,634848,377106,1.013
5,91,input_order,indomain_min,time,70,110,60,90,,0.00036316,
5,92,input_order,indomain_min,obj,521934,521934,521934,521934,698455,572249,1.096
5,92,input_order,indomain_min,time,70,100,60,80,,0.000343686,
5,93,input_order,indomain_min,obj,555340,555340,555340,555340,624230,555340,1.000
5,93,input_order,indomain_min,time,70,120,60,110,,0.000501802,
5,94,input_order,indomain_min,obj,267000,267000,267000,267000,569296,266500,0.998
5,94,input_order,indomain_min,time,70,120,60,100,,0.000393624,
5,95,input_order,indomain_min,obj,835365,835365,835365,835365,1240770,971190,1.163
5,95,input_order,indomain_min,time,70,150,60,130,,0.000552097,
5,96,input_order,indomain_min,obj,910720,910720,910720,910720,2827555,970605,1.066
5,96,input_order,indomain_min,time,70,120,70,100,,0.000425894,
5,97,input_order,indomain_min,obj,653335,653335,653335,653335,1243280,653335,1.000
5,97,input_order,indomain_min,time,70,110,70,90,,0.000290326,
5,98,input_order,indomain_min,obj,676809,676809,676809,676809,1415851,708712,1.047
5,98,input_order,indomain_min,time,60,110,60,100,,0.000358505,
5,99,input_order,indomain_min,obj,150019,150019,150019,150019,314800,154911,1.033
5,99,input_order,indomain_min,time,70,120,60,110,,0.000386969,
5,100,input_order,indomain_min,obj,569020,569020,569020,569020,793795,569020,1.000
5,100,input_order,indomain_min,time,60,120,60,100,,0.000386917,
6,1,input_order,indomain_min,obj,381950,381950,381950,381950,931215,381950,1.000
6,1,input_order,indomain_min,time,60,90,50,60,,0.000216244,
6,2,input_order,indomain_min,obj,225374,225374,225374,225374,482845,224580,0.996
6,2,input_order,indomain_min,time,60,110,60,90,,0.00045463,
6,3,input_order,indomain_min,obj,935928,935928,935928,935928,1636764,979084,1.046
6,3,input_order,indomain_min,time,60,110,50,90,,0.000339997,
6,4,input_order,indomain_min,obj,1012315,1012315,1012315,1012315,1527260,1102115,1.089
6,4,input_order,indomain_min,time,80,90,70,70,,0.00027486,
6,5,input_order,indomain_min,obj,1273350,1273350,1273350,1273350,1558320,1273350,1.000
6,5,input_order,indomain_min,time,60,100,60,70,,0.000292365,
6,6,input_order,indomain_min,obj,344450,344450,344450,344450,577364,345966,1.004
6,6,input_order,indomain_min,time,60,180,60,90,,0.000482973,
6,7,input_order,indomain_min,obj,203404,203404,203404,203404,423464,211988,1.042
6,7,input_order,indomain_min,time,60,120,50,100,,0.000413754,
6,8,input_order,indomain_min,obj,853100,853100,853100,853100,1880250,865300,1.014
6,8,input_order,indomain_min,time,60,100,60,90,,0.000373816,
6,9,input_order,indomain_min,obj,331952,331952,331952,331952,511901,356968,1.075
6,9,input_order,indomain_min,time,60,110,60,100,,0.000441828,
6,10,input_order,indomain_min,obj,683545,683545,683545,683545,760950,692780,1.014
6,10,input_order,indomain_min,time,60,110,50,90,,0.000444282,
6,11,input_order,indomain_min,obj,814014,814014,814014,814014,1615920,837976,1.029
6,11,input_order,indomain_min,time,60,100,50,90,,0.000401792,
6,12,input_order,indomain_min,obj,408740,408740,408740,408740,733637,409420,1.002
6,12,input_order,indomain_min,time,70,120,60,90,,0.000390623,
6,13,input_order,indomain_min,obj,131380,131380,131380,131380,264280,137920,1.050
6,13,input_order,indomain_min,time,60,110,50,90,,0.000441443,
6,14,input_order,indomain_min,obj,2459339,2459339,2459339,2459339,3868736,3337188,1.357
6,14,input_order,indomain_min,time,60,120,60,100,,0.000563208,
6,15,input_order,indomain_min,obj,1107876,1107876,1107876,1107876,1230260,1107876,1.000
6,15,input_order,indomain_min,time,60,100,50,80,,0.000291535,
6,16,input_order,indomain_min,obj,157304,157304,157304,157304,288130,160312,1.019
6,16,input_order,indomain_min,time,60,110,50,100,,0.000383707,
6,17,input_order,indomain_min,obj,369480,369480,369480,369480,399922,369512,1.000
6,17,input_order,indomain_min,time,60,120,50,100,,0.000472361,
6,18,input_order,indomain_min,obj,556212,556212,556212,556212,1315490,563808,1.014
6,18,input_order,indomain_min,time,60,110,60,90,,0.000410557,
6,19,input_order,indomain_min,obj,601320,601320,601320,601320,1169400,611520,1.017
6,19,input_order,indomain_min,time,70,110,60,90,,0.000338832,
6,20,input_order,indomain_min,obj,1352144,1352144,1352144,1352144,3038421,1411172,1.044
6,20,input_order,indomain_min,time,70,110,60,90,,0.000444889,
6,21,input_order,indomain_min,obj,1100174,1100174,1100174,1100174,2288714,1122824,1.021
6,21,input_order,indomain_min,time,60,100,50,80,,0.000274774,
6,22,input_order,indomain_min,obj,128684,128684,128684,128684,261343,130844,1.017
6,22,input_order,indomain_min,time,60,110,50,100,,0.000495183,
6,23,input_order,indomain_min,obj,500740,500740,500740,500740,1087890,500740,1.000
6,23,input_order,indomain_min,time,70,100,60,80,,0.000328787,
6,24,input_order,indomain_min,obj,1163525,1163525,1163525,1163525,2007720,1203520,1.034
6,24,input_order,indomain_min,time,60,100,50,80,,0.00034046,
6,25,input_order,indomain_min,obj,3015150,3015150,3015150,3015150,5897680,3015650,1.000
6,25,input_order,indomain_min,time,70,100,60,70,,0.000268209,
6,26,input_order,indomain_min,obj,137700,137700,137700,137700,339290,157200,1.142
6,26,input_order,indomain_min,time,60,110,50,100,,0.000445052,
6,27,input_order,indomain_min,obj,979092,979092,979092,979092,1375408,979092,1.000
6,27,input_order,indomain_min,time,70,90,60,60,,0.000230361,
6,28,input_order,indomain_min,obj,2811988,2811988,2811988,2811988,6059100,2994288,1.065
6,28,input_order,indomain_min,time,60,110,60,90,,0.000377606,
6,29,input_order,indomain_min,obj,2279860,2279860,2279860,2279860,3369750,2302870,1.010
6,29,input_order,indomain_min,time,60,100,50,80,,0.000321247,
6,30,input_order,indomain_min,obj,1075444,1075444,1075444,1075444,2025005,1097944,1.021
6,30,input_order,indomain_min,time,60,100,60,80,,0.00041229,
6,31,input_order,indomain_min,obj,2035708,2035708,2035708,2035708,3486440,2044620,1.004
6,31,input_order,indomain_min,time,60,110,50,90,,0.000392725,
6,32,input_order,indomain_min,obj,170868,170868,170868,170868,330570,171080,1.001
6,32,input_order,indomain_min,time,70,100,60,80,,0.000307387,
6,33,input_order,indomain_min,obj,2113060,2113060,2113060,2113060,3426864,2190812,1.037
6,33,input_order,indomain_min,time,60,100,50,80,,0.000411033,
6,34,input_order,indomain_min,obj,1377100,1377100,1377100,1377100,3071350,1440600,1.046
6,34,input_order,indomain_min,time,60,100,60,80,,0.000346059,
6,35,input_order,indomain_min,obj,790820,790820,790820,790820,1575172,801686,1.014
6,35,input_order,indomain_min,time,60,130,60,100,,0.000480776,
6,36,input_order,indomain_min,obj,850936,850936,850936,850936,2140830,879624,1.034
6,36,input_order,indomain_min,time,60,110,50,90,,0.000458735,
6,37,input_order,indomain_min,obj,1396550,1396550,1396550,1396550,1598904,1402772,1.004
6,37,input_order,indomain_min,time,70,110,60,90,,0.000341212,
6,38,input_order,indomain_min,obj,573280,573280,573280,573280,895210,573280,1.000
6,38,input_order,indomain_min,time,60,100,50,90,,0.000391331,
6,39,input_order,indomain_min,obj,1039290,1039290,1039290,1039290,2050060,1268010,1.220
6,39,input_order,indomain_min,time,70,110,60,100,,0.000420693,
6,40,input_order,indomain_min,obj,1420872,1420872,1420872,1420872,1861487,1644204,1.157
6,40,input_order,indomain_min,time,60,110,50,90,,0.000404628,
6,41,input_order,indomain_min,obj,2242521,2242521,2242521,2242521,5853101,2242521,1.000
6,41,input_order,indomain_min,time,70,120,70,90,,0.000367239,
6,42,input_order,indomain_min,obj,191440,191440,191440,191440,430100,192760,1.007
6,42,input_order,indomain_min,time,60,110,50,90,,0.000384429,
6,43,input_order,indomain_min,obj,404246,404246,404246,404246,548832,499752,1.236
6,43,input_order,indomain_min,time,60,100,50,80,,0.000385084,
6,44,input_order,indomain_min,obj,556730,556730,556730,556730,1871035,601630,1.081
6,44,input_order,indomain_min,time,60,100,50,80,,0.000326916,
6,45,input_order,indomain_min,obj,1201998,1201998,1201998,1201998,1930958,1201812,1.000
6,45,input_order,indomain_min,time,60,120,60,90,,0.000452959,
6,46,input_order,indomain_min,obj,351580,351580,351580,351580,799200,365920,1.041
6,46,input_order,indomain_min,time,60,90,60,80,,0.000271253,
6,47,input_order,indomain_min,obj,598172,598172,598172,598172,1397770,598228,1.000
6,47,input_order,indomain_min,time,60,100,50,70,,0.000269926,
6,48,input_order,indomain_min,obj,427856,427856,427856,427856,929848,441464,1.032
6,48,input_order,indomain_min,time,70,100,60,80,,0.000416065,
6,49,input_order,indomain_min,obj,940912,940912,940912,940912,2124792,969704,1.031
6,49,input_order,indomain_min,time,60,110,50,100,,0.000362097,
6,50,input_order,indomain_min,obj,1740748,1740748,1740748,1740748,3162968,1740748,1.000
6,50,input_order,indomain_min,time,60,130,60,90,,0.000360763,
6,51,input_order,indomain_min,obj,274137,274137,274137,274137,258883,721698,2.633
6,51,input_order,indomain_min,time,70,140,60,110,,0.000529479,
6,52,input_order,indomain_min,obj,994696,994696,994696,994696,1681952,1121933,1.128
6,52,input_order,indomain_min,time,60,110,50,100,,0.000449897,
6,53,input_order,indomain_min,obj,539724,539724,539724,539724,906795,560574,1.039
6,53,input_order,indomain_min,time,60,100,50,80,,0.000438962,
6,54,input_order,indomain_min,obj,757659,757659,757659,757659,1400720,873156,1.152
6,54,input_order,indomain_min,time,60,120,50,100,,0.00058102,
6,55,input_order,indomain_min,obj,169242,169242,169242,169242,234874,169242,1.000
6,55,input_order,indomain_min,time,80,90,70,60,,0.000228501,
6,56,input_order,indomain_min,obj,304781,304781,304781,304781,549835,328696,1.078
6,56,input_order,indomain_min,time,70,110,70,90,,0.000477136,
6,57,input_order,indomain_min,obj,233542,233542,233542,233542,309474,233542,1.000
6,57,input_order,indomain_min,time,60,100,60,90,,0.000386393,
6,58,input_order,indomain_min,obj,1123820,1123820,1123820,1123820,2454900,1129080,1.005
6,58,input_order,indomain_min,time,100,110,90,80,,0.000406574,
6,59,input_order,indomain_min,obj,805624,805624,805624,805624,1552602,805624,1.000
6,59,input_order,indomain_min,time,60,90,50,80,,0.00031198,
6,60,input_order,indomain_min,obj,695800,695800,695800,695800,823520,701200,1.008
6,60,input_order,indomain_min,time,60,90,60,70,,0.000336064,
6,61,input_order,indomain_min,obj,1967125,1967125,1967125,1967125,2803195,2226215,1.132
6,61,input_order,indomain_min,time,60,100,50,90,,0.000390964,
6,62,input_order,indomain_min,obj,1295000,1295000,1295000,1295000,2251700,1295000,1.000
6,62,input_order,indomain_min,time,60,100,50,70,,0.000330039,
6,63,input_order,indomain_min,obj,789800,789800,789800,789800,1467700,807900,1.023
6,63,input_order,indomain_min,time,60,100,50,70,,0.000266708,
