,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,77,first_fail,indomain_split_random,obj,908772.0,821172.0
1,77,first_fail,indomain_split_random,time,100.0,0.0002501989947631955
1,78,first_fail,indomain_split_random,obj,2046062.0,1566130.0
1,78,first_fail,indomain_split_random,time,100.0,0.00026591999630909413
1,79,first_fail,indomain_split_random,obj,1103449.0,1001269.0
1,79,first_fail,indomain_split_random,time,100.0,0.0002664110070327297
1,80,first_fail,indomain_split_random,obj,1517967.0,1463067.0
1,80,first_fail,indomain_split_random,time,90.0,0.0003292940091341734
1,81,first_fail,indomain_split_random,obj,425979.0,417999.0
1,81,first_fail,indomain_split_random,time,100.0,0.0002876450016628951
1,82,first_fail,indomain_split_random,obj,3337380.0,3337380.0
1,82,first_fail,indomain_split_random,time,100.0,0.00022186498972587287
1,83,first_fail,indomain_split_random,obj,2595835.0,2123610.0
1,83,first_fail,indomain_split_random,time,100.0,0.00030801100365351886
1,84,first_fail,indomain_split_random,obj,846400.0,846400.0
1,84,first_fail,indomain_split_random,time,90.0,0.00025480499607510865
1,85,first_fail,indomain_split_random,obj,671368.0,550032.0
1,85,first_fail,indomain_split_random,time,90.0,0.0003281559911556542
1,86,first_fail,indomain_split_random,obj,2489052.0,2109252.0
1,86,first_fail,indomain_split_random,time,90.0,0.00025874600396491587
1,87,first_fail,indomain_split_random,obj,1088935.0,575035.0
1,87,first_fail,indomain_split_random,time,90.0,0.0002557260013418272
1,88,first_fail,indomain_split_random,obj,914004.0,802704.0
1,88,first_fail,indomain_split_random,time,160.0,0.0002348489942960441
1,89,first_fail,indomain_split_random,obj,920860.0,830360.0
1,89,first_fail,indomain_split_random,time,90.0,0.0007486120011890307
1,90,first_fail,indomain_split_random,obj,1299010.0,1237210.0
1,90,first_fail,indomain_split_random,time,100.0,0.0002921819977927953
1,91,first_fail,indomain_split_random,obj,1961190.0,1961190.0
1,91,first_fail,indomain_split_random,time,90.0,0.0002657129953149706
1,92,first_fail,indomain_split_random,obj,1703972.0,1213087.0
1,92,first_fail,indomain_split_random,time,100.0,0.0003059640002902597
