,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio,,
,,,,,Modified,Modified,Modified,Modified,Modified,,
Month,House,Variable choices,Constraint variables,Result,,,,,,,
1,71,anti_first_fail,indomain_min,obj,1572900,1572900,1572900,4087500,1,,62%
1,71,anti_first_fail,indomain_min,time,60,70,0.000168058,,2.80E-06,,
1,72,anti_first_fail,indomain_min,obj,769270,769270,769270,5612125,1,,86%
1,72,anti_first_fail,indomain_min,time,50,70,0.000172092,,3.44E-06,,
1,73,anti_first_fail,indomain_min,obj,3740300,3740300,3740300,4862200,1,,23%
1,73,anti_first_fail,indomain_min,time,60,70,0.000186954,,3.12E-06,,
1,74,anti_first_fail,indomain_min,obj,1696175,1696175,1713500,6548300,1.010214158,,74%
1,74,anti_first_fail,indomain_min,time,60,100,0.000194884,,3.25E-06,,
1,75,anti_first_fail,indomain_min,obj,1046968,1046968,1046968,827368,1,,-27%
1,75,anti_first_fail,indomain_min,time,50,80,0.000189785,,3.80E-06,,
1,76,anti_first_fail,indomain_min,obj,359985,359985,359985,366085,1,,2%
1,76,anti_first_fail,indomain_min,time,60,100,0.000238911,,3.98E-06,,
1,77,anti_first_fail,indomain_min,obj,375545,375545,375545,137525,1,,-173%
1,77,anti_first_fail,indomain_min,time,50,90,0.000219628,,4.39E-06,,
1,78,anti_first_fail,indomain_min,obj,3324250,3324250,3330250,3695250,1.001804918,,10%
1,78,anti_first_fail,indomain_min,time,60,90,0.000198744,,3.31E-06,,
1,79,anti_first_fail,indomain_min,obj,1014092,1014092,1014092,1015592,1,,0%
1,79,anti_first_fail,indomain_min,time,60,80,0.000184581,,3.08E-06,,
1,80,anti_first_fail,indomain_min,obj,882500,882500,882500,962180,1,,8%
1,80,anti_first_fail,indomain_min,time,50,80,0.000205917,,4.12E-06,,
1,81,anti_first_fail,indomain_min,obj,3889031,3889031,5112100,4335350,1.314491965,,-18%
1,81,anti_first_fail,indomain_min,time,60,80,0.000185744,,3.10E-06,,
1,82,anti_first_fail,indomain_min,obj,261408,261408,261408,301993,1,,13%
1,82,anti_first_fail,indomain_min,time,60,60,0.000176529,,2.94E-06,,
1,83,anti_first_fail,indomain_min,obj,586000,586000,586000,732400,1,,20%
1,83,anti_first_fail,indomain_min,time,50,90,0.000187523,,3.75E-06,,
1,84,anti_first_fail,indomain_min,obj,397670,397670,401954,506699,1.010772751,,21%
1,84,anti_first_fail,indomain_min,time,70,90,0.000186968,,2.67E-06,,
1,85,anti_first_fail,indomain_min,obj,342708,342708,342708,378908,1,,10%
1,85,anti_first_fail,indomain_min,time,60,70,0.00017824,,2.97E-06,,
1,86,anti_first_fail,indomain_min,obj,1133530,1133530,1288470,1192770,1.136688045,,-8%
1,86,anti_first_fail,indomain_min,time,60,80,0.000177522,,2.96E-06,,
1,87,anti_first_fail,indomain_min,obj,2371608,2371608,2371608,2893008,1,,18%
1,87,anti_first_fail,indomain_min,time,50,70,0.0001917,,3.83E-06,,
1,88,anti_first_fail,indomain_min,obj,475632,475632,475632,475632,1,,0%
1,88,anti_first_fail,indomain_min,time,60,70,0.000173929,,2.90E-06,,
1,89,anti_first_fail,indomain_min,obj,393540,393540,393540,394240,1,,0%
1,89,anti_first_fail,indomain_min,time,60,130,0.000197078,,3.28E-06,,
1,90,anti_first_fail,indomain_min,obj,1694387,1694387,1778735,1741487,1.049780835,,-2%
1,90,anti_first_fail,indomain_min,time,60,110,0.000187675,,3.13E-06,,
1,91,anti_first_fail,indomain_min,obj,1398129,1398129,1398129,1681329,1,,17%
1,91,anti_first_fail,indomain_min,time,50,60,0.000170205,,3.40E-06,,
1,92,anti_first_fail,indomain_min,obj,1267730,1267730,1268150,1242335,1.000331301,,-2%
1,92,anti_first_fail,indomain_min,time,80,100,0.000491865,,6.15E-06,,
1,93,anti_first_fail,indomain_min,obj,2640560,2640560,2640560,5406460,1,,51%
1,93,anti_first_fail,indomain_min,time,60,90,0.000173715,,2.90E-06,,
1,94,anti_first_fail,indomain_min,obj,1485520,1485520,1685364,1582416,1.134527977,,-7%
1,94,anti_first_fail,indomain_min,time,60,90,0.000175262,,2.92E-06,,
1,95,anti_first_fail,indomain_min,obj,472456,472456,472456,1437256,1,,67%
1,95,anti_first_fail,indomain_min,time,60,80,0.000211178,,3.52E-06,,
1,96,anti_first_fail,indomain_min,obj,867890,867890,867890,867890,1,,0%
1,96,anti_first_fail,indomain_min,time,50,80,0.00019417,,3.88E-06,,
1,97,anti_first_fail,indomain_min,obj,349058,349058,1456814,1611614,4.173558549,,10%
1,97,anti_first_fail,indomain_min,time,60,90,0.000186492,,3.11E-06,,
1,98,anti_first_fail,indomain_min,obj,2340423,2340423,2340423,2463723,1,,5%
1,98,anti_first_fail,indomain_min,time,60,70,0.00020552,,3.43E-06,,
1,99,anti_first_fail,indomain_min,obj,930878,930878,1102970,3485159,1.184870628,,68%
1,99,anti_first_fail,indomain_min,time,60,90,0.000192973,,3.22E-06,,
1,100,anti_first_fail,indomain_min,obj,388324,388324,640714,397588,1.649946952,,-61%
1,100,anti_first_fail,indomain_min,time,60,100,0.000186607,,3.11E-06,,
2,1,anti_first_fail,indomain_min,obj,471670,471670,471670,578625,1,,18%
2,1,anti_first_fail,indomain_min,time,50,70,0.000208769,,4.18E-06,,
2,2,anti_first_fail,indomain_min,obj,1056364,1056364,1056364,3907964,1,,73%
2,2,anti_first_fail,indomain_min,time,50,80,0.000202152,,4.04E-06,,
2,3,anti_first_fail,indomain_min,obj,629096,629096,629096,646826,1,,3%
2,3,anti_first_fail,indomain_min,time,50,80,0.00020498,,4.10E-06,,
2,4,anti_first_fail,indomain_min,obj,2676710,2676710,2676710,3030470,1,,12%
2,4,anti_first_fail,indomain_min,time,60,70,0.000207101,,3.45E-06,,
2,5,anti_first_fail,indomain_min,obj,1878798,1878798,1878798,2269618,1,,17%
2,5,anti_first_fail,indomain_min,time,60,70,0.000200534,,3.34E-06,,
2,6,anti_first_fail,indomain_min,obj,1519940,1519940,1739420,1539520,1.144400437,,-13%
2,6,anti_first_fail,indomain_min,time,50,100,0.000257152,,5.14E-06,,
2,7,anti_first_fail,indomain_min,obj,1371000,1371000,1371000,2450500,1,,44%
2,7,anti_first_fail,indomain_min,time,70,100,0.000264621,,3.78E-06,,
2,8,anti_first_fail,indomain_min,obj,2147548,2147548,2203348,4965304,1.025983121,,56%
2,8,anti_first_fail,indomain_min,time,70,200,0.000196155,,2.80E-06,,
2,9,anti_first_fail,indomain_min,obj,1839118,1839118,1839118,2444118,1,,25%
2,9,anti_first_fail,indomain_min,time,60,90,0.000208472,,3.47E-06,,
2,10,anti_first_fail,indomain_min,obj,1986138,1986138,1986138,2627938,1,,24%
2,10,anti_first_fail,indomain_min,time,80,70,0.000199628,,2.50E-06,,
2,11,anti_first_fail,indomain_min,obj,1345100,1345100,1345100,1440200,1,,7%
2,11,anti_first_fail,indomain_min,time,60,80,0.000338064,,5.63E-06,,
